id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1100065,R GEN SANTOS COSTA,3,3400-504,NOGUEIRA DO CRAVO OHP,-7.906863694448028,40.328542914983636
pt.ine.add.PTCONT.1100066,QTA DE S JOÃO,9,3400-456,NOGUEIRA DO CRAVO OHP,-7.893762794475305,40.33639650925189
pt.ine.add.PTCONT.1100067,EN 17,21,3400-454,NOGUEIRA DO CRAVO OHP,-7.898626512970008,40.31501798453123
pt.ine.add.PTCONT.1100068,AV PRINCIPAL,7,3400-755,VILA POUCA DA BEIRA,-7.920342647444961,40.307981479522134
pt.ine.add.PTCONT.1100069,R PRINCIPAL,19,3400-751,VILA POUCA DA BEIRA,-7.940902135578711,40.292446569324674
pt.ine.add.PTCONT.1100070,R PRINCIPAL,16,3400-751,VILA POUCA DA BEIRA,-7.941253530513369,40.292951473638595
pt.ine.add.PTCONT.1100071,PTO DA QUINTA,6,3405-609,VILA FRANCA DA BEIRA,-7.866994418115329,40.43993818806024
pt.ine.add.PTCONT.1100072,R DA CAPELA,37,3405-619,VILA FRANCA DA BEIRA,-7.865742273705391,40.43766591338052
pt.ine.add.PTCONT.1100073,R DA QUELHA,14,3405-624,VILA FRANCA DA BEIRA,-7.8693423215871405,40.439322189508914
pt.ine.add.PTCONT.1100074,R DA QTA DE MANAUS,6,3405-638,VILA FRANCA DA BEIRA,-7.868502930109772,40.436969835892995
pt.ine.add.PTCONT.1100186,R DA FONTE DAS ALMAS,4,3400-488,NOGUEIRA DO CRAVO OHP,-7.884360726024883,40.33616053698268
pt.ine.add.PTCONT.1100187,R DO CASAL,9,3400-476,NOGUEIRA DO CRAVO OHP,-7.881224231008365,40.334640798524575
pt.ine.add.PTCONT.1100188,AV 23 DE MAIO,40,3405-601,VILA FRANCA DA BEIRA,-7.868604486080574,40.435114934664384
pt.ine.add.PTCONT.1100557,TV DO MELRO,,3400-158,OLIVEIRA DO HOSPITAL,-7.871904978815004,40.370975871443754
pt.ine.add.PTCONT.1100558,R DR ANTÓNIO SIMÕES PEREIRA,29,3400-112,OLIVEIRA DO HOSPITAL,-7.862745510156427,40.36483100773877
pt.ine.add.PTCONT.1100559,BR JOÃO RODRIGUES LAGOS,13,3400-126,OLIVEIRA DO HOSPITAL,-7.86592730835241,40.3610943555789
pt.ine.add.PTCONT.1100647,QTA DOS CASTROS,,3400-006,OLIVEIRA DO HOSPITAL,-7.871330311019178,40.35516971404237
pt.ine.add.PTCONT.1100909,R DA CAPELA,,3400-312,ALVOCO DAS VÁRZEAS,-7.835697205046381,40.30431864420776
pt.ine.add.PTCONT.1100906,,,3400-257,ALDEIA DAS DEZ,-7.847812779696592,40.2903632771105
pt.ine.add.PTCONT.1100907,R DAS CAPELAS DA VIA SACRA,9,3400-270,ALDEIA DAS DEZ,-7.851466017301055,40.28005165396513
pt.ine.add.PTCONT.1100908,R 25 DE ABRIL,,3400-263,ALDEIA DAS DEZ,-7.840861359146925,40.26329266170612
pt.ine.add.PTCONT.1100910,CAM DAS VÁRZEAS,2,3400-303,ALVOCO DAS VÁRZEAS,-7.834966371507934,40.30199329104491
pt.ine.add.PTCONT.1100911,R DA ARRIFANA,3,3400-310,ALVOCO DAS VÁRZEAS,-7.834912511771628,40.303542133753346
pt.ine.add.PTCONT.1100912,,,3400-002,OLIVEIRA DO HOSPITAL,-7.859820521300696,40.33404286581346
