id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.455954,R FÁBRICA,3,7670-613,SANTANA DA SERRA,-8.30128448965643,37.50028695382094
pt.ine.add.PTCONT.455967,R SARDOA,18,7670-132,GARVÃO,-8.336831935876402,37.70912521561734
pt.ine.add.PTCONT.456009,R GONÇALO NOBRE VALENTE,,7670-292,OURIQUE,-8.228066840534852,37.649320885527445
pt.ine.add.PTCONT.358511,,,7670-406,PANOIAS ORQ,-8.35545897772447,37.805819162189984
pt.ine.add.PTCONT.456059,CERCA COVAO,24B,7670-375,OURIQUE,-8.22288513101479,37.64916511184618
pt.ine.add.PTCONT.456096,MTE A DOS CALÇOS,,7670-208,OURIQUE,-8.196914492956383,37.68684064623188
pt.ine.add.PTCONT.456097,R POÇO CONCELHO,5,7670-503,SANTA LUZIA ORQ,-8.406105709361693,37.732013934834235
pt.ine.add.PTCONT.456101,R 25 DE ABRIL,56,7670-405,PANOIAS ORQ,-8.301847050577736,37.75956267408446
pt.ine.add.PTCONT.456138,MTE ROSSIO VELHO,,7670-613,SANTANA DA SERRA,-8.369096244269402,37.45812094073798
pt.ine.add.PTCONT.456146,BR ROSAL,35,7670-368,OURIQUE,-8.232867714702305,37.655020142664874
pt.ine.add.PTCONT.456151,FOROS DA FAVECA,,7670-202,OURIQUE,-8.218888210560682,37.60983769841247
pt.ine.add.PTCONT.456168,R D AFONSO HENRIQUES,21,7670-281,OURIQUE,-8.225137003865486,37.65342083427363
pt.ine.add.PTCONT.456190,R ENG SENA CABRAL,18,7670-202,OURIQUE,-8.251355963750648,37.604640766377905
pt.ine.add.PTCONT.456220,R PORTELA,3,7670-503,SANTA LUZIA ORQ,-8.404687098016769,37.731999217430186
pt.ine.add.PTCONT.456238,MTE FEITOSA,,7670-613,SANTANA DA SERRA,-8.289664103858883,37.540703860179825
pt.ine.add.PTCONT.456243,R 25 DE ABRIL,70,7670-126,GARVÃO,-8.339640013383308,37.7116250336961
pt.ine.add.PTCONT.456246,,,7670-202,OURIQUE,-8.251721444145401,37.610097582209136
pt.ine.add.PTCONT.456285,R TEJO,6,7670-613,SANTANA DA SERRA,-8.301825082925415,37.50083365615582
pt.ine.add.PTCONT.456324,R ODEMIRA,9,7670-272,OURIQUE,-8.226527363560201,37.65061052015789
pt.ine.add.PTCONT.456325,R IGREJA,7,7670-613,SANTANA DA SERRA,-8.300256459120027,37.500774955603376
pt.ine.add.PTCONT.456346,,,7670-504,SANTA LUZIA ORQ,-8.424731379118308,37.72022973439413
