id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.291446,R QUINTA,,3885-470,ESMORIZ,-8.616373489255164,40.95225285389018
pt.ine.add.PTCONT.291263,CC BARRISCOS,,3885-207,CORTEGAÇA OVR,-8.615646358836573,40.94699717254366
pt.ine.add.PTCONT.291266,R 13 DE MAIO,124,3885-428,ESMORIZ,-8.621343287448347,40.96424412558421
pt.ine.add.PTCONT.291268,R FONTE,154,3885-460,ESMORIZ,-8.61188300027628,40.955405210730056
pt.ine.add.PTCONT.291271,R CARVALHAIS,198,3885-033,ARADA,-8.594253682925793,40.90203414161121
pt.ine.add.PTCONT.291272,R INDUSTRIA,92,3885-076,ARADA,-8.612183633586703,40.90002503330297
pt.ine.add.PTCONT.291273,R RIO,700,3885-138,ARADA,-8.585213530449382,40.90077325102928
pt.ine.add.PTCONT.291276,R RIO,270,3885-138,ARADA,-8.58441649961708,40.89700338091118
pt.ine.add.PTCONT.291277,R FREDERICO ULRICH,,3885-312,CORTEGAÇA OVR,-8.656497019689617,40.94375382298473
pt.ine.add.PTCONT.291278,R ROMBO,207,3885-543,ESMORIZ,-8.619512965763708,40.95926328620951
pt.ine.add.PTCONT.291280,R LAGOAS,79,3885-082,ARADA,-8.585460778852326,40.89699928973637
pt.ine.add.PTCONT.291283,R PADRE MANUEL PEREIRA,20 1,3885-321,CORTEGAÇA OVR,-8.623300435389138,40.94297581523826
pt.ine.add.PTCONT.291284,R PADRE MANUEL PEREIRA,20 1,3885-321,CORTEGAÇA OVR,-8.623300435389138,40.94297581523826
pt.ine.add.PTCONT.291285,TV CAIS DA BARRINHA,50,3885-657,ESMORIZ,-8.637264144154475,40.963050024868295
pt.ine.add.PTCONT.291286,R CAMELIAS,38,3885-482,ESMORIZ,-8.649535028206467,40.9615189518767
pt.ine.add.PTCONT.291288,R S MARINHA,391,3885-271,CORTEGAÇA OVR,-8.611547957526179,40.94848201315748
pt.ine.add.PTCONT.291289,R PADRE JOAQUIM DOS SANTOS CUNHA,152,3885-318,CORTEGAÇA OVR,-8.619220131934114,40.94363242178205
pt.ine.add.PTCONT.291290,R COMPANHAS,,3885-262,CORTEGAÇA OVR,-8.657939589356177,40.94282335057511
pt.ine.add.PTCONT.291293,R CAVADAS,274,3885-261,CORTEGAÇA OVR,-8.616622346584833,40.9489200836126
pt.ine.add.PTCONT.291294,R DIREITA,97,3885-273,CORTEGAÇA OVR,-8.63300986591944,40.94079101541298
pt.ine.add.PTCONT.291296,TV GIAS,50,3885-334,CORTEGAÇA OVR,-8.627456826409356,40.9461637344627
pt.ine.add.PTCONT.291297,R MURTEIRA,2489,3885-102,ARADA,-8.582418517742955,40.9068893921622
pt.ine.add.PTCONT.291298,R APEADEIRO,525,3885-275,CORTEGAÇA OVR,-8.630490783967215,40.94216161579831
