id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4663844,R S BRAS,,2950-293,PALMELA,-8.92037236251819,38.5691469171643
pt.ine.add.PTCONT.4663845,R S BRAS,,2950-293,PALMELA,-8.92037236251819,38.5691469171643
pt.ine.add.PTCONT.4664094,R ARCOS,,2950-681,QUINTA DO ANJO,-8.979153991830112,38.57197975171046
pt.ine.add.PTCONT.4681974,,,2950-561,QUINTA DO ANJO,-8.924165932020454,38.568742995322076
pt.ine.add.PTCONT.4682072,R CHORA,,2955-013,PINHAL NOVO,-8.933312217641609,38.61952301139475
pt.ine.add.PTCONT.4663075,R 25 DE ABRIL,103A,2965-503,ÁGUAS DE MOURA,-8.772807632490334,38.58028880641989
pt.ine.add.PTCONT.4663076,AV LIBERDADE,,2965-575,ÁGUAS DE MOURA,-8.694397148679625,38.58405118896823
pt.ine.add.PTCONT.4663077,R MONTE DAS FERRARIAS,,2965-521,ÁGUAS DE MOURA,-8.655842255146267,38.599291611869376
pt.ine.add.PTCONT.4663078,R 25 DE ABRIL,76 B,2965-503,ÁGUAS DE MOURA,-8.771684189285791,38.57653848900505
pt.ine.add.PTCONT.4663079,BR PALMELAO,,2965-503,ÁGUAS DE MOURA,-8.770965347698416,38.57051586501762
pt.ine.add.PTCONT.4663080,R 5 DE OUTUBRO,6C,2965-504,ÁGUAS DE MOURA,-8.775475865060555,38.568049951896356
pt.ine.add.PTCONT.4663081,BR 12 DE ABRIL,,2955-008,PINHAL NOVO,-8.931618928319457,38.632497287001335
pt.ine.add.PTCONT.4663082,EM 533-1,,2955-231,PINHAL NOVO,-8.941453162237082,38.63486194429381
pt.ine.add.PTCONT.4663083,R ALGARVE,,2955-013,PINHAL NOVO,-8.94602787615757,38.63484570831474
pt.ine.add.PTCONT.4663084,R ANTERO DE QUENTAL,,2955-130,PINHAL NOVO,-8.913898980003829,38.62513112453962
pt.ine.add.PTCONT.4663085,R ANTERO DE QUENTAL,,2955-130,PINHAL NOVO,-8.913898980003829,38.62513112453962
pt.ine.add.PTCONT.4663086,R ANTERO DE QUENTAL,,2955-130,PINHAL NOVO,-8.913898980003829,38.62513112453962
pt.ine.add.PTCONT.4663087,AV VISC TOJAL,350,2950-603,QUINTA DO ANJO,-8.960637123184624,38.55826650761012
pt.ine.add.PTCONT.4682073,R SOBRAL,,2955-269,PINHAL NOVO,-8.933477331745152,38.61888230374474
pt.ine.add.PTCONT.4663193,,,2950-122,PALMELA,-8.849732751573631,38.611506984534564
pt.ine.add.PTCONT.4663194,R FRANCISCO ASSUNÇÃO PINHO,,2950-128,PALMELA,-8.822060166711282,38.60037688427921
pt.ine.add.PTCONT.4663195,R FANDANGUINHO,,2950-491,PALMELA,-8.809578704496715,38.59267559294281
pt.ine.add.PTCONT.4663196,R JOSE CARDOSO PIRES,12,2955-092,PINHAL NOVO,-8.913470819447403,38.64071805292872
pt.ine.add.PTCONT.4663197,R ALMADA NEGREIROS,,2955-093,PINHAL NOVO,-8.911357403067838,38.64071411530804
pt.ine.add.PTCONT.4663198,R MONTE NOVO,,2955-036,PINHAL NOVO,-8.914331687279695,38.63855035764157
pt.ine.add.PTCONT.4663199,R JOÃO AUGUSTO BALTAZAR PARREIRA,,2955-197,PINHAL NOVO,-8.915021772755885,38.637581877904125
