id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1100076,,,3320-074,FAJÃO,-7.89264803796662,40.18939292079429
pt.ine.add.PTCONT.1128160,,,3320-183,PAMPILHOSA DA SERRA,-7.958333590386229,40.00777787779668
pt.ine.add.PTCONT.1100075,R PRINCIPAL,,3320-055,DORNELAS DO ZÊZERE,-7.756488693633525,40.09804300963909
pt.ine.add.PTCONT.1100077,R ANTÓNIO PAULO DE JESUS,,3320-079,FAJÃO,-7.824807055021343,40.1846661506144
pt.ine.add.PTCONT.1100078,CIMO DA VILA,,3320-080,FAJÃO,-7.924452659448246,40.14950433032098
pt.ine.add.PTCONT.1100079,JOSE ANTUNES MARTINS,,3320-078,FAJÃO,-7.933218519568146,40.133822390248596
pt.ine.add.PTCONT.1100080,R IGREJA,3,3320-105,JANEIRO DE BAIXO,-7.805007863586791,40.04595545112368
pt.ine.add.PTCONT.1100081,R LOMBA,,3320-112,JANEIRO DE BAIXO,-7.844316302352622,40.083552395540686
pt.ine.add.PTCONT.1100082,R PARQUE DESPORTIVO,18,3320-222,PAMPILHOSA DA SERRA,-7.955815879474604,40.04838277369615
pt.ine.add.PTCONT.1100083,R ALTO BARREIRO,,3320-234,PAMPILHOSA DA SERRA,-7.952661481800042,40.04472141990693
pt.ine.add.PTCONT.1100084,R JOSE MARIA ALVES CAETANO,3,3320-312,PESSEGUEIRO,-8.019441429637777,40.05263249259585
pt.ine.add.PTCONT.1100189,SIT SITIO MALHO,,3320-013,CABRIL PPS,-7.890798130899423,40.10528244517608
pt.ine.add.PTCONT.1100190,ESTR QUINTA DA SILVA,,3320-016,,-7.85966473677494,40.08042851736286
pt.ine.add.PTCONT.1100191,R ESCOLA,,3320-015,CABRIL PPS,-7.910877041578809,40.09453348398279
pt.ine.add.PTCONT.1100192,R BARREIRO,1,3320-053,DORNELAS DO ZÊZERE,-7.745799006839632,40.10327627328068
pt.ine.add.PTCONT.1100193,R PRINCIPAL,,3320-056,DORNELAS DO ZÊZERE,-7.7860081339591,40.10686205339136
pt.ine.add.PTCONT.1100194,R JAIME FERNANDES SIMÕES,,3320-135,MACHIO,-8.003640911421542,40.01688855363575
pt.ine.add.PTCONT.1100195,R ANTÓNIO FERNANDES,,3320-135,MACHIO,-8.00227343068449,40.01532895048532
pt.ine.add.PTCONT.1100196,LG AMIGOS SOEIRINHO,,3320-182,PAMPILHOSA DA SERRA,-7.974080462843687,40.09080992724684
pt.ine.add.PTCONT.1100197,,,3320-175,PAMPILHOSA DA SERRA,-7.952096467023635,40.07226119250092
pt.ine.add.PTCONT.1100198,R FLORES,,3320-170,PAMPILHOSA DA SERRA,-7.968799349772123,40.068260366923845
pt.ine.add.PTCONT.1100199,,,3320-313,PESSEGUEIRO,-7.999044610895597,40.04919736951294
pt.ine.add.PTCONT.1100200,LG EIRA,1,3320-301,PESSEGUEIRO,-8.00176628227524,40.0415813056399
pt.ine.add.PTCONT.1100201,TV LOMBA,,3320-308,PESSEGUEIRO,-8.019729753859204,40.03422424893939
pt.ine.add.PTCONT.1100202,R CORELOS,,3320-309,PESSEGUEIRO,-8.039899657700694,40.08990893378902
pt.ine.add.PTCONT.1100203,R PRINCIPAL,,3320-338,PORTELA DO FOJO,-8.02386711403047,39.996546398848515
pt.ine.add.PTCONT.1100204,BC CONTRINHAL,,3320-338,PORTELA DO FOJO,-8.024526287825848,39.994385529478414
pt.ine.add.PTCONT.1100205,R CELADA,,3320-331,PORTELA DO FOJO,-8.072447484430235,39.98761182010126
pt.ine.add.PTCONT.1100206,R COMÉRCIO,,3320-331,PORTELA DO FOJO,-8.0660795748793,39.98615831139615
pt.ine.add.PTCONT.1100316,,,3320-178,PAMPILHOSA DA SERRA,-7.970762278418672,40.051196575428186
pt.ine.add.PTCONT.1100317,,,3320-179,PAMPILHOSA DA SERRA,-7.973509389821202,40.0541543963711
pt.ine.add.PTCONT.1100318,,,3320-153,PAMPILHOSA DA SERRA,-7.9819785533487195,40.02420235018763
pt.ine.add.PTCONT.1100319,,,3320-153,PAMPILHOSA DA SERRA,-7.983360613187045,40.02432122438476
pt.ine.add.PTCONT.1100320,CAM CABECEIRO,,3320-183,PAMPILHOSA DA SERRA,-7.957673976258641,40.00924488826509
pt.ine.add.PTCONT.1100321,R COMÉRCIO,,3320-331,PORTELA DO FOJO,-8.064159840350959,39.985769917905074
pt.ine.add.PTCONT.1100322,AV ALBERTO PEREIRA BATISTA,10,3320-368,UNHAIS-O-VELHO,-7.808819476050694,40.131766682239764
pt.ine.add.PTCONT.1101584,R CESAR VICENTE SILVA,,3320-080,FAJÃO,-7.921473672110049,40.148868507245666
