id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5137309,,,4940-162,COURA PCR,-8.638117449025481,41.872299761928225
pt.ine.add.PTCONT.5137310,,,4940-411,PADORNELO,-8.53425594686896,41.92002134088104
pt.ine.add.PTCONT.5137311,,,4940-715,VASCÕES,-8.502787928759354,41.89825822035954
pt.ine.add.PTCONT.5137361,,,4940-322,INFESTA PCR,-8.591491113762295,41.908103005086616
pt.ine.add.PTCONT.5137452,,,4940-297,FORMARIZ,-8.58643367170251,41.924085695765605
pt.ine.add.PTCONT.5137453,,,4940-381,MOZELOS PCR,-8.561621723165121,41.92383885217422
pt.ine.add.PTCONT.5137454,,,4940-501,PAREDES DE COURA,-8.563512028789292,41.91630513786357
pt.ine.add.PTCONT.5134917,,,4940-062,BICO PCR,-8.523343046624017,41.90166544483017
pt.ine.add.PTCONT.5138526,,,4940-601,PORREIRAS,-8.553971851376133,41.9521640029367
pt.ine.add.PTCONT.5135144,,,4940-228,CUNHA PCR,-8.594239953206788,41.88979751322124
pt.ine.add.PTCONT.5135145,,,4940-234,CUNHA PCR,-8.56313939863979,41.8805368322766
pt.ine.add.PTCONT.5136076,,,4940-105,CASTANHEIRA PCR,-8.554503240974215,41.88997720926271
pt.ine.add.PTCONT.5136077,,,4940-621,RESENDE PCR,-8.574213669146419,41.89670061023239
pt.ine.add.PTCONT.5136132,VICTOR GOMES,,4940-072,BICO PCR,-8.522688098806134,41.89701301393487
pt.ine.add.PTCONT.5136133,,,4940-104,CASTANHEIRA PCR,-8.546385506271665,41.879283873999306
pt.ine.add.PTCONT.5136134,,,4940-263,FERREIRA PCR,-8.568328018151087,41.942081004938146
pt.ine.add.PTCONT.5136206,,,4940-627,RESENDE PCR,-8.565600163267373,41.907789291302784
pt.ine.add.PTCONT.5140693,,,4940-160,COURA PCR,-8.660804018082796,41.88161512623979
pt.ine.add.PTCONT.5134993,,,4940-065,BICO PCR,-8.51999942266206,41.89478030536198
pt.ine.add.PTCONT.5134994,,,4940-105,CASTANHEIRA PCR,-8.555139340304178,41.88959673849011
pt.ine.add.PTCONT.5134995,,,4940-105,CASTANHEIRA PCR,-8.55398798517754,41.89224790762806
pt.ine.add.PTCONT.5135073,,,4940-136,COSSOURADO PCR,-8.63044294314508,41.93114203991019
pt.ine.add.PTCONT.5135074,,,4940-186,CRISTELO PCR,-8.540282583798865,41.90473073863922
pt.ine.add.PTCONT.5135075,,,4940-186,CRISTELO PCR,-8.540282583798865,41.90473073863922
pt.ine.add.PTCONT.5135146,ESTR S MAMEDE,,4940-261,FERREIRA PCR,-8.58189558929227,41.93710406257887
pt.ine.add.PTCONT.5135207,,,4940-293,FORMARIZ,-8.578948524477742,41.91388741018484
pt.ine.add.PTCONT.5135206,,,4940-255,FERREIRA PCR,-8.60165877014929,41.92888627776921
pt.ine.add.PTCONT.5135249,,,4940-321,INFESTA PCR,-8.585099070827528,41.907507123551945
pt.ine.add.PTCONT.5135250,,,4940-346,INSALDE,-8.535147995365005,41.948819279200016
pt.ine.add.PTCONT.5135251,,,4940-351,INSALDE,-8.523744549994415,41.94577057167346
pt.ine.add.PTCONT.5135252,,,4940-375,LINHARES PCR,-8.612599584686913,41.924807701448
pt.ine.add.PTCONT.5135313,,,4940-411,PADORNELO,-8.533840742104537,41.92302084443194
pt.ine.add.PTCONT.5135314,ESTR LAMAMA,,4940-504,PAREDES DE COURA,-8.547720325004805,41.912446862514216
pt.ine.add.PTCONT.5135358,,,4940-502,PAREDES DE COURA,-8.568154977389998,41.90774362791566
pt.ine.add.PTCONT.5135407,,,4940-625,RESENDE PCR,-8.555711795377986,41.905152162216176
pt.ine.add.PTCONT.5135408,,,4940-690,RUBIÃES,-8.613842834160515,41.908947936175935
pt.ine.add.PTCONT.5135409,,,4940-686,RUBIÃES,-8.623086423246722,41.89938350194509
pt.ine.add.PTCONT.5135410,,,4940-686,RUBIÃES,-8.621981727586961,41.90148595243754
pt.ine.add.PTCONT.5135411,,,4940-686,RUBIÃES,-8.621201420650618,41.90030085130383
pt.ine.add.PTCONT.5135472,,,4940-682,RUBIÃES,-8.644844736893694,41.89868538830677
pt.ine.add.PTCONT.5135473,,,4940-689,RUBIÃES,-8.631683640225424,41.88917288821659
pt.ine.add.PTCONT.5135474,,,4940-688,RUBIÃES,-8.630942928836317,41.88533173313652
pt.ine.add.PTCONT.5135681,,,4940-688,RUBIÃES,-8.62903456394574,41.886276323652716
pt.ine.add.PTCONT.5135707,R PADRE CASIMIRO RODRIGUES DE SA,,4940-544,PAREDES DE COURA,-8.554426352934962,41.91494334224211
pt.ine.add.PTCONT.5135769,R TOURÉM,,4940-256,FERREIRA PCR,-8.584894762508807,41.933224384827184
pt.ine.add.PTCONT.5136149,,,4940-261,FERREIRA PCR,-8.583228388927653,41.93801716497862
