id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5427372,LG BAIRRO NOVO,1,3550-011,ANTAS PCT,-7.562247831368736,40.662129677997065
pt.ine.add.PTCONT.5427373,AV PRINCIPAL,14,3550-011,ANTAS PCT,-7.563315440985114,40.66173872700731
pt.ine.add.PTCONT.5427374,R OLIVAIS,7 A,3550-012,ANTAS PCT,-7.580141190675311,40.656210350309195
pt.ine.add.PTCONT.5427463,R 25 DE ABRIL,19,3550-031,CASTELO DE PENALVA,-7.676850736729968,40.656461878767
pt.ine.add.PTCONT.5427464,R PORTELA,,3550-043,CASTELO DE PENALVA,-7.662875897446486,40.65455075814955
pt.ine.add.PTCONT.5427465,R PRINCIPAL,3,3550-038,CASTELO DE PENALVA,-7.661777440102808,40.64093951216314
pt.ine.add.PTCONT.5427560,,,3550-092,GERMIL PCT,-7.705076045119679,40.6415853906184
pt.ine.add.PTCONT.5427561,R RAMADA,23,3550-126,PENALVA DO CASTELO,-7.707500802705417,40.67673237588416
pt.ine.add.PTCONT.5427655,R 1 DE DEZEMBRO,,3550-135,PENALVA DO CASTELO,-7.697284958012022,40.67618998035634
pt.ine.add.PTCONT.5427656,R S SEBASTIÃO,6,3550-165,PENALVA DO CASTELO,-7.697396428644099,40.68450210537735
pt.ine.add.PTCONT.5427657,R SALGUEIRO,,3550-165,PENALVA DO CASTELO,-7.6971926795586505,40.68127751306203
pt.ine.add.PTCONT.5427755,R CRUZEIRO,1,3550-166,PENALVA DO CASTELO,-7.703050308827996,40.66986299685908
pt.ine.add.PTCONT.5427756,R D MANUEL I,6,3550-147,PENALVA DO CASTELO,-7.696996602953551,40.675063253542106
pt.ine.add.PTCONT.5427757,R MATADOURO,102,3550-129,PENALVA DO CASTELO,-7.694411339213652,40.67249600940499
pt.ine.add.PTCONT.5427758,R MATADOURO,102,3550-129,PENALVA DO CASTELO,-7.694411339213652,40.67249600940499
pt.ine.add.PTCONT.5427759,R LADEIRA,23,3550-183,LUSINDE,-7.737681500467113,40.68947383819931
pt.ine.add.PTCONT.5427853,R FONTE GRANDE,8,3550-222,MATELA PCT,-7.570352008493788,40.69543419861575
pt.ine.add.PTCONT.5427854,AV PRINCIPAL,18,3550-221,MATELA PCT,-7.554268970064249,40.68773640822773
pt.ine.add.PTCONT.5427855,AV PRINCIPAL,40,3550-221,MATELA PCT,-7.558173284419639,40.687683876944604
pt.ine.add.PTCONT.5427856,R ESCADINHAS,,3550-221,MATELA PCT,-7.557187446825706,40.68676945265056
pt.ine.add.PTCONT.5427857,R CAPELA,3,3550-252,PINDO,-7.7410555154142715,40.674933101138286
pt.ine.add.PTCONT.5427949,R PRINCIPAL,22,3550-248,PINDO,-7.753062884138282,40.66828244441059
pt.ine.add.PTCONT.5427950,R TORTA,6,3550-248,PINDO,-7.753172387026619,40.667742497252156
pt.ine.add.PTCONT.5427951,R PRINCIPAL,23,3550-244,PINDO,-7.772862456997752,40.654721141185604
pt.ine.add.PTCONT.5427952,R PRINCIPAL,23,3550-244,PINDO,-7.772862456997752,40.654721141185604
pt.ine.add.PTCONT.5427953,R PARREIRA,8,3550-244,PINDO,-7.77262656037436,40.65461234321689
pt.ine.add.PTCONT.5427954,QTA CASTANHEIRA,,3550-248,PINDO,-7.753820601694459,40.66396247421437
pt.ine.add.PTCONT.5427955,R LOUREIRO,11,3550-257,PINDO,-7.747291051472156,40.66426502598653
pt.ine.add.PTCONT.5427956,R MEAL,,3550-242,PINDO,-7.745040668097002,40.662825668860336
pt.ine.add.PTCONT.5428068,R CÓNEGO JAIME,3,3550-271,REAL PCT,-7.676948672501749,40.64208105510552
pt.ine.add.PTCONT.5428069,R ESCOLA,28,3550-271,REAL PCT,-7.6804484981879515,40.64024877014822
pt.ine.add.PTCONT.5428070,R DR LÚCIO DE ALMEIDA,28,3550-316,SEZURES PCT,-7.630380878384627,40.70212280761382
pt.ine.add.PTCONT.5428071,R CAPELA,31,3550-307,SEZURES PCT,-7.632718091380743,40.69971060292924
pt.ine.add.PTCONT.5428072,R COOPERATIVA,70,3550-308,SEZURES PCT,-7.637889161592905,40.69804895536788
pt.ine.add.PTCONT.5428180,CARVALHA DO ANDRE,,3550-301,SEZURES PCT,-7.603001362871217,40.70053250707685
pt.ine.add.PTCONT.5428181,R ESTRADA MUNICIPAL,,3550-302,SEZURES PCT,-7.620511441148536,40.68838271283762
pt.ine.add.PTCONT.5428305,R OUTEIRO,,3550-350,VILA COVA DO COVELO,-7.6025604131927125,40.66811222426822
pt.ine.add.PTCONT.5428306,R PRINCIPAL,68,3550-350,VILA COVA DO COVELO,-7.603524089485451,40.66738723540787
pt.ine.add.PTCONT.5428307,ESTR PRINCIPAL,17,3550-350,VILA COVA DO COVELO,-7.598780679226107,40.66159311191759
pt.ine.add.PTCONT.5428308,CC SOUTO,12,3550-350,VILA COVA DO COVELO,-7.605623438425111,40.66211085002169
pt.ine.add.PTCONT.5428669,R ESTRADA MUNICIPAL,92,3550-302,SEZURES PCT,-7.625440825814455,40.68575700257866
pt.ine.add.PTCONT.5428757,R SANTO ANTÓNIO,,3550-036,CASTELO DE PENALVA,-7.676407138764121,40.65908962249589
pt.ine.add.PTCONT.5430031,R 25 DE ABRIL,,3550-054,CASTELO DE PENALVA,-7.679096701419025,40.656560782645336
pt.ine.add.PTCONT.5430032,R FONTE,,3550-071,ESMOLFE,-7.682326893310533,40.679077216482355
pt.ine.add.PTCONT.5430033,R ESCOLA,2,3550-271,REAL PCT,-7.677548571141843,40.642524675681166
pt.ine.add.PTCONT.5430034,R SENHORA DA GRAÇA,,3550-312,SEZURES PCT,-7.630769049778436,40.69927890089615
pt.ine.add.PTCONT.5430042,R FONTE,,3550-165,PENALVA DO CASTELO,-7.699207852519784,40.684265789822085
pt.ine.add.PTCONT.5430043,R S SEBASTIÃO,14,3550-165,PENALVA DO CASTELO,-7.697071527375169,40.68534735720016
pt.ine.add.PTCONT.5430044,R PAZ,33,3550-166,PENALVA DO CASTELO,-7.703659872000453,40.66886569788502
pt.ine.add.PTCONT.5430045,LG MASSADOURO,5,3550-244,PINDO,-7.773347430855055,40.65468663256217
pt.ine.add.PTCONT.5430061,ESTR RIO DAO,45,3550-294,SEZURES PCT,-7.629364321074651,40.69727365757066
pt.ine.add.PTCONT.5430075,AV PRINCIPAL,,3550-045,CASTELO DE PENALVA,-7.640246238605171,40.644694822090734
pt.ine.add.PTCONT.5430076,R FORMOSA,23,3550-166,PENALVA DO CASTELO,-7.703151745525736,40.668800771066124
pt.ine.add.PTCONT.5430086,BARROCAS,84,3550-122,PENALVA DO CASTELO,-7.69048589322381,40.67946898729797
pt.ine.add.PTCONT.5430097,R NOVA,,3550-038,CASTELO DE PENALVA,-7.658997491600409,40.64287324461196
pt.ine.add.PTCONT.5430098,R LUIS DE CAMÕES,35,3550-151,PENALVA DO CASTELO,-7.694575318438988,40.67635081746358
pt.ine.add.PTCONT.5430108,R SAUDADE,22,3550-241,PINDO,-7.742783256691035,40.66463709638138
pt.ine.add.PTCONT.5430109,R SACADURA CABRAL,13,3550-334,TRANCOZELOS,-7.708293908599241,40.65426751778108
pt.ine.add.PTCONT.5430120,R DIREITA,,3550-222,MATELA PCT,-7.5694739515239995,40.695736086669044
pt.ine.add.PTCONT.5430121,R CRUZEIRO,13,3550-313,SEZURES PCT,-7.629689498315937,40.70122829476409
pt.ine.add.PTCONT.5430122,R SACADURA CABRAL,4,3550-334,TRANCOZELOS,-7.708042181129621,40.654806899752614
pt.ine.add.PTCONT.5430134,AV PRINCIPAL,20,3550-221,MATELA PCT,-7.554435204434813,40.6876652011222
pt.ine.add.PTCONT.5430135,R QUINTA,12,3550-311,SEZURES PCT,-7.630376832246357,40.701087209174844
pt.ine.add.PTCONT.5430146,R REPOUSO,14,3550-071,ESMOLFE,-7.683765239989563,40.68154121400792
pt.ine.add.PTCONT.5430147,ESTR FUNDO DE VILA,,3550-189,PENALVA DO CASTELO,-7.691856866685831,40.676052297072204
pt.ine.add.PTCONT.5430148,R CAPELA,,3550-221,MATELA PCT,-7.555309255119996,40.68782266474736
pt.ine.add.PTCONT.5430149,R FONTE,1,3550-257,PINDO,-7.746415023800106,40.664424187879746
pt.ine.add.PTCONT.5430159,R PRINCIPAL,1,3550-039,CASTELO DE PENALVA,-7.648258055926353,40.661541315713144
pt.ine.add.PTCONT.5430160,QTA TAPADA,,3550-159,PENALVA DO CASTELO,-7.708748159617398,40.681473650156995
pt.ine.add.PTCONT.5430171,R PRINCIPAL,30,3550-248,PINDO,-7.753111058205682,40.668129515834785
pt.ine.add.PTCONT.5430180,R SOITO,,3550-071,ESMOLFE,-7.680863236824189,40.68212421927137
pt.ine.add.PTCONT.5430181,R PRINCIPAL,87,3550-350,VILA COVA DO COVELO,-7.603327606903036,40.6683048539668
pt.ine.add.PTCONT.5430191,R CAPELA,50,3550-243,PINDO,-7.756566678884961,40.66141400374707
pt.ine.add.PTCONT.5430192,R CAPELA,35,3550-243,PINDO,-7.757182037616285,40.661334962551635
pt.ine.add.PTCONT.5430193,PCT MOINHO,6,3550-303,SEZURES PCT,-7.581419813111533,40.70049442457174
pt.ine.add.PTCONT.5430208,R 25 DE ABRIL,,3550-031,CASTELO DE PENALVA,-7.674496266018475,40.65666867471484
pt.ine.add.PTCONT.5430209,SEM NOME,29,3550-112,PENALVA DO CASTELO,-7.709387172134977,40.668355555651885
pt.ine.add.PTCONT.5430210,R LAMEIRA,,3550-350,VILA COVA DO COVELO,-7.6024648506244406,40.66524816371036
pt.ine.add.PTCONT.5430226,R BARROCO,17,3550-243,PINDO,-7.7588303515256625,40.66051184447587
pt.ine.add.PTCONT.5430227,R QUELHAS,1,3550-243,PINDO,-7.758653128868863,40.66048425448329
pt.ine.add.PTCONT.5430228,R PROF DR AGUIAR E SILVA,4,3550-271,REAL PCT,-7.678020212707358,40.64270663835241
pt.ine.add.PTCONT.5430229,R ESCOLA,,3550-350,VILA COVA DO COVELO,-7.604295242418144,40.66558074479648
pt.ine.add.PTCONT.5430407,R OUTEIRO,1,3550-350,VILA COVA DO COVELO,-7.603403051979734,40.66773787900242
pt.ine.add.PTCONT.5430469,LG MASSADOURO,7,3550-244,PINDO,-7.773347430855055,40.65468663256217
pt.ine.add.PTCONT.5430485,R IGREJA,26,3550-310,SEZURES PCT,-7.6304551341523705,40.70011500450044
pt.ine.add.PTCONT.5430564,R FORNO,5,3550-093,GERMIL PCT,-7.728902659421733,40.640635652998846
pt.ine.add.PTCONT.5430565,R VINHA,6,3550-251,PINDO,-7.736503063286797,40.64877565401535
pt.ine.add.PTCONT.5431742,AV PRINCIPAL,10,3550-011,ANTAS PCT,-7.563032719130912,40.661611260148824
pt.ine.add.PTCONT.5431752,AV ESCOLA,19,3550-244,PINDO,-7.77386604053308,40.65499442221988
pt.ine.add.PTCONT.5431764,R ESCOLA,11,3550-200,MARECO,-7.614315094974364,40.65142513476509
pt.ine.add.PTCONT.5431765,R PONTE,,3550-272,REAL PCT,-7.690592292215391,40.632948877806975
pt.ine.add.PTCONT.5431777,R OUTEIRO,,3550-012,ANTAS PCT,-7.580797831344575,40.65687987109435
pt.ine.add.PTCONT.5431791,R 25 ABRIL A,A,3550-136,PENALVA DO CASTELO,-7.694029014587372,40.678491955186274
