id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1980203,R BOIEIROS,19,3105-203,MATA MOURISCA,-8.720888619781862,39.916591545992986
pt.ine.add.PTCONT.1980198,,,3100-062,ABIUL,-8.501236405071923,39.82941468894418
pt.ine.add.PTCONT.1980199,R VALE DO BARREIRO,,3100-040,ABIUL,-8.497379071005533,39.826733940235904
pt.ine.add.PTCONT.1980200,R PRINCIPAL,,3100-090,ALBERGARIA DOS DOZE,-8.606019620979664,39.807455501898396
pt.ine.add.PTCONT.1980201,R CASTELO,54,3100-081,ALBERGARIA DOS DOZE,-8.588356910691505,39.80298689199451
pt.ine.add.PTCONT.1980202,R BARROCA ALTA,,3100-095,ALBERGARIA DOS DOZE,-8.571293411055795,39.815301350944395
pt.ine.add.PTCONT.1980204,R VALE CONTEIRO,6,3105-214,MATA MOURISCA,-8.733171681832976,39.935594813133775
pt.ine.add.PTCONT.1980205,R PRINCIPAL,6,3105-213,MATA MOURISCA,-8.723373943016092,39.94313827315477
pt.ine.add.PTCONT.1980206,R PRINCIPAL,12,3105-289,PELARIGA,-8.629763590883346,39.98448321349668
pt.ine.add.PTCONT.1980207,R SILVA,3,3105-295,PELARIGA,-8.623325364570993,39.9813494569107
pt.ine.add.PTCONT.1980208,R GREGORIOS,17,3105-291,PELARIGA,-8.61808483507368,39.96539453248487
pt.ine.add.PTCONT.1980209,R SEIXO,6,3100-544,POMBAL,-8.633356319727907,39.910373591849236
pt.ine.add.PTCONT.1980210,R SEIXO,6,3100-544,POMBAL,-8.633356319727907,39.910373591849236
pt.ine.add.PTCONT.1980211,R SEIXO,57,3100-544,POMBAL,-8.635234040420132,39.909662986674775
pt.ine.add.PTCONT.1980212,R SEIXO,57,3100-544,POMBAL,-8.635234040420132,39.909662986674775
pt.ine.add.PTCONT.1980213,R SEIXO,57,3100-544,POMBAL,-8.635234040420132,39.909662986674775
pt.ine.add.PTCONT.1980214,R PROF JOSE ANTUNES,,3105-372,VERMOIL,-8.68587557159471,39.84006597961135
pt.ine.add.PTCONT.1980215,R BELA VISTA,8,3105-435,VERMOIL,-8.659241244274261,39.84967353814132
pt.ine.add.PTCONT.1980216,R PEDROSOS,15,3105-421,VERMOIL,-8.655398438721082,39.843701667246926
pt.ine.add.PTCONT.1980217,R MEL DOCE,9,3105-370,VERMOIL,-8.649252826489356,39.83434452135979
pt.ine.add.PTCONT.1980218,R ESPERANÇA,16,3105-420,VERMOIL,-8.63853235742117,39.825295256071215
pt.ine.add.PTCONT.1980271,R FETEIRA,22,3100-082,ALBERGARIA DOS DOZE,-8.557006096923876,39.81086021065503
pt.ine.add.PTCONT.1980272,R CUBANDEIRA,,3100-082,ALBERGARIA DOS DOZE,-8.559458620283015,39.805204179359755
pt.ine.add.PTCONT.1980273,R DR ALBINO COSTA,16,3100-082,ALBERGARIA DOS DOZE,-8.563940452786621,39.80484538018227
pt.ine.add.PTCONT.1980274,R VIGOTO,4,3100-081,ALBERGARIA DOS DOZE,-8.58232926884367,39.80262310565507
pt.ine.add.PTCONT.1980275,R ARUNCA,11,3100-081,ALBERGARIA DOS DOZE,-8.579863578510999,39.7987238214011
pt.ine.add.PTCONT.1980276,R PRINCIPAL,12,3105-291,PELARIGA,-8.625982133013991,39.96494693917408
pt.ine.add.PTCONT.1980277,R BARREIRO,18,3105-279,PELARIGA,-8.599628146055775,39.95696842007977
pt.ine.add.PTCONT.1980278,R PRINCIPAL,16,3105-279,PELARIGA,-8.605196158490266,39.95828780498905
pt.ine.add.PTCONT.1980279,R BOICA,4,3105-297,PELARIGA,-8.580413829153828,39.94650686617276
pt.ine.add.PTCONT.1980280,R BOICA,,3105-297,PELARIGA,-8.580555414134004,39.94668644449144
pt.ine.add.PTCONT.1980281,R ARNEIRO,20,3105-358,VERMOIL,-8.65075060693705,39.819108022217
pt.ine.add.PTCONT.1980282,R ALEGRIA,18,3100-812,VILA CÃ,-8.563813900449063,39.87621257395735
pt.ine.add.PTCONT.1980335,R PRINCIPAL,170,3100-081,ALBERGARIA DOS DOZE,-8.58863509824492,39.793826229422486
pt.ine.add.PTCONT.1980336,R PRINCIPAL,170,3100-081,ALBERGARIA DOS DOZE,-8.58863509824492,39.793826229422486
pt.ine.add.PTCONT.1980337,R PRIMEIRO JANEIRO,11,3105-010,ALMAGREIRA PBL,-8.690906840124153,40.021148198147124
pt.ine.add.PTCONT.1980338,R BAIXOS,4,3105-008,ALMAGREIRA PBL,-8.68396985071911,40.01648920520981
pt.ine.add.PTCONT.1980339,R PRINCIPAL,16,3105-018,ALMAGREIRA PBL,-8.678163020754218,40.01243689684552
pt.ine.add.PTCONT.1980340,R VALE NABAL,12,3105-018,ALMAGREIRA PBL,-8.676145331113657,40.013518095825944
pt.ine.add.PTCONT.1980341,R VALE NINHO,15,3105-286,PELARIGA,-8.618083788339671,39.94702186840259
pt.ine.add.PTCONT.1980342,TV FONTE,,3105-286,PELARIGA,-8.620680899630226,39.94199450647337
pt.ine.add.PTCONT.1980343,R MILITAR,2,3105-287,PELARIGA,-8.627363850124032,39.9373910426576
pt.ine.add.PTCONT.1980344,R VALE DA BARREIRA,21,3100-419,POMBAL,-8.648840037222534,39.91029675626631
pt.ine.add.PTCONT.1980345,R PRINCIPAL,23,3100-401,POMBAL,-8.643718078418132,39.90563615805365
pt.ine.add.PTCONT.1980346,R PRINCIPAL,62,3100-401,POMBAL,-8.645682199044073,39.90399735591512
pt.ine.add.PTCONT.1980347,R PRINCIPAL,144,3100-401,POMBAL,-8.656002801912164,39.90485190717855
pt.ine.add.PTCONT.1980348,R GAIA,13,3100-402,POMBAL,-8.64369555422782,39.904177239363136
pt.ine.add.PTCONT.1980349,R CABECO,,3100-814,VILA CÃ,-8.581216639803287,39.87401214131926
pt.ine.add.PTCONT.1980350,R PADARIA,,3100-821,VILA CÃ,-8.560792472269078,39.86590247195262
pt.ine.add.PTCONT.1980351,R PORTELINHA,12,3100-819,VILA CÃ,-8.550697395159142,39.856752755170774
pt.ine.add.PTCONT.1980352,R ESCONDIDINHO,,3100-818,VILA CÃ,-8.548261864901264,39.8326693823102
pt.ine.add.PTCONT.1980353,R SENHOR DO BONFIM,76,3100-811,VILA CÃ,-8.543769065655345,39.82954213151324
pt.ine.add.PTCONT.1980411,R PRINCIPAL,19,3105-024,ALMAGREIRA PBL,-8.678191424768134,39.999810186002065
pt.ine.add.PTCONT.1980412,R PRINCIPAL,19A,3105-006,ALMAGREIRA PBL,-8.710141866728302,40.00871566307077
pt.ine.add.PTCONT.1980413,R BONITOS,12A,3105-021,ALMAGREIRA PBL,-8.702363656364517,39.98032178054148
pt.ine.add.PTCONT.1980414,R LOUREIRO,1,3105-021,ALMAGREIRA PBL,-8.702326244025581,39.97722384743623
pt.ine.add.PTCONT.1980415,R BONITOS,35,3105-021,ALMAGREIRA PBL,-8.705319429845796,39.98380161192812
pt.ine.add.PTCONT.1980416,R CABINE,79,3100-322,POMBAL,-8.659655292822396,39.955747654108656
pt.ine.add.PTCONT.1980417,R PRINCIPAL,26,3100-330,POMBAL,-8.66071058448568,39.92554498854927
pt.ine.add.PTCONT.1980418,R PRINCIPAL,,3100-365,POMBAL,-8.670514394944902,39.91821390799994
pt.ine.add.PTCONT.1980419,R PRINCIPAL,70,3100-365,POMBAL,-8.670734717167832,39.917969717779215
pt.ine.add.PTCONT.1980420,R MARQUES DE POMBAL,,3100-362,POMBAL,-8.67604143629307,39.87901082316011
pt.ine.add.PTCONT.1980421,R ALDEIA,1,3100-362,POMBAL,-8.674213100185755,39.876920895617
pt.ine.add.PTCONT.1980422,R PRINCIPAL,58,3100-334,POMBAL,-8.601401454616457,39.89090933128835
pt.ine.add.PTCONT.1980423,R PRINCIPAL,51,3100-911,POMBAL,-8.599274827063798,39.89109802511826
pt.ine.add.PTCONT.1980424,R PRINCIPAL,22,3100-344,POMBAL,-8.605504849182031,39.89084765819428
pt.ine.add.PTCONT.1980425,R PORTELINHA,13,3105-262,MEIRINHAS,-8.689511911561645,39.85345006119881
pt.ine.add.PTCONT.1980426,R PALAO,35,3105-258,MEIRINHAS,-8.689848708057633,39.85174624478286
pt.ine.add.PTCONT.1980427,TV FONTE,7,3105-241,MEIRINHAS,-8.69344876324369,39.84899998559194
pt.ine.add.PTCONT.1980485,R FLORES,5,3105-004,ALMAGREIRA PBL,-8.661875552319936,39.99481531904716
pt.ine.add.PTCONT.1980486,TV ROSAS,15,3105-004,ALMAGREIRA PBL,-8.660796027039888,39.993000998522476
pt.ine.add.PTCONT.1980487,R PADARIA,28,3105-015,ALMAGREIRA PBL,-8.68479242580878,39.98335175572883
pt.ine.add.PTCONT.1980488,R MARQUES DE POMBAL,8,3100-356,POMBAL,-8.695141812922133,39.93617266858745
pt.ine.add.PTCONT.1980489,ESTR SOURE,102,3100-367,POMBAL,-8.687047441689177,39.92186469214131
pt.ine.add.PTCONT.1980490,R EMPORAO,7,3100-404,POMBAL,-8.64081293302127,39.90337932978022
pt.ine.add.PTCONT.1980491,R OLIVEIRAS,15,3100-352,POMBAL,-8.661680621392586,39.89347824433387
pt.ine.add.PTCONT.1980492,TV ALEGRIA,6,3100-352,POMBAL,-8.656859446822976,39.894490810295316
pt.ine.add.PTCONT.1980493,EN 1,,3105-253,MEIRINHAS,-8.707769932921071,39.8442916523038
pt.ine.add.PTCONT.1980494,EN 1,,3105-253,MEIRINHAS,-8.707769932921071,39.8442916523038
pt.ine.add.PTCONT.1980495,EN 1,,3105-253,MEIRINHAS,-8.707769932921071,39.8442916523038
pt.ine.add.PTCONT.1980496,R BELA VISTA,,3105-223,MEIRINHAS,-8.694986030400807,39.84550708914521
pt.ine.add.PTCONT.1980497,R PROF MOTA PINTO,55,3105-252,MEIRINHAS,-8.693977088279672,39.8406935661516
pt.ine.add.PTCONT.1980582,R BOICA,30,3105-011,ALMAGREIRA PBL,-8.688052422516801,39.96229778814019
pt.ine.add.PTCONT.1980583,R PRINCIPAL,63,3105-005,ALMAGREIRA PBL,-8.6866594659028,39.95646843837011
pt.ine.add.PTCONT.1980584,R LOUREIROS,1,3105-001,ALMAGREIRA PBL,-8.677739202963238,39.95908646014643
pt.ine.add.PTCONT.1980585,R S LOURENÇO,6,3105-001,ALMAGREIRA PBL,-8.676842147826514,39.95812700861274
pt.ine.add.PTCONT.1980586,R PRINCIPAL,58,3105-005,ALMAGREIRA PBL,-8.685310132561494,39.95603357007259
pt.ine.add.PTCONT.1980587,R CAPELA,10,3105-029,CARNIDE,-8.730359614524781,39.8987557964636
pt.ine.add.PTCONT.1980588,R RAMALHEIRO,7,3100-348,POMBAL,-8.70904049342248,39.91938889747981
pt.ine.add.PTCONT.1980589,R ESCOLA,7,3100-364,POMBAL,-8.67705687427868,39.917264763680755
pt.ine.add.PTCONT.1980590,R 8 DE DEZEMBRO,225,3100-319,POMBAL,-8.595734021871879,39.93309049063626
pt.ine.add.PTCONT.1980591,R 8 DE DEZEMBRO,225,3100-319,POMBAL,-8.595734021871879,39.93309049063626
pt.ine.add.PTCONT.1980592,R SANTIEIRA,2A,3100-319,POMBAL,-8.593922765957014,39.931656703046016
pt.ine.add.PTCONT.1980593,R CA COVADA,11,3100-319,POMBAL,-8.594908899764967,39.93042792900499
