id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5137213,,,4980-311,ENTRE AMBOS-OS-RIOS,-8.30172119970603,41.82003177874105
pt.ine.add.PTCONT.5137214,,,4980-757,TOUVEDO (SÃO LOURENÇO),-8.363464957063853,41.809651734049574
pt.ine.add.PTCONT.5137455,,,4980-110,BRAVÃES,-8.448964513662457,41.782168251744466
pt.ine.add.PTCONT.5137456,,,4980-453,LINDOSO,-8.21878003233004,41.86453691854684
pt.ine.add.PTCONT.5137457,,,4980-602,OLEIROS PTB,-8.423945339112201,41.80634535204781
pt.ine.add.PTCONT.5138099,,,4980-016,AZIAS,-8.355132452049096,41.77685081105752
pt.ine.add.PTCONT.5134670,,,4980-314,ENTRE AMBOS-OS-RIOS,-8.295534615814665,41.80571635466091
pt.ine.add.PTCONT.5134671,,,4980-320,ERMIDA PTB,-8.256707399963727,41.820539199703084
pt.ine.add.PTCONT.5134672,,,4980-330,GERMIL PTB,-8.265246634651696,41.782274354601206
pt.ine.add.PTCONT.5134673,,,4980-351,GROVELAS,-8.43792652173049,41.755187824967614
pt.ine.add.PTCONT.5134674,,,4980-403,LAVRADAS,-8.458489475455933,41.79129811164306
pt.ine.add.PTCONT.5134761,,,4980-452,LINDOSO,-8.246746813506881,41.857580125291975
pt.ine.add.PTCONT.5134762,,,4980-474,NOGUEIRA PTB,-8.425539010343938,41.78367981321312
pt.ine.add.PTCONT.5134763,,,4980-504,OLEIROS PTB,-8.442682542944597,41.79907569091685
pt.ine.add.PTCONT.5134841,,,4980-548,PAÇO VEDRO DE MAGALHÃES,-8.408276270270381,41.800369707218096
pt.ine.add.PTCONT.5134842,,,4980-562,PAÇO VEDRO DE MAGALHÃES,-8.402804381690256,41.79530478194712
pt.ine.add.PTCONT.5134918,CPO CORRO,,4980-614,PONTE DA BARCA,-8.42083676453434,41.80815385119837
pt.ine.add.PTCONT.5138430,,,4980-732,VILA CHÃ (SANTIAGO),-8.329038845139518,41.802873052965474
pt.ine.add.PTCONT.5138431,,,4980-763,TOUVEDO (SÃO LOURENÇO),-8.365335445889691,41.79776352546563
pt.ine.add.PTCONT.5135590,,,4980-203,BRITELO,-8.271420727223873,41.85649067449301
pt.ine.add.PTCONT.5136078,,,4980-249,CRASTO,-8.42721051725423,41.76512852915277
pt.ine.add.PTCONT.5136079,,,4980-314,ENTRE AMBOS-OS-RIOS,-8.298290313497992,41.80573943539035
pt.ine.add.PTCONT.5136080,,,4980-763,TOUVEDO (SÃO LOURENÇO),-8.365492119153066,41.797835235646694
pt.ine.add.PTCONT.5139734,,,4980-793,VADE (SÃO TOMÉ),-8.403394766724999,41.78118608390197
pt.ine.add.PTCONT.5136207,,,4980-552,PAÇO VEDRO DE MAGALHÃES,-8.406458313279915,41.79728589147053
pt.ine.add.PTCONT.5136208,,,4980-721,SAMPRIZ,-8.388021879095067,41.78722648604107
pt.ine.add.PTCONT.5134919,R DIOGO BERNARDES,28,4980-628,PONTE DA BARCA,-8.420473903769933,41.80774060517934
pt.ine.add.PTCONT.5134996,R ENG ADELINO AMARO DA COSTA,15,4980-608,PONTE DA BARCA,-8.411402554166775,41.80544007313855
pt.ine.add.PTCONT.5135076,R HEROIS DA INDIA,,4980-645,PONTE DA BARCA,-8.414713339148642,41.803064121018004
pt.ine.add.PTCONT.5135077,R HEROIS DA INDIA,,4980-645,PONTE DA BARCA,-8.414713339148642,41.803064121018004
pt.ine.add.PTCONT.5135078,LOTEAM RAPOSEIRAS,4,4980-608,PONTE DA BARCA,-8.413259458560002,41.803544853988065
pt.ine.add.PTCONT.5135147,,,4980-687,TOUVEDO (SALVADOR),-8.35357302633358,41.80265752484339
pt.ine.add.PTCONT.5135148,,,4980-735,VILA CHÃ (SANTIAGO),-8.327102521345873,41.80319145706258
pt.ine.add.PTCONT.5135149,,,4980-733,VILA CHÃ (SANTIAGO),-8.326425165378039,41.80202216083581
pt.ine.add.PTCONT.5135150,,,4980-734,VILA CHÃ (SANTIAGO),-8.34075310686534,41.801105822680135
pt.ine.add.PTCONT.5135208,,,4980-741,VILA CHÃ (S J BAPTISTA),-8.344166236413404,41.799857137367304
pt.ine.add.PTCONT.5135209,,,4980-741,VILA CHÃ (S J BAPTISTA),-8.344656683660567,41.79898290801672
pt.ine.add.PTCONT.5135253,,,4980-825,VILA NOVA DE MUIA,-8.38900894835797,41.80855328194787
pt.ine.add.PTCONT.5135254,,,4980-831,VILA NOVA DE MUIA,-8.381386805225025,41.807336548435586
pt.ine.add.PTCONT.5135255,,,4980-819,VILA NOVA DE MUIA,-8.398435358875762,41.80657816812343
pt.ine.add.PTCONT.5135256,,,4980-835,VILA NOVA DE MUIA,-8.395448505871007,41.80595479281687
pt.ine.add.PTCONT.5135315,,,4980-814,VILA NOVA DE MUIA,-8.376168856351766,41.79583239960434
pt.ine.add.PTCONT.5135540,,,4980-201,BRITELO,-8.287656151830397,41.83715789203349
pt.ine.add.PTCONT.5135538,,,4980-116,BRAVÃES,-8.448612364615808,41.79130765518271
pt.ine.add.PTCONT.5135475,,,4980-012,AZIAS,-8.345306594996314,41.77714848503934
pt.ine.add.PTCONT.5135476,,,4980-021,AZIAS,-8.355975615281118,41.773724994994
pt.ine.add.PTCONT.5135539,,,4980-116,BRAVÃES,-8.45019119739764,41.791879524502
pt.ine.add.PTCONT.5135536,,,4980-023,AZIAS,-8.354484835434796,41.77040561666545
pt.ine.add.PTCONT.5135537,,,4980-059,BOIVÃES,-8.449835483465261,41.75871196960301
pt.ine.add.PTCONT.5135591,QTA EIRIZ,,4980-242,CRASTO,-8.428708811711381,41.779773231125354
pt.ine.add.PTCONT.5135592,,,4980-238,CRASTO,-8.425281591356727,41.772021063603695
pt.ine.add.PTCONT.5135593,ESTRADA,,4980-283,CUIDE DE VILA VERDE,-8.418773829834985,41.777187377542056
pt.ine.add.PTCONT.5135638,,,4980-313,ENTRE AMBOS-OS-RIOS,-8.281854352510063,41.82203995775577
pt.ine.add.PTCONT.5135639,,,4980-313,ENTRE AMBOS-OS-RIOS,-8.282490062327694,41.82108477851917
pt.ine.add.PTCONT.5135640,,,4980-315,ENTRE AMBOS-OS-RIOS,-8.322633970069017,41.818045452641975
pt.ine.add.PTCONT.5135690,R CORISCA,25,4980-605,PONTE DA BARCA,-8.417603620623384,41.80360620465171
pt.ine.add.PTCONT.5135745,,,4980-202,BRITELO,-8.264444382662044,41.84888207684074
pt.ine.add.PTCONT.5136041,R JOSE LACERDA,N 115,4980-636,PONTE DA BARCA,-8.417556796705142,41.80662244590949
pt.ine.add.PTCONT.5136051,,,4980-023,AZIAS,-8.354279114088525,41.77003687269406
pt.ine.add.PTCONT.5136052,PAINCAES,72,4980-554,PAÇO VEDRO DE MAGALHÃES,-8.410841951929495,41.79822973460558
pt.ine.add.PTCONT.5136053,,,4980-735,VILA CHÃ (SANTIAGO),-8.324935593198642,41.80285296787658
pt.ine.add.PTCONT.5136054,PADIM,,4980-825,VILA NOVA DE MUIA,-8.387447335615466,41.809259011782366
pt.ine.add.PTCONT.5136063,,,4980-021,AZIAS,-8.361787807197183,41.76778932464922
pt.ine.add.PTCONT.5136064,,,4980-766,TOUVEDO (SÃO LOURENÇO),-8.361818943950686,41.80363177434891
pt.ine.add.PTCONT.5136065,,,4980-823,VILA NOVA DE MUIA,-8.384392376860456,41.809688892672014
pt.ine.add.PTCONT.5136092,,,4980-476,NOGUEIRA PTB,-8.419048767464421,41.790340650021925
pt.ine.add.PTCONT.5136104,,,4980-320,ERMIDA PTB,-8.258596559011592,41.82027605445364
pt.ine.add.PTCONT.5136105,,,4980-410,LAVRADAS,-8.452748396051403,41.773847649792245
pt.ine.add.PTCONT.5136106,,,4980-734,VILA CHÃ (SANTIAGO),-8.327502439449503,41.800147641546396
