id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1389111,,,7220-358,PORTEL,-7.714878877494996,38.30606927825573
pt.ine.add.PTCONT.1368066,BC GAIAS,1,7220-102,AMIEIRA PRL,-7.557945327256067,38.2868877272017
pt.ine.add.PTCONT.1368067,MTE NOGUEIRA,,7220-013,ALQUEVA,-7.645729572256185,38.34751271169475
pt.ine.add.PTCONT.1368068,R POR DO SOL,3,7220-204,MONTE DO TRIGO,-7.716670490409032,38.39562627927304
pt.ine.add.PTCONT.1368069,R CAP,5,7220-233,MONTE DO TRIGO,-7.711860294397978,38.39599640855867
pt.ine.add.PTCONT.1368070,R CARCHANA,18,7220-221,MONTE DO TRIGO,-7.711222533484551,38.394422517854494
pt.ine.add.PTCONT.1368071,MTE FREIRAS,,7220-234,MONTE DO TRIGO,-7.708275255685619,38.38948415001106
pt.ine.add.PTCONT.1368072,R CRUZ,51,7220-385,PORTEL,-7.7031371783685865,38.30334147144496
pt.ine.add.PTCONT.1368073,QTA DO DERRAMADO,,7220-385,PORTEL,-7.728732096892904,38.29228036232606
pt.ine.add.PTCONT.1368074,QTA DO DERRAMADO,,7220-385,PORTEL,-7.728732096892904,38.29228036232606
pt.ine.add.PTCONT.1368102,R MOINHO,3,7220-208,MONTE DO TRIGO,-7.713643911039754,38.39844218724467
pt.ine.add.PTCONT.1368103,R ÉVORA,,7220-397,PORTEL,-7.706112009524096,38.31349694694661
pt.ine.add.PTCONT.1368104,R JOSE POMBINHO,2,7220-356,PORTEL,-7.70914182198994,38.30960714502494
pt.ine.add.PTCONT.1368105,ESTR ORIOLA,1,7220-482,SANTANA PRL,-7.80044005250279,38.269145724945645
pt.ine.add.PTCONT.1368106,R NOVA,18,7220-506,SANTANA PRL,-7.802134929588388,38.268339721643144
pt.ine.add.PTCONT.1368107,R ORIOLA,21,7220-496,SANTANA PRL,-7.8043664210474795,38.26762528676475
pt.ine.add.PTCONT.1368108,R MONTE GRANDE,3,7220-503,SANTANA PRL,-7.805917523224975,38.267071648160226
pt.ine.add.PTCONT.1368109,R MONTE GRANDE,12,7220-503,SANTANA PRL,-7.805759708447595,38.26648324900965
pt.ine.add.PTCONT.1368110,R CEMITÉRIO,6A,7220-499,SANTANA PRL,-7.803923672016415,38.26617871795787
pt.ine.add.PTCONT.1368111,LG PRACA,4,7220-486,SANTANA PRL,-7.802978022488874,38.26636915879613
pt.ine.add.PTCONT.1368112,R VARGECA,6,7220-493,SANTANA PRL,-7.803898542165596,38.26519572951558
pt.ine.add.PTCONT.1368144,R IRMÃOS,5,7220-036,ALQUEVA,-7.540184769116882,38.21805169015877
pt.ine.add.PTCONT.1368145,R PROF JOAQUIM GUERREIRO BEJA,,7220-019,ALQUEVA,-7.540333667103158,38.21740041881812
pt.ine.add.PTCONT.1368146,R TRINDADE,6,7220-027,ALQUEVA,-7.539050701996028,38.216493048514394
pt.ine.add.PTCONT.1368147,R CASTELA,2,7220-030,ALQUEVA,-7.537607850538514,38.216281828075566
pt.ine.add.PTCONT.1368148,R PARREIRA,19,7220-389,PORTEL,-7.702244450865293,38.307993279824615
pt.ine.add.PTCONT.1368149,R VALE FLORES,5,7220-402,PORTEL,-7.701158085149776,38.3081934797206
pt.ine.add.PTCONT.1368150,LG MIGUEL BOMBARDA,5,7220-369,PORTEL,-7.702287903830229,38.30744614451327
pt.ine.add.PTCONT.1368151,R VALE DE FLORES,33A,7220-389,PORTEL,-7.700742777388905,38.30719832107582
pt.ine.add.PTCONT.1368152,LG ANTÓNIO SÉRGIO,7,7220-362,PORTEL,-7.702096229552014,38.30605034776606
pt.ine.add.PTCONT.1368153,R TEÓFILO BRAGA,14A,7220-429,PORTEL,-7.700715239165152,38.30577468808081
pt.ine.add.PTCONT.1368154,R MELINDRES,28,7220-415,PORTEL,-7.699705705985731,38.30504158316057
pt.ine.add.PTCONT.1368155,EN 384 MONTE DAS GALEGAS,,7220-462,PORTEL,-7.634788972685096,38.301405161949305
pt.ine.add.PTCONT.1368156,R CRUZ,23,7220-528,SÃO BARTOLOMEU DO OUTEIRO,-7.909198015849587,38.354859121422585
pt.ine.add.PTCONT.1368157,LG IGREJA,3,7220-525,SÃO BARTOLOMEU DO OUTEIRO,-7.908926450070868,38.353862636563704
pt.ine.add.PTCONT.1368188,R FONTE,21,7220-568,VERA CRUZ,-7.679706055064322,38.22602136279378
pt.ine.add.PTCONT.1368235,EN 384 HERDADE DOS MELINDRES,,7220-462,PORTEL,-7.672617578135497,38.297857154900704
pt.ine.add.PTCONT.1368260,R ÉVORA,,7220-397,PORTEL,-7.706112009524096,38.31349694694661
