id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1980219,R COMEND JOÃO LOPES COELHO DA SILVA,64,2480-353,JUNCAL,-8.901744770229467,39.59956124681984
pt.ine.add.PTCONT.1980220,ESTR PRINCIPAL,184,2480-078,JUNCAL,-8.905223054253845,39.579381228126934
pt.ine.add.PTCONT.1980221,ESTR PRINCIPAL,57,2480-078,JUNCAL,-8.897155396579606,39.58452333850399
pt.ine.add.PTCONT.1980222,R CANTO DA CUMEIRA,,2480-078,JUNCAL,-8.902253317700835,39.5813283562477
pt.ine.add.PTCONT.1980223,R TRAS DA SOJA,,2480-073,JUNCAL,-8.894437389203977,39.58079439258752
pt.ine.add.PTCONT.1980283,R PRINCIPAL,41,2480-215,MENDIGA,-8.847353379653132,39.49882540341782
pt.ine.add.PTCONT.1980284,R BARREIRO,33,2480-201,MENDIGA,-8.865018529484122,39.49382482487695
pt.ine.add.PTCONT.1980285,R PRINCIPAL,11,2480-203,MENDIGA,-8.855925795787336,39.482397965702816
pt.ine.add.PTCONT.1980286,R BARREIRO BAIXINHO,3,2480-203,MENDIGA,-8.858987135874958,39.481712387095264
pt.ine.add.PTCONT.1980354,R GEN HUMBERTO DELGADO,1215,2485-131,MIRA DE AIRE,-8.725415697962084,39.544571823994566
pt.ine.add.PTCONT.1980355,R GIL EANES,6,2485-136,MIRA DE AIRE,-8.719910675679225,39.54428450827853
pt.ine.add.PTCONT.1980428,R FIANDEIRA,286,2485-100,MIRA DE AIRE,-8.714903374703876,39.545084266515865
pt.ine.add.PTCONT.1980498,R D DINIS,140,2485-117,MIRA DE AIRE,-8.715907868205655,39.542782495174045
pt.ine.add.PTCONT.1980499,R LIBERDADE,77,2485-103,MIRA DE AIRE,-8.716063896151455,39.540575041092666
pt.ine.add.PTCONT.1980500,R GRUTAS,220,2485-059,MIRA DE AIRE,-8.70789915852922,39.54075080569778
pt.ine.add.PTCONT.1980606,R BARTOLOMEU DIAS,64,2485-092,MIRA DE AIRE,-8.709958673066144,39.53940759249305
pt.ine.add.PTCONT.1980734,R RELVA DO LAGAR,28,2480-113,PEDREIRAS,-8.84763501463956,39.60002369875507
pt.ine.add.PTCONT.1980735,R PRINCIPAL PE DA SERRA,4,2480-108,PEDREIRAS,-8.843695449978615,39.597318831729424
pt.ine.add.PTCONT.1980736,R PE DA SERRA,36,2480-108,PEDREIRAS,-8.84565042488964,39.59382126756649
pt.ine.add.PTCONT.1980737,ESTR CASAL DA LUISA,33,2480-096,PEDREIRAS,-8.872866009490124,39.596875574931545
