id,street,house,postcode,city,lon,lat
pt.ine.add.MAD.27443,,,9270-013,ACHADAS DA CRUZ,-17.212996869257356,32.855335972619365
pt.ine.add.MAD.28275,,,9270-013,ACHADAS DA CRUZ,-17.213949201176803,32.855824113935
pt.ine.add.MAD.27466,CAM LADEIRA,,9270-034,PORTO MONIZ,-17.170968561350772,32.86467567906719
pt.ine.add.MAD.27467,CAM LADEIRA,,9270-034,PORTO MONIZ,-17.17069283674591,32.86476162673401
pt.ine.add.MAD.27468,CAM JUNQUEIRA,,9270-041,PORTO MONIZ,-17.184525756158877,32.85237366820683
pt.ine.add.MAD.28276,CAM ACHADA,,9270-014,ACHADAS DA CRUZ,-17.207306375239444,32.84385765597991
pt.ine.add.MAD.29103,CAM POMBAIS,,9270-042,PORTO MONIZ,-17.199701380176872,32.85818570201139
pt.ine.add.MAD.29104,CAM POMBAIS,,9270-042,PORTO MONIZ,-17.19941458183218,32.85825387113112
pt.ine.add.MAD.29105,CAM POMBAIS,,9270-042,PORTO MONIZ,-17.198696804648215,32.858609170364204
pt.ine.add.MAD.29127,CAM CASTANHEIRO,,9270-035,PORTO MONIZ,-17.173694273291307,32.856394993290145
pt.ine.add.MAD.29128,CAM CAPELA,,9270-035,PORTO MONIZ,-17.170253791097654,32.85375839063148
pt.ine.add.MAD.74875,ER 101,,9270-093,PORTO MONIZ,-17.190134499158663,32.85975137968737
pt.ine.add.MAD.29129,CAM CAPELA,,9270-035,PORTO MONIZ,-17.170498622089205,32.85415994773626
pt.ine.add.MAD.29130,CAM CAPELA,,9270-035,PORTO MONIZ,-17.170812201414645,32.85387495019535
pt.ine.add.MAD.29131,CAM CAPELA,,9270-035,PORTO MONIZ,-17.171292780873156,32.85386660780277
pt.ine.add.MAD.29153,CAM FARROBO,,9270-124,SEIXAL PMZ,-17.110359245793024,32.8249065016208
pt.ine.add.MAD.29913,CAM TRANCAS,,9270-035,PORTO MONIZ,-17.16876559369467,32.857580745488775
pt.ine.add.MAD.29914,SITIO LAMACEIROS,,9270-035,PORTO MONIZ,-17.169560886264602,32.8573324856869
pt.ine.add.MAD.29937,CAM PORTADA,,9270-126,SEIXAL PMZ,-17.10611059206935,32.82274159668761
pt.ine.add.MAD.30737,ER 101,,9270-091,PORTO MONIZ,-17.182123249985906,32.857664012528964
pt.ine.add.MAD.30738,ER 101,,9270-091,PORTO MONIZ,-17.182076032399742,32.85791733685538
pt.ine.add.MAD.30739,ER 101,,9270-091,PORTO MONIZ,-17.181858238845077,32.85774979720477
pt.ine.add.MAD.30740,ER 101,,9270-091,PORTO MONIZ,-17.182315930136802,32.85767868611401
pt.ine.add.MAD.33287,ER 209,367,9270-104,RIBEIRA DA JANELA,-17.15361786345496,32.84709311918666
pt.ine.add.MAD.33288,ER 209,371,9270-104,RIBEIRA DA JANELA,-17.15354703817631,32.84681478194362
pt.ine.add.MAD.27439,,,9270-013,ACHADAS DA CRUZ,-17.212575801906137,32.85601975772666
pt.ine.add.MAD.27440,,,9270-013,ACHADAS DA CRUZ,-17.21264675276774,32.85586519986196
pt.ine.add.MAD.27441,,,9270-013,ACHADAS DA CRUZ,-17.212953771075423,32.85575155398592
