id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.799296,,,4830-663,SÃO JOÃO DE REI,-8.28122917980625,41.61825550573009
pt.ine.add.PTCONT.458871,,,4830-673,SÃO JOÃO DE REI,-8.29001965188325,41.62139512429346
pt.ine.add.PTCONT.458855,AV ÁGUAS SANTAS,176,4830-004,ÁGUAS SANTAS,-8.323123494779313,41.61680733002818
pt.ine.add.PTCONT.458856,AV ÁGUAS SANTAS,1317,4830-004,ÁGUAS SANTAS,-8.334353081835696,41.61658113648739
pt.ine.add.PTCONT.458857,R PLAMES,63,4830-030,AJUDE,-8.29829172198355,41.637355999598356
pt.ine.add.PTCONT.458858,R IGREJA,48,4830-045,BRUNHAIS,-8.184319256363334,41.57468058428974
pt.ine.add.PTCONT.458859,R QUINTAES,352,4830-075,CALVOS PVL,-8.245637201420902,41.594904289130014
pt.ine.add.PTCONT.458860,R CALVOS,218,4830-065,CALVOS PVL,-8.26403084972909,41.592264737929
pt.ine.add.PTCONT.458861,R RIBEIRINHA,451,4830-603,COVELAS PVL,-8.329636486946796,41.5924234172383
pt.ine.add.PTCONT.458862,R GRULHO,234,4830-159,ESPERANÇA PVL,-8.168102634735362,41.58647253868407
pt.ine.add.PTCONT.458863,R CAPELA DE S ROQUE,44,4830-295,GARFE,-8.257792125530154,41.53507986133292
pt.ine.add.PTCONT.458864,R DR AUGUSTO MARTINS FERREIRA,178 E,4830-307,GERAZ DO MINHO,-8.29559429673936,41.6050997429176
pt.ine.add.PTCONT.458865,AV REPUBLICA,196,4830-513,PÓVOA DE LANHOSO,-8.273296070729625,41.57846912810821
pt.ine.add.PTCONT.458866,LG ANTÓNIO FERREIRA LOPES,216,4830-516,PÓVOA DE LANHOSO,-8.267424985721911,41.57487464532619
pt.ine.add.PTCONT.458867,R 1 DE MAIO,85,4830-658,SANTO EMILIÃO,-8.29600918451946,41.5315296000077
pt.ine.add.PTCONT.458868,R NSA SRA DE FÁTIMA,,4830-660,SANTO EMILIÃO,-8.295731109758087,41.5305395757766
pt.ine.add.PTCONT.458869,LG ANTAS,,4830-671,SÃO JOÃO DE REI,-8.29356131667902,41.62218255734176
pt.ine.add.PTCONT.458870,,,4830-678,SÃO JOÃO DE REI,-8.29697087015684,41.62288903664079
pt.ine.add.PTCONT.458872,LUGAR DE CANCELOS,,4830-663,SÃO JOÃO DE REI,-8.282224964836779,41.61821820376022
pt.ine.add.PTCONT.459019,R CONFRARIA,380,4830-067,CALVOS PVL,-8.260161387897398,41.58843350000675
pt.ine.add.PTCONT.459020,R QUINTEIRAS,16,4830-106,CAMPOS PVL,-8.282233518235946,41.54374842153328
pt.ine.add.PTCONT.459021,R FONTE COVA,285,4830-099,CAMPOS PVL,-8.277301495578989,41.54090051286099
pt.ine.add.PTCONT.459022,R S LUZIA,8,4830-202,FONTE ARCADA PVL,-8.252656095317015,41.57666468400202
pt.ine.add.PTCONT.459023,TV SANTO ANTÓNIO,75,4830-197,FONTE ARCADA PVL,-8.248597440403687,41.573418485277735
pt.ine.add.PTCONT.459024,R MARCO,80,4830-190,FONTE ARCADA PVL,-8.230906743282612,41.56995044679008
pt.ine.add.PTCONT.459025,R SIMAES,700,4830-203,FONTE ARCADA PVL,-8.235095719920414,41.57290003344735
pt.ine.add.PTCONT.459026,R CACHADA,89,4830-372,LOUREDO PVL,-8.282179116593056,41.54615250051258
pt.ine.add.PTCONT.459027,R NSA SRA DAS ARCAS,,4830-402,MONSUL,-8.312763211339702,41.623342635125276
pt.ine.add.PTCONT.459028,R LACAO,,4830-410,MONSUL,-8.31002361240982,41.617584543460524
pt.ine.add.PTCONT.459029,R LAVANDEIRA,399,4830-426,MONSUL,-8.30584277478502,41.62004890046025
pt.ine.add.PTCONT.459030,R SANTRIL,105,4830-421,MONSUL,-8.316276644838528,41.61825902875558
pt.ine.add.PTCONT.459031,R GEN RAMALHO EANES,391,4830-530,PÓVOA DE LANHOSO,-8.262320368688865,41.57051368387864
pt.ine.add.PTCONT.459032,R VEIGA,49,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.459033,MIRAO,719,4830-561,PÓVOA DE LANHOSO,-8.267321465757675,41.56541183747256
pt.ine.add.PTCONT.459034,R EUROPA,1405,4830-701,SERZEDELO PVL,-8.219896956972688,41.621118307012466
pt.ine.add.PTCONT.459035,R MIRAGAIA,15,4830-693,SERZEDELO PVL,-8.199158076753728,41.61656723550725
pt.ine.add.PTCONT.459036,R BOTICAS,,4830-694,SERZEDELO PVL,-8.224297723555129,41.61908907666882
pt.ine.add.PTCONT.459037,R S SEBASTIÃO,,4830-704,SERZEDELO PVL,-8.217056476102123,41.6051388978476
pt.ine.add.PTCONT.459174,R VARZIELAS,,4830-725,SOBRADELO DA GOMA,-8.184252628682566,41.56621709817746
pt.ine.add.PTCONT.459163,TV REQUEIXO,135,4830-215,FRADES,-8.245375941639363,41.603332001637334
pt.ine.add.PTCONT.459164,R S SILVESTRE,113,4830-235,FRIANDE PVL,-8.285616205390173,41.64693536392297
pt.ine.add.PTCONT.459165,R SENHORA DE FÁTIMA,151,4830-229,FRIANDE PVL,-8.283340201378826,41.64379609798845
pt.ine.add.PTCONT.459166,R GROVA,93,4830-249,GALEGOS PVL,-8.268674450113704,41.56458190564983
pt.ine.add.PTCONT.459167,R CALÇADA,200,4830-444,MOURE PVL,-8.329756407081934,41.604272068731966
pt.ine.add.PTCONT.459168,R D ELVIRA CÂMARA LOPES,90,4830-537,PÓVOA DE LANHOSO,-8.268604089107853,41.576809063655084
pt.ine.add.PTCONT.459169,R DR MÁRIO SOARES,182,4830-524,PÓVOA DE LANHOSO,-8.262711400119173,41.568199282735605
pt.ine.add.PTCONT.459170,R DR JORGE SAMPAIO,,4830-558,PÓVOA DE LANHOSO,-8.261045262977694,41.568381223447616
pt.ine.add.PTCONT.459171,R MOINHOS NOVOS,582,4830-538,PÓVOA DE LANHOSO,-8.264712857741172,41.567836859746244
pt.ine.add.PTCONT.459172,R BRASIL,20,4830-526,PÓVOA DE LANHOSO,-8.261914625901495,41.56543602877508
pt.ine.add.PTCONT.459173,R GOA,162,4830-589,PÓVOA DE LANHOSO,-8.258566310891608,41.5636389813215
pt.ine.add.PTCONT.459175,R D ARMINDA VIEIRA,,4830-750,TAÍDE,-8.228299023406116,41.56586493582318
pt.ine.add.PTCONT.459319,R D ELVIRA CÂMARA LOPES,90,4830-537,PÓVOA DE LANHOSO,-8.268604089107853,41.576809063655084
pt.ine.add.PTCONT.459320,R SANTA CRUZ DO RIO,259,4830-607,OLIVEIRA PVL,-8.224535375675435,41.58345227972933
pt.ine.add.PTCONT.459321,AV SOBRADELO,966,4830-628,RENDUFINHO,-8.262470097145648,41.621501455498205
pt.ine.add.PTCONT.459322,R SERRA,162,4830-628,RENDUFINHO,-8.26085344552582,41.62313292512473
pt.ine.add.PTCONT.459323,AV VALSANTOS,128,4830-631,RENDUFINHO,-8.26757216530954,41.60536102422391
pt.ine.add.PTCONT.459324,R ANTUNES,,4830-745,TAÍDE,-8.223800124586878,41.563635642657474
pt.ine.add.PTCONT.459325,R PROF FRANCISCO MAGALHÃES MACHADO,56,4830-737,TAÍDE,-8.219228328292091,41.56044282544118
pt.ine.add.PTCONT.459326,R PORTO D AVE,,4830-755,TAÍDE,-8.224501232119598,41.55923225214219
pt.ine.add.PTCONT.459327,R SANTO AMARO,,4830-760,TAÍDE,-8.229176334455852,41.559210433836
pt.ine.add.PTCONT.459328,R S MIGUEL,220,4830-738,TAÍDE,-8.236582902791044,41.55813256033741
pt.ine.add.PTCONT.459329,R GERZART,400,4830-748,TAÍDE,-8.232603172778639,41.55817208770465
pt.ine.add.PTCONT.459444,R S BENTO,232,4830-649,SANTO EMILIÃO,-8.293285567722789,41.53006580660323
pt.ine.add.PTCONT.459445,R S BENTO,115,4830-649,SANTO EMILIÃO,-8.294698305843346,41.52860922120607
pt.ine.add.PTCONT.459446,R S BENTO,115,4830-649,SANTO EMILIÃO,-8.294698305843346,41.52860922120607
pt.ine.add.PTCONT.459447,R S BENTO,115,4830-649,SANTO EMILIÃO,-8.294698305843346,41.52860922120607
pt.ine.add.PTCONT.459448,R CASA NOVA,65,4830-733,TAÍDE,-8.234451370910534,41.55954804853355
pt.ine.add.PTCONT.459449,R LUZENCIAS,52,4830-769,TAÍDE,-8.250666064972851,41.54383004380545
pt.ine.add.PTCONT.459450,R GERZART,63,4830-748,TAÍDE,-8.25109962408021,41.54499108728722
pt.ine.add.PTCONT.459451,R ALDEIA DE CIMA,125,4830-772,TRAVASSOS,-8.20049274739357,41.57320463470259
pt.ine.add.PTCONT.459452,TV PACO,224,4830-772,TRAVASSOS,-8.201093102120103,41.574014617442195
pt.ine.add.PTCONT.459453,R VEIGA ESTEIRO,62,4830-801,VERIM,-8.31154973880947,41.63584158082821
pt.ine.add.PTCONT.459587,R ESPERANÇA,33,4830-815,VILELA PVL,-8.265580887308152,41.55258350409186
pt.ine.add.PTCONT.459588,R SENHORA DO O,68,4830-819,VILELA PVL,-8.254165758735361,41.55034514590685
pt.ine.add.PTCONT.459589,R POUSADA,130,4830-824,VILELA PVL,-8.262499404443329,41.546068282517496
pt.ine.add.PTCONT.461295,R VENTUZELA,38,4830-111,CAMPOS PVL,-8.281122754085702,41.55067375837228
pt.ine.add.PTCONT.461354,CAM S VICENTE,241,4830-313,GERAZ DO MINHO,-8.3060358310394,41.59798960628849
pt.ine.add.PTCONT.461362,R S JOSE,41,4830-116,CAMPOS PVL,-8.278785664030208,41.54540953606227
pt.ine.add.PTCONT.461389,R FERINHAS,254,4830-435,MOURE PVL,-8.326366353807499,41.605871468683745
pt.ine.add.PTCONT.461390,LG CARVALHAS,109,4830-726,SOBRADELO DA GOMA,-8.190981174536079,41.55594062433342
pt.ine.add.PTCONT.461457,R RIBEIRINHA,451,4830-603,COVELAS PVL,-8.329636486946796,41.5924234172383
pt.ine.add.PTCONT.461523,R CABO VERDE,47,4830-525,PÓVOA DE LANHOSO,-8.26030737070083,41.56504165314606
pt.ine.add.PTCONT.461524,R S TOMÉ,,4830-531,PÓVOA DE LANHOSO,-8.259587002943567,41.564502222956534
pt.ine.add.PTCONT.461547,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461548,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461549,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461550,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461551,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461552,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461553,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461554,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461555,R ESTRADA DE MIRAO,719,4830-561,PÓVOA DE LANHOSO,-8.267321465757675,41.56541183747256
pt.ine.add.PTCONT.461556,R VEIGA,149,4830-574,PÓVOA DE LANHOSO,-8.269244007840006,41.573197811900386
pt.ine.add.PTCONT.461676,TV ARMANDO TEIXEIRA RIBEIRO,137,4830-250,GALEGOS PVL,-8.278289209678867,41.56457016811104
pt.ine.add.PTCONT.463517,R OUTEIRO,491,4830-604,OLIVEIRA PVL,-8.223590811476651,41.58546085588579
pt.ine.add.PTCONT.463518,R FUNDO DE ARCAS,,4830-631,RENDUFINHO,-8.27325718530438,41.599303756716004
pt.ine.add.PTCONT.463519,TV LAGE,141,4830-822,VILELA PVL,-8.257671574653921,41.55343869767607
pt.ine.add.PTCONT.463520,R BAIRRO,52,4830-610,OLIVEIRA PVL,-8.218088524553126,41.58714874893641
pt.ine.add.PTCONT.463521,R AREIAS,117,4830-641,SANTO EMILIÃO,-8.291209649400503,41.53375123218812
pt.ine.add.PTCONT.463522,R SANTUARIO,287,4830-761,TAÍDE,-8.223683428793455,41.55733310620771
pt.ine.add.PTCONT.463523,R DEVESA,6,4830-814,VILELA PVL,-8.2578237119957,41.55152073056492
pt.ine.add.PTCONT.463525,R PONTE DE PEREIROS,312,4830-508,PÓVOA DE LANHOSO,-8.260572951619801,41.57207328067591
pt.ine.add.PTCONT.463526,R LAGEDO,47,4830-638,SANTO EMILIÃO,-8.288272233875244,41.5330709445819
pt.ine.add.PTCONT.463527,R SANTINHO,371,4830-767,TAÍDE,-8.220580279943697,41.56735668467126
pt.ine.add.PTCONT.463529,R POCA RALDE,,4830-758,TAÍDE,-8.211140818169323,41.56395105787164
pt.ine.add.PTCONT.463531,TV BOUÇA DA TAPADA,22,4830-654,SANTO EMILIÃO,-8.293784920922798,41.5333334883776
pt.ine.add.PTCONT.463532,TV PAREDAO,159,4830-655,SANTO EMILIÃO,-8.294680553666694,41.53209871355097
pt.ine.add.PTCONT.463535,R MOINHOS NOVOS,468,4830-538,PÓVOA DE LANHOSO,-8.265254237978198,41.56875462043257
pt.ine.add.PTCONT.463536,R MOINHOS NOVOS,468,4830-538,PÓVOA DE LANHOSO,-8.265254237978198,41.56875462043257
pt.ine.add.PTCONT.463537,R MOINHOS NOVOS,468,4830-538,PÓVOA DE LANHOSO,-8.265254237978198,41.56875462043257
pt.ine.add.PTCONT.463538,R MOINHOS NOVOS,468,4830-538,PÓVOA DE LANHOSO,-8.265254237978198,41.56875462043257
pt.ine.add.PTCONT.463539,R MOINHOS NOVOS,468,4830-538,PÓVOA DE LANHOSO,-8.265254237978198,41.56875462043257
pt.ine.add.PTCONT.463540,R MOINHOS NOVOS,468,4830-538,PÓVOA DE LANHOSO,-8.265254237978198,41.56875462043257
pt.ine.add.PTCONT.463541,R MOINHOS NOVOS,468,4830-538,PÓVOA DE LANHOSO,-8.265254237978198,41.56875462043257
pt.ine.add.PTCONT.463542,R MIRADOURO,34,4830-724,SOBRADELO DA GOMA,-8.171257177482035,41.566942443752
pt.ine.add.PTCONT.463543,R LAGE DA LAPA,138,4830-751,TAÍDE,-8.247354049209298,41.54822722497344
pt.ine.add.PTCONT.463545,R TONINHO MANQUINHO,25,4830-511,PÓVOA DE LANHOSO,-8.267138891668118,41.57568531487623
pt.ine.add.PTCONT.463546,AV AMARELOS,761,4830-622,RENDUFINHO,-8.256946969768753,41.607092663513995
pt.ine.add.PTCONT.463547,R D ELVIRA CÂMARA LOPES,210,4830-537,PÓVOA DE LANHOSO,-8.267430022314484,41.57730564620443
pt.ine.add.PTCONT.463548,R DR MÁRIO SOARES,227,4830-524,PÓVOA DE LANHOSO,-8.26288031130655,41.56873031294071
pt.ine.add.PTCONT.463550,AV MARCO,135,4830-626,RENDUFINHO,-8.270580498834274,41.60975126181415
pt.ine.add.PTCONT.463551,R REDUFE,26,4830-648,SANTO EMILIÃO,-8.290548629281076,41.52799871173354
pt.ine.add.PTCONT.463552,AV REPUBLICA,98,4830-513,PÓVOA DE LANHOSO,-8.272802672200934,41.57765038960709
pt.ine.add.PTCONT.463553,AV REPUBLICA,98,4830-513,PÓVOA DE LANHOSO,-8.272802672200934,41.57765038960709
pt.ine.add.PTCONT.463554,AV REPUBLICA,98,4830-513,PÓVOA DE LANHOSO,-8.272802672200934,41.57765038960709
pt.ine.add.PTCONT.463556,AV REPUBLICA,98,4830-513,PÓVOA DE LANHOSO,-8.272802672200934,41.57765038960709
