id,street,house,postcode,city,lon,lat
pt.ine.add.AC26.1,CAN DIANTE,1E,9760-584,PRAIA DA VITÓRIA,-27.08391403494381,38.747686252217285
pt.ine.add.AC26.2,ESTR 25 DE ABRIL,443,9760-403,PRAIA DA VITÓRIA,-27.082325810444793,38.74754319360003
pt.ine.add.AC26.3,ESTR 25 DE ABRIL,387,9760-403,PRAIA DA VITÓRIA,-27.082268127408113,38.74741706976596
pt.ine.add.AC26.4,ESTR 25 DE ABRIL,387,9760-403,PRAIA DA VITÓRIA,-27.082268127408113,38.74741706976596
pt.ine.add.AC26.5,ESTR 25 DE ABRIL,385 385,9760-403,PRAIA DA VITÓRIA,-27.082233542493288,38.747363023623805
pt.ine.add.AC26.6,ESTR 25 DE ABRIL,379,9760-403,PRAIA DA VITÓRIA,-27.082118259820856,38.74718286973873
pt.ine.add.AC26.7,ESTR 25 DE ABRIL,383,9760-403,PRAIA DA VITÓRIA,-27.082187439686226,38.74729997382317
pt.ine.add.AC26.8,ESTR 25 DE ABRIL,383,9760-403,PRAIA DA VITÓRIA,-27.082187439686226,38.74729997382317
pt.ine.add.AC26.9,R ALECRIM,2,9760-410,PRAIA DA VITÓRIA,-27.081425757146445,38.74538100458408
pt.ine.add.AC26.10,R ALECRIM,6,9760-410,PRAIA DA VITÓRIA,-27.082012186351662,38.74499308940569
pt.ine.add.AC26.11,R ALECRIM,8,9760-410,PRAIA DA VITÓRIA,-27.08219608524445,38.74480371349459
pt.ine.add.AC26.12,ESTR 25 DE ABRIL,378,9760-403,PRAIA DA VITÓRIA,-27.080228805933572,38.74521060895275
pt.ine.add.AC26.13,ESTR 25 DE ABRIL,382,9760-403,PRAIA DA VITÓRIA,-27.08042457116442,38.745336638926
pt.ine.add.AC26.14,ESTR 25 ABRIL,388,9760-403,PRAIA DA VITÓRIA,-27.08042457116442,38.745336638926
pt.ine.add.AC26.15,ESTR 25 DE ABRIL,390,9760-403,PRAIA DA VITÓRIA,-27.080689847546672,38.745877161056136
pt.ine.add.AC26.16,ESTR 25 DE ABRIL,392,9760-403,PRAIA DA VITÓRIA,-27.080931421214576,38.7458049000699
