id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1367678,R LADEIRA,31,7200-082,CORVAL,-7.471650778279828,38.484386527298675
pt.ine.add.PTCONT.1367679,R AULA,7,7200-118,CORVAL,-7.482045586993535,38.45020163607503
pt.ine.add.PTCONT.1367680,R ESCOLA,16,7200-121,CORVAL,-7.484935610133256,38.44895193817426
pt.ine.add.PTCONT.1367681,R JARDIM,14,7200-135,CORVAL,-7.48440454731388,38.447925289749925
pt.ine.add.PTCONT.1367682,R FLORES,14,7200-128,CORVAL,-7.485110321285486,38.44738508700054
pt.ine.add.PTCONT.1367683,R PRIMAVERA,24,7200-126,CORVAL,-7.486447948694922,38.447719361430394
pt.ine.add.PTCONT.1367764,MTE BRANCO,,7200-177,MONSARAZ,-7.410877664845574,38.454700855712105
pt.ine.add.PTCONT.1367765,R VARANDAS,,7200-173,MONSARAZ,-7.378286926996366,38.4522973605776
pt.ine.add.PTCONT.1367766,R SANTIAGO,,7200-175,MONSARAZ,-7.380508527008935,38.44421978787606
pt.ine.add.PTCONT.1367767,R DIREITA,,7200-175,MONSARAZ,-7.380321695697721,38.44389658120973
pt.ine.add.PTCONT.1367768,R 25 DE ABRIL,10,7200-364,REGUENGOS DE MONSARAZ,-7.540694058602257,38.43028996997583
pt.ine.add.PTCONT.1367769,R DR JACINTO FERNANDES PALMA,2,7200-353,REGUENGOS DE MONSARAZ,-7.540324969815539,38.42915297104054
pt.ine.add.PTCONT.1367770,MTE PANDEIRA B,,7200-202,REGUENGOS DE MONSARAZ,-7.553070159255943,38.4464105546429
pt.ine.add.PTCONT.1367771,URB JOSÉ SARAMAGO,,7200-479,REGUENGOS DE MONSARAZ,-7.541882386263273,38.42769800666496
pt.ine.add.PTCONT.1367772,R MANUEL AUGUSTO PAPANCA,,7200-480,REGUENGOS DE MONSARAZ,-7.543744042641919,38.42935804445498
pt.ine.add.PTCONT.1367773,R ULTRAMAR,33,7200-355,REGUENGOS DE MONSARAZ,-7.539733431488308,38.42860601461558
pt.ine.add.PTCONT.1367774,R TIMOR,24,7200-353,REGUENGOS DE MONSARAZ,-7.540514427374122,38.42833070237277
pt.ine.add.PTCONT.1367775,R ZECA AFONSO,,7200-413,REGUENGOS DE MONSARAZ,-7.530500025248783,38.426874757137654
pt.ine.add.PTCONT.1367776,R CARLOS PAREDES,,7200-482,REGUENGOS DE MONSARAZ,-7.527083788633748,38.42664048144441
pt.ine.add.PTCONT.1367777,TV CAP FIALHO,2,7200-321,REGUENGOS DE MONSARAZ,-7.532214746822621,38.42539126845779
pt.ine.add.PTCONT.1367778,PAINEL ZONA MENDES MONTE VA VA,,7200-256,REGUENGOS DE MONSARAZ,-7.524795622932356,38.42091722041341
pt.ine.add.PTCONT.1367779,R LISBOA,94,7200-290,REGUENGOS DE MONSARAZ,-7.537898345576361,38.428973063539374
pt.ine.add.PTCONT.1367780,R MARIA VALEJO,18,7200-323,REGUENGOS DE MONSARAZ,-7.534449157253619,38.42919171763765
pt.ine.add.PTCONT.1367781,R DR FRANCISCO MARTINS BELO,1,7200-403,REGUENGOS DE MONSARAZ,-7.539618341523747,38.4243808602558
pt.ine.add.PTCONT.1367782,R AREAS DE BAIXO,15,7200-285,REGUENGOS DE MONSARAZ,-7.5317379191520955,38.42331328560256
pt.ine.add.PTCONT.1367783,R AREAS DE BAIXO,15,7200-285,REGUENGOS DE MONSARAZ,-7.5317379191520955,38.42331328560256
pt.ine.add.PTCONT.1367784,R MOURAO,60,7200-293,REGUENGOS DE MONSARAZ,-7.533551598542359,38.423539937343335
pt.ine.add.PTCONT.1367785,R COVALINHO,7 LA,7200-378,REGUENGOS DE MONSARAZ,-7.532484686814263,38.42209736568195
pt.ine.add.PTCONT.1367793,R JOSE MESTRE BATISTA,4,7200-368,REGUENGOS DE MONSARAZ,-7.535018403975462,38.41987980553663
pt.ine.add.PTCONT.1367794,R S ROMÃO,41,7200-466,REGUENGOS DE MONSARAZ,-7.573495149673434,38.413664770998494
pt.ine.add.PTCONT.1367795,R S ROMÃO,37,7200-466,REGUENGOS DE MONSARAZ,-7.573368928489369,38.413700202477635
pt.ine.add.PTCONT.1367796,R HORTAS,2,7200-462,REGUENGOS DE MONSARAZ,-7.569716598789962,38.412205298483535
pt.ine.add.PTCONT.1367797,R HORTAS,5,7200-462,REGUENGOS DE MONSARAZ,-7.569579768812453,38.412132572170194
pt.ine.add.PTCONT.1367798,R JUNQUEIRA,76,7200-516,CAMPINHO,-7.468541501671349,38.3672957943603
