id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4394606,EN 1,118,2040-481,ASSEICEIRA RMR,-8.931370113401853,39.29799106007835
pt.ine.add.PTCONT.4399046,,,2040-082,RIO MAIOR,-8.998209556752473,39.35241151462658
pt.ine.add.PTCONT.4400855,R CARTAXA,,2040-062,RIO MAIOR,-8.965567198583646,39.30284957753521
pt.ine.add.PTCONT.4391339,R PRINCIPAL,,2040-067,RIO MAIOR,-8.975757624777625,39.31638595876266
pt.ine.add.PTCONT.4391340,R CARTAXA,,2040-062,RIO MAIOR,-8.963755836733442,39.30261031720105
pt.ine.add.PTCONT.4391337,BC SUSMARIAS,3,2040-021,ALCOBERTAS,-8.88930735820157,39.41369715637773
pt.ine.add.PTCONT.4391338,R ALECRIM,147,2040-087,RIO MAIOR,-8.922711143698946,39.33001629043504
pt.ine.add.PTCONT.4391429,R S MARIA MADALENA,3,2040-022,ALCOBERTAS,-8.902551227975644,39.42064473685048
pt.ine.add.PTCONT.4391430,R OLHO DE AGUA,1,2040-011,ALCOBERTAS,-8.906846574122866,39.41947236405868
pt.ine.add.PTCONT.4391431,R PRINCIPAL,9,2040-025,ALCOBERTAS,-8.90084119296864,39.412964101988074
pt.ine.add.PTCONT.4391432,R PRINCIPAL,12,2040-013,ALCOBERTAS,-8.901194841468486,39.40498160122337
pt.ine.add.PTCONT.4391433,R COVÃO DO FEITO,9,2040-019,ALCOBERTAS,-8.90599420936989,39.404328335067135
pt.ine.add.PTCONT.4391434,R D ELISA LAUREANO SANTOS,10,2040-180,RIO MAIOR,-8.937664329497856,39.32731084908561
pt.ine.add.PTCONT.4391435,CSL BARREIRO,,2040-335,RIO MAIOR,-8.930788465415738,39.32640342295937
pt.ine.add.PTCONT.4391535,R COVÃO DO FEITO,5,2040-019,ALCOBERTAS,-8.906484847078291,39.40355047548625
pt.ine.add.PTCONT.4391536,R FONTE,14,2040-016,ALCOBERTAS,-8.922849455668201,39.385579711308594
pt.ine.add.PTCONT.4391537,TV LUGAR DE ALEM,4,2040-031,ARROUQUELAS,-8.890813588494632,39.25867559491423
pt.ine.add.PTCONT.4391538,R DR JOÃO AFONSO CALADO DA MAIA,131,2040-031,ARROUQUELAS,-8.896454225364405,39.25744980848245
pt.ine.add.PTCONT.4391539,R CABECO REDONDO,,2040-143,RIO MAIOR,-8.884734854155964,39.31325330501865
pt.ine.add.PTCONT.4391540,R MOINHO,9,2040-064,RIO MAIOR,-8.913018841703717,39.29063051690288
pt.ine.add.PTCONT.4391645,R PRINCIPAL,109,2040-041,ARRUDA DOS PISÕES,-8.855508566041001,39.31707721790961
pt.ine.add.PTCONT.4391646,R CIDADE RIO MAIOR,9,2040-051,AZAMBUJEIRA,-8.81246114490333,39.27702032774948
pt.ine.add.PTCONT.4391647,R CIDADE RIO MAIOR,3,2040-051,AZAMBUJEIRA,-8.813597586440462,39.27829271351662
pt.ine.add.PTCONT.4391648,R 25 ABRIL,2,2040-051,AZAMBUJEIRA,-8.811941290155048,39.27478957445035
pt.ine.add.PTCONT.4391649,R MANUEL NOBRE,3,2040-053,AZAMBUJEIRA,-8.79364053842716,39.28071347758057
pt.ine.add.PTCONT.4391650,ESTR ANGUSTIAS,2,2040-053,AZAMBUJEIRA,-8.79545929867148,39.27939710220767
pt.ine.add.PTCONT.4391651,R 1 MAIO,26,2040-460,SÃO JOÃO DA RIBEIRA,-8.859408546791888,39.28379858083616
pt.ine.add.PTCONT.4391652,R 25 DE ABRIL,38,2040-460,SÃO JOÃO DA RIBEIRA,-8.862167505563242,39.279376832111325
pt.ine.add.PTCONT.4391653,R PRINCIPAL,150,2040-460,SÃO JOÃO DA RIBEIRA,-8.860163100842358,39.315291851908036
pt.ine.add.PTCONT.4391654,R MANUEL SEQUEIRA NOBRE,,2040-460,SÃO JOÃO DA RIBEIRA,-8.8476061859352,39.28001653277011
pt.ine.add.PTCONT.4391655,LG BAIRRO FÁBRICA,,2040-460,SÃO JOÃO DA RIBEIRA,-8.858875813342717,39.280469249655944
pt.ine.add.PTCONT.4391656,R QUINTINOS,23,2040-481,ASSEICEIRA RMR,-8.94333499545977,39.30114195836222
pt.ine.add.PTCONT.4391734,R CIDADE RIO MAIOR,22,2040-052,AZAMBUJEIRA,-8.79522914426604,39.27218364040959
pt.ine.add.PTCONT.4391735,R FRANCISCO AUGUSTO FERREIRA CAMPOS,,2040-052,AZAMBUJEIRA,-8.792218480403418,39.26871492875771
pt.ine.add.PTCONT.4391736,R PRINCIPAL,,2040-150,FRÁGUAS RMR,-8.883063392643392,39.383627233734195
pt.ine.add.PTCONT.4391737,R VALE SAPO,14,2040-153,FRÁGUAS RMR,-8.853839056598524,39.37808346137072
pt.ine.add.PTCONT.4391738,EN 361,455,2040-153,FRÁGUAS RMR,-8.860443901370028,39.3737279976471
pt.ine.add.PTCONT.4391739,R HENRIQUES,4,2040-154,FRÁGUAS RMR,-8.872512507479069,39.36707680367057
pt.ine.add.PTCONT.4391740,R 1 MAIO,5,2040-481,ASSEICEIRA RMR,-8.934144950805443,39.29226148750049
pt.ine.add.PTCONT.4391741,R CARVALHEIRA,,2040-494,SÃO SEBASTIÃO,-8.889964260845304,39.37563836790796
pt.ine.add.PTCONT.4391742,R JOAQUIM FÉLIX,18,2040-494,SÃO SEBASTIÃO,-8.891597469292314,39.37427668107017
pt.ine.add.PTCONT.4391743,R SABROSA,1,2040-494,SÃO SEBASTIÃO,-8.885206068537231,39.36265406579572
pt.ine.add.PTCONT.4391836,R MACHADO SANTOS,14,2040-158,MARMELEIRA RMR,-8.835966915482787,39.263433068871855
pt.ine.add.PTCONT.4391837,R AFONSO COSTA,3,2040-158,MARMELEIRA RMR,-8.834469001597157,39.26194690327064
pt.ine.add.PTCONT.4391838,R CÂNDIDO DOS REIS,65,2040-158,MARMELEIRA RMR,-8.840324442114028,39.260065012423844
pt.ine.add.PTCONT.4391839,R MANUEL SANTO,42,2040-172,OUTEIRO DA CORTIÇADA,-8.796256407892464,39.3442260233616
pt.ine.add.PTCONT.4391840,EN 114,,2040-511,RIBEIRA DE SÃO JOÃO,-8.883994478180824,39.28520086011954
pt.ine.add.PTCONT.4391841,R VALE DA PEDRA,,2040-511,RIBEIRA DE SÃO JOÃO,-8.873550828247717,39.278521377077524
pt.ine.add.PTCONT.4391911,R PRINCIPAL,9,2040-535,MALAQUEIJO,-8.829642445313818,39.29405046926687
pt.ine.add.PTCONT.4392027,R FERRO VELHO,,2040-063,RIO MAIOR,-8.964057654848965,39.36436948708681
pt.ine.add.PTCONT.4392028,R PRINCIPAL,,2040-403,RIO MAIOR,-8.95754207881022,39.354967476405456
pt.ine.add.PTCONT.4392029,R PRINCIPAL,,2040-132,RIO MAIOR,-8.928777231718499,39.37301960474648
pt.ine.add.PTCONT.4392030,R CIDADE DE RIO MAIOR,102,2040-069,RIO MAIOR,-8.923907137412835,39.355876420685235
pt.ine.add.PTCONT.4392031,AV PORTUGAL,,2040-349,RIO MAIOR,-8.938108738703258,39.340782335353154
pt.ine.add.PTCONT.4392032,R SANTO ONOFRE,,2040-069,RIO MAIOR,-8.918203543472226,39.35628432645933
pt.ine.add.PTCONT.4392033,TV BUGALHOS,2,2040-210,RIO MAIOR,-8.925426249976956,39.33834738798967
pt.ine.add.PTCONT.4392160,R PAZ,46,2040-211,RIO MAIOR,-8.929638320518185,39.33848977231501
