id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5287004,R CAPELA,,5060-051,GOUVINHAS,-7.616761460401722,41.19762526624803
pt.ine.add.PTCONT.5287005,R CONCELHO,,5060-052,GOUVINHAS,-7.6345024980893434,41.184764276975464
pt.ine.add.PTCONT.5287006,R CARLOS TAVEIRA,,5060-106,PARADA DE PINHÃO,-7.589649002171916,41.33621866384808
pt.ine.add.PTCONT.5287007,R SOBREIRA,14,5060-208,PAÇOS SBR,-7.597269736763022,41.264878792656305
pt.ine.add.PTCONT.5287038,R FONTINHA,3,5060-210,PAÇOS SBR,-7.592858695043703,41.26290427368576
pt.ine.add.PTCONT.5287039,R VALE,,5060-262,PROVESENDE,-7.565827692171256,41.21767221863081
pt.ine.add.PTCONT.5287040,TV S BARBARA,8,5060-323,SABROSA,-7.574265541795904,41.27006387474538
pt.ine.add.PTCONT.5287041,EN BAIRRO DA CRUZ,,5060-404,S LOURENÇO DE RIBAPINHÃO,-7.599309904174718,41.32644044046065
pt.ine.add.PTCONT.5287042,R QUEIJATAS,,5060-405,S LOURENÇO DE RIBAPINHÃO,-7.578924773127524,41.320275348846806
pt.ine.add.PTCONT.5287043,R FONTE,,5060-405,S LOURENÇO DE RIBAPINHÃO,-7.576861913395957,41.31847358644097
pt.ine.add.PTCONT.5287044,R POCA,,5060-401,S LOURENÇO DE RIBAPINHÃO,-7.609232424275998,41.29406226625984
pt.ine.add.PTCONT.5287045,R CARREIRA,,5060-422,SÃO MARTINHO DE ANTAS,-7.619808748848137,41.2927232759604
pt.ine.add.PTCONT.5287046,,,5060-422,SÃO MARTINHO DE ANTAS,-7.620979319378663,41.29264745235633
pt.ine.add.PTCONT.5287047,R ATAFONA,,5060-514,SOUTO MAIOR SBR,-7.574207182342733,41.292294809415
pt.ine.add.PTCONT.5287048,R CALHELHA,,5060-526,SOUTO MAIOR SBR,-7.576299153267179,41.29337643750298
pt.ine.add.PTCONT.5287095,,,5060-630,VILARINHO DE SÃO ROMÃO,-7.57760828043665,41.24317557030329
pt.ine.add.PTCONT.5287081,R S CAETANO,87,5060-024,CELEIRÓS SBR,-7.557608015504959,41.24254609452351
pt.ine.add.PTCONT.5287082,LG CAPELA,84,5060-013,CELEIRÓS SBR,-7.558207852136329,41.24216191065195
pt.ine.add.PTCONT.5287083,R FOJOS,7,5085-205,COVAS DO DOURO,-7.585242084891718,41.18327988290612
pt.ine.add.PTCONT.5287084,R FONTELA,10,5060-318,SABROSA,-7.576906439156195,41.26825782380391
pt.ine.add.PTCONT.5287085,R S BARBARA,47,5060-323,SABROSA,-7.575808079346657,41.26971118580479
pt.ine.add.PTCONT.5287086,BR JOÃO PAULO II,25,5060-309,SABROSA,-7.576232421602891,41.26752522863781
pt.ine.add.PTCONT.5287087,PC DR ANTÓNIO VALENTE DA FONSECA,7,5060-313,SABROSA,-7.575798473524148,41.26522706755696
pt.ine.add.PTCONT.5287088,PC DR ANTÓNIO VALENTE DA FONSECA,7,5060-313,SABROSA,-7.575798473524148,41.26522706755696
pt.ine.add.PTCONT.5287089,URB MARÃOZINHO,,5060-321,SABROSA,-7.584581845846848,41.26376555428208
pt.ine.add.PTCONT.5287090,R TEIXO,,5060-444,SÃO MARTINHO DE ANTAS,-7.618271003235807,41.26812608016975
pt.ine.add.PTCONT.5287091,BR POUSADO,,5060-428,SÃO MARTINHO DE ANTAS,-7.613911801417215,41.268538704055324
pt.ine.add.PTCONT.5287092,VAR A,,5060-452,SÃO MARTINHO DE ANTAS,-7.608479823082703,41.264309132806204
pt.ine.add.PTCONT.5287093,R PASSAL CIMA,39,5060-477,SÃO MARTINHO DE ANTAS,-7.611086251773285,41.265185380694994
pt.ine.add.PTCONT.5287094,,,5060-615,VILARINHO DE SÃO ROMÃO,-7.549025152112926,41.25523479126004
pt.ine.add.PTCONT.5287415,R FONTELA,10,5060-318,SABROSA,-7.576906439156195,41.26825782380391
pt.ine.add.PTCONT.5287416,R CENTRAL,,5060-423,SÃO MARTINHO DE ANTAS,-7.635456579346017,41.249193813298334
