id,street,house,postcode,city,lon,lat
pt.ine.add.AC26.128,CAM POÇO,18,9880-026,GUADALUPE,-28.04406164350614,39.050398581699504
pt.ine.add.AC26.129,CAM POÇO,16,9880-026,GUADALUPE,-28.04427826402309,39.050198400901806
pt.ine.add.AC26.130,CAM ALTO DA RIBEIRINHA,24,9880-026,GUADALUPE,-28.044656781245124,39.05000578056025
pt.ine.add.AC26.131,CAM ALTO DA RIBEIRINHA,1,9880-026,GUADALUPE,-28.045157217108432,39.0502445928437
pt.ine.add.AC26.132,CAM ALTO DA RIBEIRINHA,7,9880-026,GUADALUPE,-28.045368522348408,39.050467973095884
pt.ine.add.AC26.133,CAM ALTO DA RIBEIRINHA,9,9880-026,GUADALUPE,-28.045369452165723,39.05053104152458
pt.ine.add.AC26.134,CAM ALTO DA RIBEIRINHA,13,9880-026,GUADALUPE,-28.045371046145057,39.05063915882928
pt.ine.add.AC26.135,CAM ALTO DA RIBEIRINHA,21,9880-026,GUADALUPE,-28.046577942229135,39.05176371565935
pt.ine.add.AC26.136,CAM ALTO DA RIBEIRINHA,25,9880-026,GUADALUPE,-28.04680917396888,39.051770651255076
pt.ine.add.AC26.137,CAM ALTO DA RIBEIRINHA,31,9880-026,GUADALUPE,-28.047017162822662,39.05176878410669
pt.ine.add.AC26.138,R ALTO DA RIBEIRINHA,,9880-026,GUADALUPE,-28.047617486912245,39.051727348970985
pt.ine.add.AC26.139,CAM ALTO DA RIBEIRINHA,39,9880-026,GUADALUPE,-28.047734101277076,39.05179838904637
pt.ine.add.AC26.140,CAM ALTO DA RIBEIRINHA,47,9880-026,GUADALUPE,-28.04839539708287,39.05197266520453
pt.ine.add.AC26.141,CAM ALTO DA RIBEIRINHA,51,9880-026,GUADALUPE,-28.04871777571792,39.05267262160748
pt.ine.add.AC26.142,R ESPERANÇA VELHA,7,9880-018,GUADALUPE,-28.04440183128922,39.04603422605631
pt.ine.add.AC26.143,R PEDREIRAS,23,9880-026,GUADALUPE,-28.043392591839464,39.048124794322604
pt.ine.add.AC26.144,CAM TANQUE,76,9880-027,GUADALUPE,-28.026960686969907,39.046567572713414
pt.ine.add.AC26.145,CAM MANUEL GASPAR,7,9880-021,GUADALUPE,-28.037625977944458,39.05363689198228
pt.ine.add.AC26.146,CAM MANUEL GASPAR,21,9880-021,GUADALUPE,-28.037482963810216,39.05334080248837
pt.ine.add.AC26.147,CAM MANUEL GASPAR,27,9880-021,GUADALUPE,-28.03706130870052,39.052957081339784
pt.ine.add.AC26.148,CAM MANUEL GASPAR,35,9880-021,GUADALUPE,-28.035673582742728,39.05131139537014
pt.ine.add.AC26.149,CAM MANUEL GASPAR,37,9880-021,GUADALUPE,-28.035428824620254,39.05116939320718
pt.ine.add.AC26.150,CAM MANUEL GASPAR,41,9880-021,GUADALUPE,-28.034741301288115,39.05077901267806
pt.ine.add.AC26.151,CAM MANUEL GASPAR,53,9880-021,GUADALUPE,-28.034513202498367,39.04940235739535
pt.ine.add.AC26.152,CAM MANUEL GASPAR,57,9880-021,GUADALUPE,-28.033424575941144,39.05003376637972
pt.ine.add.AC26.153,CAM MANUEL GASPAR,75,9880-021,GUADALUPE,-28.032478018413702,39.049312261337896
pt.ine.add.AC26.154,CAM MANUEL GASPAR,79,9880-021,GUADALUPE,-28.03239464393029,39.0491417908977
pt.ine.add.AC26.155,CAM MANUEL GASPAR,10,9880-021,GUADALUPE,-28.033508873241303,39.05026730467916
pt.ine.add.AC26.156,CAM MANUEL GASPAR,28,9880-021,GUADALUPE,-28.033009262889195,39.05008250074796
pt.ine.add.AC26.157,CAM MANUEL GASPAR,24,9880-021,GUADALUPE,-28.033104194736904,39.05025286832818
pt.ine.add.AC26.158,CAM MANUEL GASPAR,22,9880-021,GUADALUPE,-28.033152382864756,39.05038760604386
pt.ine.add.AC26.159,CAM MANUEL GASPAR,20,9880-021,GUADALUPE,-28.033188622546895,39.0504954166717
pt.ine.add.AC26.160,CAM ABAIXO FRAGOSO,3,9880-101,LUZ SCG,-27.98473091734406,39.01537515957286
pt.ine.add.AC26.161,CAM ABAIXO FRAGOSO,1,9880-101,LUZ SCG,-27.98453433046752,39.015358796808165
pt.ine.add.AC26.162,CAM ABAIXO FRAGOSO,7,9880-101,LUZ SCG,-27.984560177806056,39.01555682184851
pt.ine.add.AC26.163,CAM ABAIXO FRAGOSO,9,9880-101,LUZ SCG,-27.984304969728917,39.01547787607715
pt.ine.add.AC26.164,CAM ABAIXO FRAGOSO,11,9880-101,LUZ SCG,-27.98386397547618,39.01532840840741
pt.ine.add.AC26.165,CAN BECO,11,9880-135,LUZ SCG,-27.98737682092934,39.020417003395764
pt.ine.add.AC26.166,CAM FRAGOSO,40,9880-101,LUZ SCG,-27.982746942648816,39.01557211174376
pt.ine.add.AC26.167,R DR JOSE CONDE,63,9880-151,LUZ SCG,-27.98859663225105,39.016766208716206
pt.ine.add.AC26.168,ABAIXO DO FRAGOSO,77,9880-101,LUZ SCG,-27.985583309097464,39.015205761929444
pt.ine.add.AC26.169,ABAIXO DO FRAGOSO,85,9880-101,LUZ SCG,-27.985027322174854,39.01509331437934
pt.ine.add.AC26.170,ABAIXO DO FRAGOSO,89,9880-101,LUZ SCG,-27.984820811584523,39.01519417959953
pt.ine.add.AC26.171,ABAIXO DO FRAGOSO,93,9880-101,LUZ SCG,-27.983790185487894,39.01500463275843
pt.ine.add.AC26.172,ABAIXO DO FRAGOSO,IOI,9880-101,LUZ SCG,-27.983421610216936,39.01507982900729
pt.ine.add.AC26.173,ABAIXO DO FRAGOSO,103,9880-101,LUZ SCG,-27.983198432361903,39.014811378591986
pt.ine.add.AC26.174,ABAIXO DO FRAGOSO,75,9880-101,LUZ SCG,-27.985780020856506,39.015231132925635
pt.ine.add.AC26.175,CAM CARAPACHO,,9880-102,LUZ SCG,-27.96671669022786,39.01232690889853
pt.ine.add.AC26.176,CAM CARAPACHO,,9880-102,LUZ SCG,-27.963474588151723,39.01173196712797
pt.ine.add.AC26.177,R RODRIGUES SAMPAIO,29,9880-238,SÃO MATEUS SCG,-27.97103162772269,39.04996622225077
pt.ine.add.AC26.178,R RODRIGUES SAMPAIO,75,9880-238,SÃO MATEUS SCG,-27.971633768200743,39.05089835205125
pt.ine.add.AC26.179,R DR BRITO DE ALBUQUERQUE,14,9880-230,SÃO MATEUS SCG,-27.97164167004022,39.05147499071145
pt.ine.add.AC26.180,R FONTES PEREIRA DE MELO,68,9880-235,SÃO MATEUS SCG,-27.97053513639121,39.04999738813099
pt.ine.add.AC26.181,R FONTES PEREIRA MELO,10,9880-235,SÃO MATEUS SCG,-27.96933056891566,39.04895311794785
pt.ine.add.AC26.182,R FONTES PEREIRA DE MELO,12,9880-235,SÃO MATEUS SCG,-27.96933056891566,39.04895311794785
pt.ine.add.AC26.183,R FONTES PEREIRA MELO,12B,9880-235,SÃO MATEUS SCG,-27.96933056891566,39.04895311794785
pt.ine.add.AC26.184,R UNIAO PRAIENSE,1,9880-227,SÃO MATEUS SCG,-27.969200511109246,39.04873793456025
pt.ine.add.AC26.185,R UNIAO PRAIENSE,15,9880-227,SÃO MATEUS SCG,-27.969676102628476,39.048869146390544
pt.ine.add.AC26.186,R UNIAO PRAIENSE,25,9880-227,SÃO MATEUS SCG,-27.969931662496116,39.04896614237816
pt.ine.add.AC26.187,R RODRIGUES SAMPAIO,5,9880-238,SÃO MATEUS SCG,-27.970576176391653,39.049618584153045
pt.ine.add.AC26.188,R RODRIGUES SAMPAIO,9,9880-238,SÃO MATEUS SCG,-27.970634814002732,39.04968117321184
pt.ine.add.AC26.189,R RODRIGUES SAMPAIO,19,9880-238,SÃO MATEUS SCG,-27.970821542217777,39.049814784111966
pt.ine.add.AC26.190,R RODRIGUES SAMPAIO,16,9880-238,SÃO MATEUS SCG,-27.970958843765818,39.04971451996123
pt.ine.add.AC26.191,TV MATRIZ,10,9880-243,SÃO MATEUS SCG,-27.971034175652928,39.049308397277315
pt.ine.add.AC26.192,R NOVA,13 15,9880-384,SANTA CRUZ DA GRACIOSA,-28.009165813164497,39.08720916686456
pt.ine.add.AC26.193,R ARRABALDE,3,9880-367,SANTA CRUZ DA GRACIOSA,-28.009482196034558,39.086692804788434
pt.ine.add.AC26.194,R ARRABALDE,13,9880-367,SANTA CRUZ DA GRACIOSA,-28.00977044437266,39.08663624309348
pt.ine.add.AC26.195,R ARRABALDE,15,9880-367,SANTA CRUZ DA GRACIOSA,-28.009851112707473,39.08661752254976
pt.ine.add.AC26.196,R ARRABALDE,27,9880-367,SANTA CRUZ DA GRACIOSA,-28.01018586045338,39.08657857893293
pt.ine.add.AC26.197,R ARRABALDE,35,9880-367,SANTA CRUZ DA GRACIOSA,-28.010590615131402,39.08658408223345
pt.ine.add.AC26.198,R ARRABALDE,41,9880-367,SANTA CRUZ DA GRACIOSA,-28.0106831010991,39.08658328054635
pt.ine.add.AC26.199,R ARRABALDE,51,9880-367,SANTA CRUZ DA GRACIOSA,-28.011169166973442,39.08661510975139
