id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5287049,R PÓVOA DA SERRA,,5030-121,FONTES SMP,-7.861203153840392,41.25329779269348
pt.ine.add.PTCONT.5287050,ESTR JUSTOS,,5030-116,FONTES SMP,-7.8454108526720905,41.233143944808155
pt.ine.add.PTCONT.5287051,TV RAMADAS,12,5030-123,FONTES SMP,-7.814935680083125,41.230641626437034
pt.ine.add.PTCONT.5287052,R BALOUTA,16,5030-105,FONTES SMP,-7.811494743236266,41.229407488519556
pt.ine.add.PTCONT.5287053,R TAPADA,47,5030-321,MEDRÕES,-7.813991589309854,41.20893871716498
pt.ine.add.PTCONT.5287054,R AZENHA,181,5030-353,SANHOANE SMP,-7.802750641431049,41.20364851283887
pt.ine.add.PTCONT.5287055,R POMBAL,142,5030-419,LOBRIGOS (S J BAPTISTA),-7.7768216776005925,41.19664690907673
pt.ine.add.PTCONT.5287056,CAM PAREDES D ARCA,434,5030-560,SEVER SMP,-7.797302130679617,41.224630733981876
pt.ine.add.PTCONT.5287057,R SEVER,141,5030-570,SEVER SMP,-7.794706488482708,41.221489651166024
pt.ine.add.PTCONT.5287058,R CONCIEIRO,991,5030-570,SEVER SMP,-7.772417644133685,41.230147120695065
pt.ine.add.PTCONT.5287096,R RAPADA,,5030-013,ALVAÇÕES DO CORGO,-7.7456001038471705,41.20476700906584
pt.ine.add.PTCONT.5287097,R CABO DE VILA,,5030-016,ALVAÇÕES DO CORGO,-7.756178372938646,41.19594189081519
pt.ine.add.PTCONT.5287098,R BALOUTA,24,5030-105,FONTES SMP,-7.811196173365773,41.229487692549945
pt.ine.add.PTCONT.5287099,R SILVEIRA,,5030-131,FONTES SMP,-7.811461036605937,41.22898419426987
pt.ine.add.PTCONT.5287100,R TRAPA,2,5030-134,FONTES SMP,-7.8171968851199845,41.22919816679007
pt.ine.add.PTCONT.5287101,R CABO DO BARREIRO,,5030-252,LOUREDO SMP,-7.8099949624537235,41.25301240339911
pt.ine.add.PTCONT.5287102,CAM POEIRO,9,5030-479,SANTA MARTA DE PENAGUIÃO,-7.77622116866503,41.19088229231226
pt.ine.add.PTCONT.5287103,R CONCIEIRO,887,5030-556,SEVER SMP,-7.773540605792912,41.229817475412354
pt.ine.add.PTCONT.5287145,R VARGELA,,5030-082,CUMIEIRA,-7.768292097587123,41.25566111814606
pt.ine.add.PTCONT.5287146,LG LARGO DO EIRO,15,5030-058,CUMIEIRA,-7.765896597073859,41.257292269066106
pt.ine.add.PTCONT.5287147,R CABO DO LUGAR,107,5030-046,CUMIEIRA,-7.770362865825241,41.252318093358134
pt.ine.add.PTCONT.5287148,TV TAVORAS,49,5030-046,CUMIEIRA,-7.77056340310901,41.2527329189094
pt.ine.add.PTCONT.5287149,R BARREIRO,932,5030-252,LOUREDO SMP,-7.807305882973409,41.25392325600201
pt.ine.add.PTCONT.5287150,R ESCOLA DO BARREIRO,,5030-262,LOUREDO SMP,-7.806470598917601,41.25393889784031
pt.ine.add.PTCONT.5287151,R FORNO,78,5030-252,LOUREDO SMP,-7.810766658034681,41.25136679388714
pt.ine.add.PTCONT.5287152,R CORVO,186,5030-255,LOUREDO SMP,-7.826216392649886,41.26177286292718
pt.ine.add.PTCONT.5287153,R CASTELHADA,81,5030-315,MEDRÕES,-7.823169444168748,41.20707288222519
pt.ine.add.PTCONT.5287154,R MARÃO,26,5030-312,MEDRÕES,-7.823193772604672,41.20444369340215
pt.ine.add.PTCONT.5287155,R CENTRAL MEDROES,785,5030-324,MEDRÕES,-7.824434935993242,41.20164668949237
pt.ine.add.PTCONT.5287156,R SOBRADO DE BAIXO,37,5030-325,MEDRÕES,-7.8237737134331,41.20028526558175
pt.ine.add.PTCONT.5287157,R ALTO,21,5030-451,SANTA MARTA DE PENAGUIÃO,-7.7885305431517695,41.2098378120965
pt.ine.add.PTCONT.5287158,R ALTO,21,5030-451,SANTA MARTA DE PENAGUIÃO,-7.7885305431517695,41.2098378120965
pt.ine.add.PTCONT.5287159,R ALTO,21,5030-451,SANTA MARTA DE PENAGUIÃO,-7.7885305431517695,41.2098378120965
pt.ine.add.PTCONT.5287160,R ALTO,21,5030-451,SANTA MARTA DE PENAGUIÃO,-7.7885305431517695,41.2098378120965
pt.ine.add.PTCONT.5287161,R ALTO,21,5030-451,SANTA MARTA DE PENAGUIÃO,-7.7885305431517695,41.2098378120965
pt.ine.add.PTCONT.5287162,R ALTO,21,5030-451,SANTA MARTA DE PENAGUIÃO,-7.7885305431517695,41.2098378120965
pt.ine.add.PTCONT.5287163,R S COMBA,21,5030-462,SANTA MARTA DE PENAGUIÃO,-7.781435114969799,41.21001445727066
pt.ine.add.PTCONT.5287446,R STA COMBA,52,5030-462,SANTA MARTA DE PENAGUIÃO,-7.782852119286142,41.2103699427975
pt.ine.add.PTCONT.5287547,TV RAMADAS 2,8,5030-124,FONTES SMP,-7.814448373139719,41.23028911294797
pt.ine.add.PTCONT.5287566,R CABO DE VILA,,5030-108,FONTES SMP,-7.809265658167831,41.22914912197922
pt.ine.add.PTCONT.5287567,R S ANA,41,5030-367,SANHOANE SMP,-7.80180029470985,41.20532958594356
pt.ine.add.PTCONT.5287568,R LAMAS,137,5030-457,SANTA MARTA DE PENAGUIÃO,-7.777720080831335,41.20466351006189
pt.ine.add.PTCONT.5287569,LG CONCIEIRO,10,5030-556,SEVER SMP,-7.774437733151979,41.229343047902425
pt.ine.add.PTCONT.5287582,R TAPADA,,5030-064,CUMIEIRA,-7.7740723270513605,41.256885852113356
pt.ine.add.PTCONT.5287583,R URTIGUEIRAS,67,5030-307,MEDRÕES,-7.821230716617631,41.208589373550545
pt.ine.add.PTCONT.5287584,R AZENHA,86,5030-353,SANHOANE SMP,-7.802493111262384,41.20270232260812
pt.ine.add.PTCONT.5287593,R PORTELINHA,,5030-356,SANHOANE SMP,-7.795618587606808,41.20180896518742
pt.ine.add.PTCONT.5287594,R CAPELA,521,5030-570,SEVER SMP,-7.771078251259958,41.21781608468545
pt.ine.add.PTCONT.5287604,R S COMBA,44,5030-462,SANTA MARTA DE PENAGUIÃO,-7.781946855533461,41.21019610453709
pt.ine.add.PTCONT.5287623,R VALADO,,5030-082,CUMIEIRA,-7.767524809369817,41.2563159917497
pt.ine.add.PTCONT.5287624,R TABUADELO,,5030-133,FONTES SMP,-7.825984121495782,41.22728602277718
pt.ine.add.PTCONT.5287625,TV FR JOÃO DE MANSILHA,6,5030-469,SANTA MARTA DE PENAGUIÃO,-7.788903500213392,41.21147770707238
pt.ine.add.PTCONT.5287626,R CRUZ,25,5030-570,SEVER SMP,-7.791968369977438,41.21827605219268
pt.ine.add.PTCONT.5287649,R NSA SRA DA LIVRACAO,90,5030-114,FONTES SMP,-7.819702610835304,41.22398254157694
pt.ine.add.PTCONT.5287667,R S QUITERIA,,5030-128,FONTES SMP,-7.83238260435472,41.22862653696342
pt.ine.add.PTCONT.5287681,R JUSTOS,,5030-116,FONTES SMP,-7.8468812874357035,41.232382247507935
pt.ine.add.PTCONT.5287709,R VINHO,1B,5030-138,FONTES SMP,-7.817094186310664,41.23071060016905
pt.ine.add.PTCONT.5287710,R VINHO,30,5030-138,FONTES SMP,-7.817079527464158,41.231277828026485
pt.ine.add.PTCONT.5288415,R IGREJA,270,5030-481,SANTA MARTA DE PENAGUIÃO,-7.777876913976772,41.20652788201208
pt.ine.add.PTCONT.5288420,R AMOREIRA,,5030-064,CUMIEIRA,-7.774543479506651,41.25582482353051
pt.ine.add.PTCONT.5288437,R CENTRAL,78,5030-219,FORNELOS SMP,-7.806265764643033,41.247158136263096
pt.ine.add.PTCONT.5288454,CAM S MARTINHO,316,5030-077,CUMIEIRA,-7.761939630211751,41.23752431606027
pt.ine.add.PTCONT.5288465,R PELOURINHO,176,5030-256,LOUREDO SMP,-7.8266354512951235,41.2538142535392
pt.ine.add.PTCONT.5288478,TV BAIRRO,19,5030-402,LOBRIGOS (S J BAPTISTA),-7.772415352194932,41.19800184722919
pt.ine.add.PTCONT.5288482,R BAIRRO,258,5030-402,LOBRIGOS (S J BAPTISTA),-7.773259731542237,41.19837366500078
pt.ine.add.PTCONT.5288507,,,5030-429,LOBRIGOS (S J BAPTISTA),-7.774917056427964,41.18739357367163
pt.ine.add.PTCONT.5288508,R ESTAÇÃO,,5030-011,ALVAÇÕES DO CORGO,-7.758301036998892,41.19581375390771
pt.ine.add.PTCONT.5288519,LG EIRA,33,5030-455,SANTA MARTA DE PENAGUIÃO,-7.777332924522315,41.21230695319105
pt.ine.add.PTCONT.5288529,LUGAR DO VALE DO PORTO,,5030-026,ALVAÇÕES DO CORGO,-7.75735852502782,41.19177675365895
pt.ine.add.PTCONT.5288530,R POUSADOURO,220,5030-318,MEDRÕES,-7.829389163691518,41.205378637311135
pt.ine.add.PTCONT.5288531,R VELHA,1,5030-478,SANTA MARTA DE PENAGUIÃO,-7.7864645310200675,41.210452907388195
pt.ine.add.PTCONT.5288538,TV FUNDO DO POVO,10,5030-083,CUMIEIRA,-7.77837101932466,41.24306869333365
pt.ine.add.PTCONT.5288539,R CABO DE VILA,,5030-108,FONTES SMP,-7.8074410296944805,41.22910795904812
pt.ine.add.PTCONT.5288540,R VALADO,,5030-261,LOUREDO SMP,-7.843013386962451,41.2493275573417
pt.ine.add.PTCONT.5288541,R CARVALHAIS,329,5030-261,LOUREDO SMP,-7.835122090395361,41.25832963511222
pt.ine.add.PTCONT.5288542,R IGREJA,321,5030-481,SANTA MARTA DE PENAGUIÃO,-7.7784018531153984,41.20646647002185
pt.ine.add.PTCONT.5288543,R CONCIEIRO,12,5030-556,SEVER SMP,-7.773623749008034,41.22988076476659
pt.ine.add.PTCONT.5288557,R CABO DE VILA,,5030-108,FONTES SMP,-7.809539798061045,41.22918590965237
pt.ine.add.PTCONT.5288558,R CONTADOR,33,5030-306,MEDRÕES,-7.8185100017265805,41.20905019636341
pt.ine.add.PTCONT.5288559,R CONCIEIRO,,5030-570,SEVER SMP,-7.778950549646323,41.22852862457879
pt.ine.add.PTCONT.5288576,R AZENHA,146,5030-353,SANHOANE SMP,-7.80244170653703,41.203440527401796
pt.ine.add.PTCONT.5288581,R S MARTINHO,109,5030-057,CUMIEIRA,-7.764163540715366,41.23872002260105
pt.ine.add.PTCONT.5288582,ESTR AVELEIRA,32,5030-101,FONTES SMP,-7.816932932501508,41.22952159563196
pt.ine.add.PTCONT.5288583,TV FRAGA,28,5030-308,MEDRÕES,-7.823360072808192,41.209630613892735
pt.ine.add.PTCONT.5288602,R FUNDO DA CUMIEIRA,,5030-061,CUMIEIRA,-7.759891015746223,41.25585029355891
pt.ine.add.PTCONT.5288603,R MASSA,64,5030-413,LOBRIGOS (S J BAPTISTA),-7.77948100776635,41.1898298385534
pt.ine.add.PTCONT.5288622,R BAIRRO ALTO,72,5030-452,SANTA MARTA DE PENAGUIÃO,-7.775365011629393,41.210202859203
pt.ine.add.PTCONT.5288632,R VARGELA,,5030-082,CUMIEIRA,-7.7682311868511755,41.255886030396006
pt.ine.add.PTCONT.5288633,CAM FONTE,45,5030-554,SEVER SMP,-7.791295066595793,41.22849389544685
pt.ine.add.PTCONT.5288643,R AZINHEIRA,,5030-013,ALVAÇÕES DO CORGO,-7.748660074591478,41.203435625769636
pt.ine.add.PTCONT.5288644,AV 25 DE ABRIL,150,5030-464,SANTA MARTA DE PENAGUIÃO,-7.780161398899871,41.20962337640351
pt.ine.add.PTCONT.5288656,R SERRINHO,,5030-023,ALVAÇÕES DO CORGO,-7.755254956507222,41.20104430202168
pt.ine.add.PTCONT.5288687,R JUSTOS,,5030-116,FONTES SMP,-7.842406092176111,41.23291129192508
pt.ine.add.PTCONT.5288720,R TRAPA,28,5030-134,FONTES SMP,-7.817557158703848,41.228685911876354
pt.ine.add.PTCONT.5288735,R VINHO,4,5030-138,FONTES SMP,-7.817190123561725,41.23060281234441
pt.ine.add.PTCONT.5288751,QUELHO DA MATOSA,3,5030-218,FORNELOS SMP,-7.807377590857848,41.24669306700797
pt.ine.add.PTCONT.5289493,R CABO DO LUGAR,,5030-011,ALVAÇÕES DO CORGO,-7.754845113730367,41.19768435388361
pt.ine.add.PTCONT.5289511,R SILHAO,5,5030-079,CUMIEIRA,-7.759946146498362,41.26083880205657
pt.ine.add.PTCONT.5289553,LUGAR DA ESTAÇÃO,,5030-018,ALVAÇÕES DO CORGO,-7.762033293953959,41.19563674943707
pt.ine.add.PTCONT.5289571,R MALHADAS,,5030-048,CUMIEIRA,-7.7640562567135385,41.24930865136053
pt.ine.add.PTCONT.5289572,R CALVÁRIO,653,5030-261,LOUREDO SMP,-7.843178475078829,41.24706791109637
pt.ine.add.PTCONT.5289573,R MUNDO NOVO,801,5030-312,MEDRÕES,-7.8209076838112574,41.21383799744102
pt.ine.add.PTCONT.5289574,R AVELAIS,901,5030-302,MEDRÕES,-7.831483480051771,41.214055273095376
pt.ine.add.PTCONT.5289575,R POEIRO,34,5030-479,SANTA MARTA DE PENAGUIÃO,-7.776435823842055,41.19086494865093
pt.ine.add.PTCONT.5289576,R POEIRO,28,5030-479,SANTA MARTA DE PENAGUIÃO,-7.776662887129399,41.19075759986022
pt.ine.add.PTCONT.5289577,R VELHA,15,5030-478,SANTA MARTA DE PENAGUIÃO,-7.786690933557064,41.2104806015077
pt.ine.add.PTCONT.5289583,R VALADO,,5030-261,LOUREDO SMP,-7.8427263759590895,41.249479905766854
pt.ine.add.PTCONT.5289600,R AMOREIRA,,5030-064,CUMIEIRA,-7.77352128933768,41.257280317673
pt.ine.add.PTCONT.5289601,R CENTRAL MEDROES,2158,5030-306,MEDRÕES,-7.818389906714956,41.20922995401979
pt.ine.add.PTCONT.5289602,CC ENTRE VINHAS,,5030-309,MEDRÕES,-7.813531347437432,41.20305763689365
