id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4396420,,,2025-084,ALCANEDE,-8.803775206502731,39.38810137939775
pt.ine.add.PTCONT.4402666,,,2025-507,TREMÊS,-8.731169023015436,39.32389828956636
pt.ine.add.PTCONT.4434238,EN 362,,2025-251,ALCANEDE,-8.853252202102581,39.40002816965117
pt.ine.add.PTCONT.4394402,R MINA,5,2025-209,ALCANEDE,-8.861527483412102,39.46896978752992
pt.ine.add.PTCONT.4396639,EN 3,,2000-691,SÃO VICENTE DO PAUL,-8.652391213585627,39.361394830743805
pt.ine.add.PTCONT.4398518,R MINA,,2000-343,ACHETE,-8.695303085128044,39.363348138574224
pt.ine.add.PTCONT.4404815,BC FORNO,,2025-103,ALCANEDE,-8.80523188596354,39.41531215214342
pt.ine.add.PTCONT.4404816,TV JUSTAS,,2025-158,ALCANEDE,-8.843200378243795,39.42653443707655
pt.ine.add.PTCONT.4413816,,,2000-328,ACHETE,-8.702528762654236,39.34294791557387
pt.ine.add.PTCONT.4391245,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391246,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391247,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391248,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391249,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391250,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391251,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391252,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391253,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391254,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391255,R 1 DE MAIO,1,2000-748,VALE DE FIGUEIRA STR,-8.62869923556927,39.30572574814617
pt.ine.add.PTCONT.4391256,R PAPONAS,42,2005-393,VALE DE SANTARÉM,-8.745259354994708,39.20004750693575
pt.ine.add.PTCONT.4391257,R PAPONAS,44,2005-393,VALE DE SANTARÉM,-8.74559497586637,39.20003673566207
pt.ine.add.PTCONT.4391258,R MARECOS,,2005-389,VALE DE SANTARÉM,-8.755154568796131,39.191879480014954
pt.ine.add.PTCONT.4391343,R EIRAS,,2025-157,ALCANEDE,-8.87270656112402,39.43162863884695
pt.ine.add.PTCONT.4391344,TV 1 DEZEMBRO,1,2025-252,ALCANEDE,-8.857725439257782,39.43178597992444
pt.ine.add.PTCONT.4391345,R LADEIRINHA,1,2025-206,ALCANEDE,-8.857453449246083,39.461591571113814
pt.ine.add.PTCONT.4391346,R DR TANORA GONÇALVES,158,2005-259,SANTARÉM,-8.701642790256413,39.23633384374961
pt.ine.add.PTCONT.4391347,R CAP MARECOS,,2005-389,VALE DE SANTARÉM,-8.7543573266099,39.20255743083227
pt.ine.add.PTCONT.4391348,R BAIRRO NOVO,28,2005-373,VALE DE SANTARÉM,-8.740398232002814,39.193434534152324
pt.ine.add.PTCONT.4391349,R POMBAL,4,2005-395,VALE DE SANTARÉM,-8.738087373581624,39.19392394575291
pt.ine.add.PTCONT.4391350,R TORRE,19,2005-404,VALE DE SANTARÉM,-8.73773217757498,39.19299803243791
pt.ine.add.PTCONT.4391351,R DR MANUEL BRANCO,,2005-388,VALE DE SANTARÉM,-8.73252771515394,39.192151211042805
pt.ine.add.PTCONT.4391352,EN 3,,2005-044,VALE DE SANTARÉM,-8.720954644276105,39.19794786092963
pt.ine.add.PTCONT.4391438,R EDUARDO BARREIRO,2,2025-161,ALCANEDE,-8.833090003755895,39.45258073855623
pt.ine.add.PTCONT.4391439,R VALE PREZAS,10,2025-156,ALCANEDE,-8.782981996950902,39.40889048844615
pt.ine.add.PTCONT.4391440,R DR ANTÓNIO MARIA GALHORDAS,7,2005-149,SANTARÉM,-8.689974810133092,39.23429151100487
pt.ine.add.PTCONT.4391441,R DR ANTÓNIO MARIA GALHORDAS,7,2005-149,SANTARÉM,-8.689974810133092,39.23429151100487
pt.ine.add.PTCONT.4391442,R DR ANTÓNIO MARIA GALHORDAS,7,2005-149,SANTARÉM,-8.689974810133092,39.23429151100487
pt.ine.add.PTCONT.4391443,R DR ANTÓNIO MARIA GALHORDAS,7,2005-149,SANTARÉM,-8.689974810133092,39.23429151100487
pt.ine.add.PTCONT.4391444,R 19 DE MARCO,45,2005-455,SANTARÉM,-8.698271098629846,39.27802687164366
pt.ine.add.PTCONT.4391445,R JOSEFA DE OBIDOS,20,2005-456,SANTARÉM,-8.697413485866939,39.276580866131894
pt.ine.add.PTCONT.4391446,R ESTRADA REAL,,2005-420,VALE DE SANTARÉM,-8.73268047311914,39.18697119391828
pt.ine.add.PTCONT.4391447,R ESTRADA REAL,,2005-420,VALE DE SANTARÉM,-8.733362172874855,39.18683257356658
pt.ine.add.PTCONT.4391544,R 12 JANEIRO,87,2025-251,ALCANEDE,-8.86303925311842,39.41009102394265
pt.ine.add.PTCONT.4391545,R COMÉRCIO,45,2025-040,ALCANEDE,-8.825443029185072,39.418319043575615
pt.ine.add.PTCONT.4391546,R ENCOSTA DO CASTELO,,2025-051,ALCANEDE,-8.822881166827806,39.41641577626087
pt.ine.add.PTCONT.4391547,R PRINCIPAL,17,2025-250,ALCANEDE,-8.83884214463216,39.40089107565947
pt.ine.add.PTCONT.4391548,R VALE LOURENÇO,58,2025-175,ALCANEDE,-8.833958230943274,39.397777155879474
pt.ine.add.PTCONT.4391549,R JOSE DUARTE CASAL,20,2005-272,SANTARÉM,-8.694586508959114,39.265056249719656
pt.ine.add.PTCONT.4391550,R TEÓFILO BRAGA,9,2005-438,SANTARÉM,-8.695160732381808,39.264413964552396
pt.ine.add.PTCONT.4391551,R ZAMBUJEIRO,60,2005-034,VALE DE SANTARÉM,-8.730922488160598,39.191222693430085
pt.ine.add.PTCONT.4391552,R BARROCA,13,2005-030,VALE DE SANTARÉM,-8.72823102058558,39.18912875001455
pt.ine.add.PTCONT.4391553,R 25 DE ABRIL,12,2000-791,VAQUEIROS STR,-8.65230827545755,39.41285264665179
pt.ine.add.PTCONT.4391658,R COMBATENTES,,2025-143,ALCANEDE,-8.786300503730779,39.35636083646178
pt.ine.add.PTCONT.4391659,R JOSE RELVAS,29,2005-469,SANTARÉM,-8.692139782527766,39.25898812026116
pt.ine.add.PTCONT.4391660,R RAFAEL BORDALO PINHEIRO,,2005-338,SANTARÉM,-8.688915270799551,39.25706699177229
pt.ine.add.PTCONT.4391661,R MAIO,9,2005-523,VÁRZEA STR,-8.756692794638456,39.28462818208677
pt.ine.add.PTCONT.4391662,R NARCISA,,2005-009,VÁRZEA STR,-8.759515503663513,39.30094306800778
pt.ine.add.PTCONT.4391663,R VALDONZELAS,,2005-010,VÁRZEA STR,-8.747595275704088,39.278092276993846
pt.ine.add.PTCONT.4391664,CANTO DA TAIPA,19,2005-008,VÁRZEA STR,-8.742910830843208,39.26711907868403
pt.ine.add.PTCONT.4391665,R CHARRUADA,66,2005-027,VÁRZEA STR,-8.74798437000411,39.26161599897812
pt.ine.add.PTCONT.4391748,R 21 DE MARCO DE 1928,17,2000-396,ALCANHÕES,-8.670089824296648,39.30430820766757
pt.ine.add.PTCONT.4391749,R PERDIGAO,6,2005-316,SANTARÉM,-8.68991941724434,39.2565848098435
pt.ine.add.PTCONT.4391750,R CIDADE D AGEN,63,2005-503,SANTARÉM,-8.683427529458308,39.25312084535439
pt.ine.add.PTCONT.4391751,EN 114,,2005-325,SANTARÉM,-8.700051481923673,39.25591442463396
pt.ine.add.PTCONT.4391752,R PORTO MAU,6,2005-008,VÁRZEA STR,-8.741285342053391,39.26003887986258
pt.ine.add.PTCONT.4391753,URB VILA MOCHO,,2005-606,VÁRZEA STR,-8.725122657013607,39.26142821742728
pt.ine.add.PTCONT.4391754,R CEE,,2005-017,VÁRZEA STR,-8.73049194883787,39.268813759389374
pt.ine.add.PTCONT.4391755,R SENHORA DA SAÚDE,26,2025-601,GANÇARIA,-8.880963499534802,39.40545567924876
pt.ine.add.PTCONT.4391756,R SENHORA DA SAÚDE,2,2025-601,GANÇARIA,-8.883470284560774,39.40427763821328
pt.ine.add.PTCONT.4391757,R S MARTA,5,2025-601,GANÇARIA,-8.879784311977133,39.40375192822737
pt.ine.add.PTCONT.4391846,R ANTÓNIO CAETANO RODRIGUES,N 12,2000-351,ALCANHÕES,-8.663304679642199,39.29008989190546
pt.ine.add.PTCONT.4391847,ESTR MARMELEIRA,,2005-104,ALMOSTER STR,-8.805579169234834,39.260243811917434
pt.ine.add.PTCONT.4391848,R S VITÓRIA,,2005-101,ALMOSTER STR,-8.811045509598555,39.24435938523349
pt.ine.add.PTCONT.4391849,R COMÉRCIO,192,2005-095,MOÇARRIA,-8.776384253578394,39.29218617747622
