id,street,house,postcode,city,lon,lat
pt.ine.add.AC26.43774,R ARCOS,,9940-123,SANTA LUZIA SRP,-28.410011818443945,38.55927446964432
pt.ine.add.AC26.43775,R ARCOS,,9940-123,SANTA LUZIA SRP,-28.410037583396697,38.55941834203387
pt.ine.add.AC26.43776,R ARCOS,,9940-123,SANTA LUZIA SRP,-28.410309940121945,38.559847608910445
pt.ine.add.AC26.39800,R ESTRADA REGIONAL,,9940-013,PRAINHA,-28.23529951286804,38.48280261488438
pt.ine.add.AC26.39801,R ERMIDA,,9940-018,PRAINHA,-28.231133429061714,38.48187321989298
pt.ine.add.AC26.39802,R ERMIDA,,9940-018,PRAINHA,-28.231238550812435,38.481313390424376
pt.ine.add.AC26.39803,R ERMIDA,,9940-018,PRAINHA,-28.230745354439943,38.481300550733984
pt.ine.add.AC26.39804,R ERMIDA,,9940-018,PRAINHA,-28.229159389207734,38.48107389021095
pt.ine.add.AC26.39805,R ERMIDA,,9940-018,PRAINHA,-28.229008387112692,38.48095832290809
pt.ine.add.AC26.39806,R CABEÇO VERMELHO,,9940-014,PRAINHA,-28.223934807210014,38.47719950578777
pt.ine.add.AC26.39807,CAN PINHEIRO,,9940-060,PRAINHA,-28.222569865778937,38.47579892450372
pt.ine.add.AC26.39808,ESTR REGIONAL PRAINHA CIMA RIBEIRA GRANDE,,9940-068,,-28.220897036633616,38.47449165338609
pt.ine.add.AC26.39809,R POÇO DIOGO VIEIRA,,9940-032,PRAINHA,-28.21247118832616,38.47790449753176
pt.ine.add.AC26.39810,R POÇO DIOGO VIEIRA,,9940-032,PRAINHA,-28.209135458967395,38.4765511782537
pt.ine.add.AC26.39811,R POÇO DIOGO VIEIRA,,9940-032,PRAINHA,-28.20764131276929,38.47425959516635
pt.ine.add.AC26.39812,R POÇO DIOGO VIEIRA,,9940-032,PRAINHA,-28.206858411757143,38.47268160274657
pt.ine.add.AC26.39813,R POÇO DIOGO VIEIRA,,9940-032,PRAINHA,-28.205374412339122,38.47167855969612
pt.ine.add.AC26.39814,R POCA BRANCA,,9940-040,PRAINHA,-28.20298575773059,38.473487436846206
pt.ine.add.AC26.39815,R IGREJA,6,9940-131,SANTA LUZIA SRP,-28.401430939592995,38.54823938898104
pt.ine.add.AC26.39816,R IGREJA,2,9940-131,SANTA LUZIA SRP,-28.400394055166604,38.54802651228242
pt.ine.add.AC26.39817,R LAJE,12,9940-107,SANTA LUZIA SRP,-28.400024553171747,38.54849952760553
pt.ine.add.AC26.39818,R LAJE,2,9940-107,SANTA LUZIA SRP,-28.398594037358958,38.54929161316202
pt.ine.add.AC26.39819,R BRANCO,4,9940-102,SANTA LUZIA SRP,-28.395280858676006,38.54826780199029
pt.ine.add.AC26.39820,R BRANCO,8,9940-102,SANTA LUZIA SRP,-28.396072750075792,38.54708687114201
pt.ine.add.AC26.39821,R BRANCO,12,9940-102,SANTA LUZIA SRP,-28.396563933642817,38.546378118566444
pt.ine.add.AC26.39822,R BRANCO,,9940-102,SANTA LUZIA SRP,-28.396409742462733,38.546118625896
pt.ine.add.AC26.39823,ESTR REGIONAL,,9940-128,SANTA LUZIA SRP,-28.397467265683453,38.54621414295336
pt.ine.add.AC26.39824,ESTR REGIONAL,26,9940-128,SANTA LUZIA SRP,-28.397897664058878,38.54651539328335
pt.ine.add.AC26.39825,ESTR REGIONAL,,9940-128,SANTA LUZIA SRP,-28.398518427563083,38.54716581437747
pt.ine.add.AC26.39826,CAN OSSADA,,9940-102,SANTA LUZIA SRP,-28.398874066653914,38.547161564834425
pt.ine.add.AC26.39827,CAN OSSADA,,9940-102,SANTA LUZIA SRP,-28.39987983713346,38.547546044799255
pt.ine.add.AC26.39828,R LAJE,3,9940-107,SANTA LUZIA SRP,-28.40004726346441,38.547895488919906
pt.ine.add.AC26.39829,R ABAIXO DA IGREJA,3,9940-131,SANTA LUZIA SRP,-28.40142394350814,38.547879014836916
