id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5427019,RECTA DO PEREIRO,,3560-143,SÁTÃO,-7.756874599961978,40.73703964774441
pt.ine.add.PTCONT.5427020,LG EIRA,17,3560-140,SÁTÃO,-7.745425897220724,40.747357521913706
pt.ine.add.PTCONT.5427021,R PRINCIPAL,,3560-140,SÁTÃO,-7.744014302587167,40.74576789150974
pt.ine.add.PTCONT.5427022,R SOITO DA PONTE,12,3560-140,SÁTÃO,-7.743989258014454,40.746001937147874
pt.ine.add.PTCONT.5427023,R DR FRANCISCO SA CARNEIRO,57,3560-152,SÁTÃO,-7.738528207549012,40.752466994237786
pt.ine.add.PTCONT.5427106,R PEDRAS BRANCAS,73,3560-230,SÁTÃO,-7.729934211509403,40.750032960159736
pt.ine.add.PTCONT.5427107,R DR FRANCISCO SA CARNEIRO,35,3560-152,SÁTÃO,-7.736780342835018,40.749687467407405
pt.ine.add.PTCONT.5427108,R VILA DE ALEM,12,3560-194,SÁTÃO,-7.732066156397912,40.744025048532095
pt.ine.add.PTCONT.5427109,R VILA DE ALEM,42,3560-194,SÁTÃO,-7.730810718943042,40.744092719525085
pt.ine.add.PTCONT.5427110,ESTR PRINCIPAL,,3560-135,SÁTÃO,-7.751357678534717,40.73291524349681
pt.ine.add.PTCONT.5427111,R CARVALHO,44,3560-135,SÁTÃO,-7.752029067635389,40.73143163285891
pt.ine.add.PTCONT.5427112,R FONTE,,3560-149,SÁTÃO,-7.753727148600109,40.72216204153954
pt.ine.add.PTCONT.5427217,R 25 DE ABRIL,25,3560-158,SÁTÃO,-7.7337349758144365,40.740167687060136
pt.ine.add.PTCONT.5427218,PC DO BRASIL,50,3560-207,SÁTÃO,-7.728241967359898,40.74010352481858
pt.ine.add.PTCONT.5427219,PC DO BRASIL,50,3560-207,SÁTÃO,-7.728241967359898,40.74010352481858
pt.ine.add.PTCONT.5427220,PC DO BRASIL,50,3560-207,SÁTÃO,-7.728241967359898,40.74010352481858
pt.ine.add.PTCONT.5427221,PC DO BRASIL,50,3560-207,SÁTÃO,-7.728241967359898,40.74010352481858
pt.ine.add.PTCONT.5427222,PC DO BRASIL,50,3560-207,SÁTÃO,-7.728241967359898,40.74010352481858
pt.ine.add.PTCONT.5427223,PC DO BRASIL,50,3560-207,SÁTÃO,-7.728241967359898,40.74010352481858
pt.ine.add.PTCONT.5427224,PC DO BRASIL,50,3560-207,SÁTÃO,-7.728241967359898,40.74010352481858
pt.ine.add.PTCONT.5427311,R FORNO,1,3560-217,SILVÃ DE CIMA,-7.672903753144583,40.731773632692416
pt.ine.add.PTCONT.5427312,R LAJA,1,3560-217,SILVÃ DE CIMA,-7.672775093318648,40.731547994344076
pt.ine.add.PTCONT.5427392,R JOSE BERNARDO TAVARES,846,3560-220,VILA LONGA,-7.5898720126244275,40.74803591687877
