id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1898753,R DE NSA SRA DA PAZ,2,6270-141,PINHANÇOS,-7.684773095906578,40.46886795677956
pt.ine.add.PTCONT.1898754,R NOVA,13,6270-052,GIRABOLHOS,-7.771882325321637,40.50737395157996
pt.ine.add.PTCONT.1898755,LG DO TERREIRO,,6270-151,SABUGUEIRO SEI,-7.6396371044711655,40.40255693897767
pt.ine.add.PTCONT.1898759,BR DA VISTA ALEGRE,,6270-078,LORIGA,-7.687532873723407,40.32762683779655
pt.ine.add.PTCONT.1898760,AV PEDRO VAZ LEAL,7,6270-080,LORIGA,-7.686958982730378,40.327219371866626
pt.ine.add.PTCONT.1898761,QTA DAS CÁDIMAS,,6270-133,PARANHOS SEI,-7.804124061830154,40.47895011510803
pt.ine.add.PTCONT.1898762,R DE S PEDRO,13,6270-133,PARANHOS SEI,-7.7742789661624485,40.48050029932672
pt.ine.add.PTCONT.1898764,R DA FONTE,22,6270-014,ALVOCO DA SERRA,-7.707534674618406,40.27355094586459
pt.ine.add.PTCONT.1898765,R DOS CRUZEIROS,15,6270-134,PARANHOS SEI,-7.814105581595598,40.4879745115932
pt.ine.add.PTCONT.1898766,LG DO CRUZEIRO,,6270-151,SABUGUEIRO SEI,-7.63977226659274,40.401792046764214
pt.ine.add.PTCONT.1898767,TV DO RIBEIRO,7,6270-031,CARRAGOZELA,-7.76261120468823,40.41253521215712
pt.ine.add.PTCONT.1898770,BR DA SARNADA,9,6270-012,ALVOCO DA SERRA,-7.667059024368062,40.2967648075436
pt.ine.add.PTCONT.1898771,AV AUGUSTO LUIS MENDES,14,6270-075,LORIGA,-7.6897610650670085,40.32517685788826
pt.ine.add.PTCONT.1898772,AV AUGUSTO LUIS MENDES,14,6270-075,LORIGA,-7.6897610650670085,40.32517685788826
pt.ine.add.PTCONT.1898773,AV AUGUSTO LUIS MENDES,14,6270-075,LORIGA,-7.6897610650670085,40.32517685788826
pt.ine.add.PTCONT.1898774,AV AUGUSTO LUIS MENDES,14,6270-075,LORIGA,-7.6897610650670085,40.32517685788826
pt.ine.add.PTCONT.1898775,R DO HOSPITAL,42,6270-133,PARANHOS SEI,-7.775494583243462,40.48033296392355
pt.ine.add.PTCONT.1898776,AV DR ANTÓNIO ABRANTES ALMEIDA E SILVA,,6270-161,SAMEICE,-7.777130616945643,40.434040956867854
pt.ine.add.PTCONT.1898777,CAM LAMEIRO DIANTEIRO,10,6270-161,SAMEICE,-7.775156772486844,40.432891164519916
pt.ine.add.PTCONT.1898778,BR PENEDAS,8,6270-124,LORIGA,-7.689544523896708,40.324104355658235
pt.ine.add.PTCONT.1898779,BR PÓVOA DE MAIO,,6270-133,PARANHOS SEI,-7.78368135469938,40.479925744111945
pt.ine.add.PTCONT.1898780,AV DOS EMIGRANTES,8,6270-141,PINHANÇOS,-7.685126164248215,40.46542024760149
pt.ine.add.PTCONT.1898785,R DA LARANJEIRA,15,6270-174,SANDOMIL,-7.781430033039715,40.35749790200335
pt.ine.add.PTCONT.1898787,TV PADRE JOÃO,8,6270-161,SAMEICE,-7.775900512323458,40.43265031651009
pt.ine.add.PTCONT.1898788,TV DA IGREJA,2,6270-174,SANDOMIL,-7.782196183284115,40.35731111117555
pt.ine.add.PTCONT.1898791,R DO COMÉRCIO,113,6270-133,PARANHOS SEI,-7.778422598246649,40.475235909931115
pt.ine.add.PTCONT.1898792,R DA BIQUEIRA,29,6270-161,SAMEICE,-7.779797649111126,40.43336472066672
pt.ine.add.PTCONT.1898793,R ANTÓNIO MENDES LAGES,,6270-087,LORIGA,-7.692573163691369,40.323377465774506
pt.ine.add.PTCONT.1898797,R DO SENHOR DO CALVÁRIO,31,6270-133,PARANHOS SEI,-7.78629351569965,40.476502544348044
pt.ine.add.PTCONT.1898798,R DO COMÉRCIO,53,6270-151,SABUGUEIRO SEI,-7.646206131930398,40.40476412220143
pt.ine.add.PTCONT.1898801,R PADRE JOSÉ MARIA DIAS,10,6270-061,LAJES SEI,-7.719601689882599,40.48478429809796
pt.ine.add.PTCONT.1898802,R DO OUTEIRINHO,12,6270-141,PINHANÇOS,-7.6866361538657495,40.46886616272642
pt.ine.add.PTCONT.1898803,SIT DOS VIDOEIROS DE CIMA,,6270-161,SAMEICE,-7.76508145177305,40.42406115651418
pt.ine.add.PTCONT.1913263,EN 17,,6270-213,SANTIAGO SEI,-7.72456329479239,40.42701396550724
pt.ine.add.PTCONT.1898882,R DE VALES DE CIMA,9,6270-553,SEIA,-7.670976163853969,40.42598368022629
pt.ine.add.PTCONT.1898883,R DO OUTEIRO,3,6270-195,SANTA MARINHA SEI,-7.6448753741997395,40.45359520996368
pt.ine.add.PTCONT.1898884,URB DOS CARVALHOS,17,6270-212,SANTIAGO SEI,-7.730896815646149,40.42016497471804
pt.ine.add.PTCONT.1898885,AV HENRIQUE LOPES FERRÃO,1,6270-213,SANTIAGO SEI,-7.737072268631447,40.41996115520078
