id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5427393,R CRUZEIRO,,3640-030,CARREGAL,-7.58784980115478,40.909816409795596
pt.ine.add.PTCONT.5427394,R MARELA,,3640-030,CARREGAL,-7.5782631026626985,40.909365471845916
pt.ine.add.PTCONT.5427395,R FRAGA,,3640-030,CARREGAL,-7.5606670688876605,40.90314725741997
pt.ine.add.PTCONT.5427396,R S QUITERIA,,3640-030,CARREGAL,-7.560592315986793,40.90080565800487
pt.ine.add.PTCONT.5427488,R TAPADINHAS,,3640-042,CHOSENDO,-7.45408704984874,40.96845596983032
pt.ine.add.PTCONT.5427489,CAM PARTICULAR,,3640-050,CUNHA SRN,-7.450745666213813,40.83481553413089
pt.ine.add.PTCONT.5427490,R MAURÍCIO RIBEIRO,4,3640-060,ESCURQUELA,-7.5207776868709955,41.00473975462153
pt.ine.add.PTCONT.5427574,R AZENHA,2,3620-800,FAIA SRN,-7.54576510412909,40.94823081729345
pt.ine.add.PTCONT.5427575,R CIPRESTE,12,3640-090,FERREIRIM SRN,-7.495296912827404,40.94638687221708
pt.ine.add.PTCONT.5427576,BR S MARTINHO,,3640-110,FONTE ARCADA SRN,-7.522606897079952,40.96751549791153
pt.ine.add.PTCONT.5427676,R DIREITA,,3640-120,FREIXINHO,-7.528227716755692,40.93739759542851
pt.ine.add.PTCONT.5427674,R LUIS DE CAMÕES,,3640-110,FONTE ARCADA SRN,-7.521632656620733,40.96495302393548
pt.ine.add.PTCONT.5427675,R MONTE,,3640-120,FREIXINHO,-7.525338354374695,40.93782363034982
pt.ine.add.PTCONT.5427677,ESTR PRINCIPAL,15,3640-140,LAMOSA,-7.61541485540614,40.8894756730866
pt.ine.add.PTCONT.5427678,R EIRAS VELHAS,7,3640-140,LAMOSA,-7.621205428368659,40.88792568689892
pt.ine.add.PTCONT.5427679,R FUNDO DO POVO,,3640-150,MACIEIRA SRN,-7.485179654689118,40.99000279032176
pt.ine.add.PTCONT.5427774,,,3640-170,QUINTELA,-7.589476174275403,40.84743005730002
pt.ine.add.PTCONT.5427775,R CAPELA,1,3640-180,SARZEDA,-7.438468949885405,40.9408898516338
pt.ine.add.PTCONT.5427776,R VIDEIRAS,15,3640-180,SARZEDA,-7.441068357351664,40.9410045334374
pt.ine.add.PTCONT.5427777,R PEREIRA LAPA,3,3640-244,SERNANCELHE,-7.4942544392611845,40.900502280543726
pt.ine.add.PTCONT.5427877,AV TILIAS,64,3640-211,SERNANCELHE,-7.494403165760829,40.8973784688553
pt.ine.add.PTCONT.5427975,,,3640-201,SERNANCELHE,-7.506992118324616,40.87871765655681
pt.ine.add.PTCONT.5427976,EN 226,6,3640-202,SERNANCELHE,-7.49578971319994,40.8505704330852
pt.ine.add.PTCONT.5427977,R BOMBEIROS,4,3640-238,SERNANCELHE,-7.494077132213347,40.89919561501309
pt.ine.add.PTCONT.5427978,R DR OLIVEIRA SERRÃO,28,3640-240,SERNANCELHE,-7.4968276442095805,40.89700466773562
pt.ine.add.PTCONT.5427979,FOLHA,,3640-307,VILA DA PONTE SRN,-7.5063622056379815,40.929122593364376
pt.ine.add.PTCONT.5428088,R PEDREIRAS,,3640-307,VILA DA PONTE SRN,-7.5054579544213995,40.911756646732194
pt.ine.add.PTCONT.5428545,R CARRASCAL,,3640-160,PENSO SRN,-7.53663219719672,40.92183627461669
pt.ine.add.PTCONT.5428637,R CENTRAL,29,3640-011,ARNAS,-7.4390787916777,40.85987827146453
pt.ine.add.PTCONT.5428666,AV S MARTINHO,,3640-110,FONTE ARCADA SRN,-7.519919256955938,40.96910405537997
pt.ine.add.PTCONT.5429548,R ATALAIA,,3640-042,CHOSENDO,-7.45653173204686,40.966381276035385
pt.ine.add.PTCONT.5429549,BR BLOCO,,3620-800,FAIA SRN,-7.5458616649224455,40.94900524428519
pt.ine.add.PTCONT.5429550,EN 226,40,3640-202,SERNANCELHE,-7.490867383778808,40.84821089250681
pt.ine.add.PTCONT.5429559,R PALAMES,,3640-088,FERREIRIM SRN,-7.4934483949653785,40.944728782601146
pt.ine.add.PTCONT.5429560,CALVÁRIO,,3640-170,QUINTELA,-7.574678827450734,40.86981733291456
pt.ine.add.PTCONT.5429572,R AZENHA,,3640-083,FERREIRIM SRN,-7.495043717140647,40.945548039752374
pt.ine.add.PTCONT.5429573,ESTR MUNICIPAL,28,3640-130,GRANJAL,-7.517199452237085,40.894873086268284
pt.ine.add.PTCONT.5429574,EN 226,,3640-216,SERNANCELHE,-7.502302224669278,40.8990968218764
pt.ine.add.PTCONT.5429585,R AQUILINO RIBEIRO,,3640-030,CARREGAL,-7.588716106805424,40.90838875214378
pt.ine.add.PTCONT.5429586,CM 1206,,3640-050,CUNHA SRN,-7.450443790034268,40.863079748911616
pt.ine.add.PTCONT.5429587,R IGREJA,,3640-085,FERREIRIM SRN,-7.496301010401182,40.94570806955909
pt.ine.add.PTCONT.5429588,TV ABRACOS,8,3640-085,FERREIRIM SRN,-7.496148017652966,40.94556315021426
pt.ine.add.PTCONT.5429589,R FONTE DA SOBREIRA,5,3640-086,FERREIRIM SRN,-7.496082802759019,40.94369882884723
pt.ine.add.PTCONT.5429612,R EIDO,,3640-030,CARREGAL,-7.572414812079877,40.9075722613682
pt.ine.add.PTCONT.5429623,R SANTO AMARO,,3640-030,CARREGAL,-7.578540825415718,40.9087995105137
pt.ine.add.PTCONT.5429633,CAM CARDIA,,3640-304,VILA DA PONTE SRN,-7.490425403627487,40.93683290570647
pt.ine.add.PTCONT.5429652,QTA SEARA FUNDO,5,3640-223,SERNANCELHE,-7.504906271793825,40.88350584290762
pt.ine.add.PTCONT.5429673,R JACOU,55,3640-290,SERNANCELHE,-7.487415071518258,40.89842912614368
pt.ine.add.PTCONT.5429693,BR JOAQUIM RIBEIRO,1,3640-011,ARNAS,-7.437957211627866,40.88206820519045
pt.ine.add.PTCONT.5429694,R RAPADOIRA,,3640-307,VILA DA PONTE SRN,-7.510043997175062,40.917616556818366
pt.ine.add.PTCONT.5429732,R COR ANTÓNIO MARIA,,3640-042,CHOSENDO,-7.455607395360025,40.96848292355825
pt.ine.add.PTCONT.5429733,R COR ANTÓNIO MARIA,,3640-042,CHOSENDO,-7.454893632608011,40.96857777737574
pt.ine.add.PTCONT.5429743,R BOAVISTA,4,3620-800,FAIA SRN,-7.546828264442967,40.94887555825958
pt.ine.add.PTCONT.5430405,R SABUGUEIRO,,3640-307,VILA DA PONTE SRN,-7.508654021480292,40.9215170715095
pt.ine.add.PTCONT.5430450,R CORTES,,3640-030,CARREGAL,-7.56453880423091,40.90005978014457
pt.ine.add.PTCONT.5431327,R CABO DO LUGAR,16,3640-130,GRANJAL,-7.528386639596319,40.88739532593904
pt.ine.add.PTCONT.5431328,R IGREJA,,3640-150,MACIEIRA SRN,-7.486345868189032,40.989838252501926
pt.ine.add.PTCONT.5431329,AV PRINCIPAL,59,3640-180,SARZEDA,-7.458063144623476,40.91049843608621
pt.ine.add.PTCONT.5431330,QTA SEARA,,3640-202,SERNANCELHE,-7.509409178138691,40.88663691580916
pt.ine.add.PTCONT.5431336,R TERRA QUENTE,,3640-110,FONTE ARCADA SRN,-7.518863759684937,40.96506436966191
pt.ine.add.PTCONT.5431337,R FUNDO DO POVO,,3640-150,MACIEIRA SRN,-7.48477721772926,40.989838445389
pt.ine.add.PTCONT.5431338,R S CRUZ,17,3640-230,SERNANCELHE,-7.492586167917331,40.898746112950455
pt.ine.add.PTCONT.5431353,R GURGOLHÃO,1,3640-130,GRANJAL,-7.529422560444649,40.88568985205669
pt.ine.add.PTCONT.5431363,R AQUILINO RIBEIRO,,3640-030,CARREGAL,-7.588265466620063,40.90834160037246
pt.ine.add.PTCONT.5431364,CM 1206,,3640-050,CUNHA SRN,-7.450592861327449,40.86242328377298
pt.ine.add.PTCONT.5431365,EM 584,9,3640-130,GRANJAL,-7.52920169776176,40.89040717884979
pt.ine.add.PTCONT.5431366,R CRUZINHA,2,3640-223,SERNANCELHE,-7.498147246058434,40.895517157377874
pt.ine.add.PTCONT.5431376,R PASSEIO,,3640-050,CUNHA SRN,-7.451653354089969,40.863104910733675
pt.ine.add.PTCONT.5431377,R EIRAS,,3640-160,PENSO SRN,-7.538382644691766,40.922565690722266
pt.ine.add.PTCONT.5431388,R BAIXO,,3640-030,CARREGAL,-7.5774686447870225,40.909271599597844
pt.ine.add.PTCONT.5431389,R SRA AFLICAO,4,3640-130,GRANJAL,-7.532917287641866,40.88760809168458
pt.ine.add.PTCONT.5431390,R JANEIRO,2,3640-180,SARZEDA,-7.439691816261129,40.943184388875075
pt.ine.add.PTCONT.5431391,R LAGE DE CIMA,17,3640-250,SERNANCELHE,-7.496031610635675,40.89586567876247
pt.ine.add.PTCONT.5431407,R PRAÇA,5,3640-180,SARZEDA,-7.441369251565545,40.94061913971493
pt.ine.add.PTCONT.5431408,R LAMEIRA,,3640-307,VILA DA PONTE SRN,-7.489178855344407,40.93680794172521
pt.ine.add.PTCONT.5431419,R OUTAO,10,3640-180,SARZEDA,-7.440325458601203,40.94050481731007
pt.ine.add.PTCONT.5431431,ESTR MUNICIPAL,5,3640-180,SARZEDA,-7.457829462589835,40.9066340564737
pt.ine.add.PTCONT.5431445,R LAJEIRA,1,3640-060,ESCURQUELA,-7.519238214379887,41.0041192565092
pt.ine.add.PTCONT.5431446,R LAJEIRA,1,3640-060,ESCURQUELA,-7.5202000377361236,41.00422342487346
pt.ine.add.PTCONT.5431447,TAPADA DA CALÇADA,10,3640-212,SERNANCELHE,-7.490886349372063,40.89903381519928
pt.ine.add.PTCONT.5431472,R CARREIRO,,3640-307,VILA DA PONTE SRN,-7.510348948385733,40.91674474926371
pt.ine.add.PTCONT.5431495,R BOM JARDIM,,3620-800,FAIA SRN,-7.544200220169589,40.95059105726206
pt.ine.add.PTCONT.5431506,R ATALAIA,,3640-042,CHOSENDO,-7.456195629989333,40.96672147786395
pt.ine.add.PTCONT.5432181,R LAJEIRA,5,3640-060,ESCURQUELA,-7.520033888127666,41.004195527629385
pt.ine.add.PTCONT.5432239,ESTR NACIONAL,,3640-130,GRANJAL,-7.515627688947239,40.89034430808082
pt.ine.add.PTCONT.5433171,AV MAJOR MIGUEL AUGUSTO,27,3640-071,FERREIRIM SRN,-7.495580522617317,40.945298879177294
