id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.455968,R CRUZES,29,7830-344,SERPA,-7.59932622048866,37.942071620955005
pt.ine.add.PTCONT.455970,R MARIA DOS REIS,21,7830-523,VALE DE VARGO,-7.408637482146101,37.983185100574694
pt.ine.add.PTCONT.455972,MTE MONTINHO,,7830-011,VILA NOVA DE SÃO BENTO,-7.416202435751903,37.919248141809796
pt.ine.add.PTCONT.455974,R POÇO BOM,3,7830-148,BRINCHES,-7.608279587139051,38.034318874093714
pt.ine.add.PTCONT.455992,LG SANTO ANTÓNIO,10,7830-206,PIAS SRP,-7.480646063778838,38.02248106629394
pt.ine.add.PTCONT.455998,R CARRIL,23,7830-634,VILA VERDE DE FICALHO,-7.298566633278422,37.945197796785784
pt.ine.add.PTCONT.456010,LG MARTIM AFONSO MELO,1,7830-383,SERPA,-7.599080076529962,37.94381676948788
pt.ine.add.PTCONT.456012,R MOINHOS,6,7830-650,VILA VERDE DE FICALHO,-7.299722542824238,37.946607526350725
pt.ine.add.PTCONT.456020,R VISTA ALEGRE,25,7830-271,PIAS SRP,-7.474902951881218,38.02026003236857
pt.ine.add.PTCONT.456031,R BOAVISTA,34,7830-222,PIAS SRP,-7.476467533135321,38.01734724546926
pt.ine.add.PTCONT.456032,R AMENDOEIRAS,50,7830-343,SERPA,-7.594906773211354,37.941303345179605
pt.ine.add.PTCONT.456061,R BRAZ CARRASCO,7,7830-401,SERPA,-7.599418902691585,37.945122544833076
pt.ine.add.PTCONT.456077,R S BENTO,39,7830-071,VILA NOVA DE SÃO BENTO,-7.409527006277739,37.92745188041925
pt.ine.add.PTCONT.456078,R REVOLUCAO,3,7830-515,VALE DE VARGO,-7.410153845632665,37.981770985778354
pt.ine.add.PTCONT.456079,R DEFENSORES DO POVO,23,7830-641,VILA VERDE DE FICALHO,-7.299219564404807,37.94591831898258
pt.ine.add.PTCONT.456098,R CELEIRO,5,7830-131,BRINCHES,-7.601934160211992,38.035497154926844
pt.ine.add.PTCONT.456103,MTE PALMA,,7830-496,SERPA,-7.534012813909028,37.825101268358885
pt.ine.add.PTCONT.456116,R NOVA,31,7830-364,SERPA,-7.59734982514376,37.941889062730546
pt.ine.add.PTCONT.456139,R POÇO ACIMA,20,7830-655,VILA VERDE DE FICALHO,-7.30404334662708,37.94815229814165
pt.ine.add.PTCONT.456147,AV PAZ,15,7830-320,SERPA,-7.601982663763623,37.94035101505038
pt.ine.add.PTCONT.456149,PARREIRA,3,7830-304,SERPA,-7.5616014159973055,37.89062278210874
pt.ine.add.PTCONT.456155,R CARRIL,1,7830-634,VILA VERDE DE FICALHO,-7.299158141113605,37.94568235128456
pt.ine.add.PTCONT.456169,R DR BRITO CAMACHO,31,7830-220,PIAS SRP,-7.474843729058878,38.023270624187106
pt.ine.add.PTCONT.456189,TV VALE,1,7830-152,BRINCHES,-7.604566290160537,38.036959489957496
pt.ine.add.PTCONT.456191,R CARRIL,12,7830-634,VILA VERDE DE FICALHO,-7.299021322036203,37.945437030918306
pt.ine.add.PTCONT.456192,R 1 DE MAIO,5,7830-334,SERPA,-7.602821814900586,37.94011646899874
pt.ine.add.PTCONT.456198,CANADA,,7830-238,PIAS SRP,-7.486535735240458,38.021169769092985
pt.ine.add.PTCONT.456199,R LUIS CAMOES,,7830-260,PIAS SRP,-7.477787920507444,38.02097866693806
pt.ine.add.PTCONT.456202,R AMENDOEIRAS,24,7830-343,SERPA,-7.594312283620648,37.940757596851455
pt.ine.add.PTCONT.456221,CAMINHOS DO CRESPO MONTE DA BARRAGEM,,7830-625,VILA VERDE DE FICALHO,-7.327466669305811,37.84996056261002
pt.ine.add.PTCONT.456224,R VISTA ALEGRE,26,7830-271,PIAS SRP,-7.47496283150305,38.0202140516698
pt.ine.add.PTCONT.456231,R SERPA,17,7830-497,SERPA,-7.500755121319325,37.80655716004668
pt.ine.add.PTCONT.456233,R OUTEIRO,25,7830-654,VILA VERDE DE FICALHO,-7.304021040791167,37.946946865338006
pt.ine.add.PTCONT.456241,R S PEDRO,9,7830-437,SERPA,-7.6011500471165805,37.942230195250325
pt.ine.add.PTCONT.456245,R ANTÓNIO FAISCA,25,7830-337,SERPA,-7.603350425507514,37.93972362148557
pt.ine.add.PTCONT.456266,MTE ANTÓNIO DELGADO,,7830-257,PIAS SRP,-7.551780834284738,38.12621532201281
pt.ine.add.PTCONT.456267,MINA DA ORADA,,7830-470,PIAS SRP,-7.601417264337543,38.103792760533814
pt.ine.add.PTCONT.456268,R BARBACA,43,7830-396,SERPA,-7.596970159242903,37.94443918183564
pt.ine.add.PTCONT.456273,TV D MARIA DO CARMO HORTA BARROSO,8,7830-097,VILA NOVA DE SÃO BENTO,-7.40698409207605,37.927794756815786
pt.ine.add.PTCONT.456282,MTE DO CARAPETAL,,7830-476,SERPA,-7.479935372976477,37.82649855112408
pt.ine.add.PTCONT.456288,MTE JARDAIS,,7830-495,SERPA,-7.57260584682124,37.835913385598154
pt.ine.add.PTCONT.456308,R FIGUEIRA,3,7830-406,SERPA,-7.598061500849121,37.94451962672029
pt.ine.add.PTCONT.456315,R CATARINA EUFEMIA,21,7830-011,VILA NOVA DE SÃO BENTO,-7.477132349850056,37.91688855918697
pt.ine.add.PTCONT.456321,R LARGA,16,7830-496,SERPA,-7.499811052746446,37.80674128705072
pt.ine.add.PTCONT.456322,HRD GARGANTA,,7830-477,SERPA,-7.6335552625262215,37.998508914328525
pt.ine.add.PTCONT.456326,PORTELA DA BALEIZOA,21,7830-452,SERPA,-7.598466270718738,37.945740721714955
pt.ine.add.PTCONT.456355,MTE SR ROSA,,7830-270,PIAS SRP,-7.479282992180046,38.01076163026708
pt.ine.add.PTCONT.456372,R DR QUIRINO MEALHA,,7830-498,SERPA,-7.501761285349913,37.80788589507814
pt.ine.add.PTCONT.456376,R 25 DE ABRIL,9,7830-060,VILA NOVA DE SÃO BENTO,-7.409514699693991,37.9239550796139
pt.ine.add.PTCONT.456380,R POÇO NOVO,18,7830-138,BRINCHES,-7.6043829489371015,38.03552621135865
pt.ine.add.PTCONT.456385,MTE FRANCISCO ORTA,,7830-012,VILA NOVA DE SÃO BENTO,-7.412848166420381,37.86690746658284
pt.ine.add.PTCONT.456404,R FRANCISCO TORRAO,4,7830-420,SERPA,-7.602704069485798,37.9420987299192
pt.ine.add.PTCONT.456407,R MOINHOS,19,7830-650,VILA VERDE DE FICALHO,-7.299438349871339,37.946587494668904
pt.ine.add.PTCONT.456413,BR N SENHORA,2,7830-111,BRINCHES,-7.6067534880394465,38.035221668550044
pt.ine.add.PTCONT.456415,R SANTO ANTÓNIO,60,7830-436,SERPA,-7.593677854270369,37.94566003153299
pt.ine.add.PTCONT.456420,R LUIS DE CAMÕES,28,7830-260,PIAS SRP,-7.4780251888168054,38.02059073835712
pt.ine.add.PTCONT.456445,HRD LAGINHA,,7830-020,VILA NOVA DE SÃO BENTO,-7.39390949115639,37.91837146832378
pt.ine.add.PTCONT.456453,MTE OLEIRO,,7830-257,PIAS SRP,-7.553044852285784,38.130780117359876
pt.ine.add.PTCONT.456454,R PASSO,13,7830-242,PIAS SRP,-7.479602295542456,38.02277828053029
pt.ine.add.PTCONT.456462,R S ROQUE,35,7830-375,SERPA,-7.594840952932346,37.94076935282069
pt.ine.add.PTCONT.456475,HRD MACHADOS SN,SN,7830-501,VALE DE VARGO,-7.409510008005023,37.989379750898955
pt.ine.add.PTCONT.456480,R BAIRRO ALTO,16A,7830-101,VILA NOVA DE SÃO BENTO,-7.405747761073939,37.9230399426882
pt.ine.add.PTCONT.456486,R CADEIA VELHA,16,7830-403,SERPA,-7.5969811461685195,37.944152257394514
pt.ine.add.PTCONT.456488,R 25 DE ABRIL,28,7830-504,VALE DE VARGO,-7.411638512143359,37.98217969551657
pt.ine.add.PTCONT.456497,R SANTANA DE PARNAIBA,,7830-479,SERPA,-7.590537585093164,37.93737077748989
