id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4663131,R FE,31 33,2970-737,SESIMBRA,-9.102784240570976,38.44390581912321
pt.ine.add.PTCONT.4663121,,,2970-874,SESIMBRA,-9.125772800251355,38.46227938624415
pt.ine.add.PTCONT.4663122,,,2970-140,,-9.123862612178312,38.459998446443024
pt.ine.add.PTCONT.4663123,PCT ZIMBROS,,2970-518,SESIMBRA,-9.080703459334226,38.473921996296205
pt.ine.add.PTCONT.4663124,R POCINHO,19,2970-333,SESIMBRA,-9.081173360054992,38.46692776150337
pt.ine.add.PTCONT.4663125,R ESPERANÇA,8,2970-542,SESIMBRA,-9.072371246222147,38.456143657760315
pt.ine.add.PTCONT.4663126,R ESPERANÇA,6,2970-736,SESIMBRA,-9.102607022003493,38.44350191145714
pt.ine.add.PTCONT.4663127,R ESPERANÇA,6,2970-736,SESIMBRA,-9.102607022003493,38.44350191145714
pt.ine.add.PTCONT.4663128,R FE,31 33,2970-737,SESIMBRA,-9.102784240570976,38.44390581912321
pt.ine.add.PTCONT.4663129,R FE,31 33,2970-737,SESIMBRA,-9.102784240570976,38.44390581912321
pt.ine.add.PTCONT.4663130,R FE,31 33,2970-737,SESIMBRA,-9.102784240570976,38.44390581912321
pt.ine.add.PTCONT.4663132,R TEÓFILO BRAGA,,2975-332,QUINTA DO CONDE,-9.045170064780175,38.562160501384604
pt.ine.add.PTCONT.4663133,R ANA DE CASTRO OSÓRIO,,2975-315,QUINTA DO CONDE,-9.043240156421197,38.56196833484031
pt.ine.add.PTCONT.4663134,R JOSE RELVAS,,2975-325,QUINTA DO CONDE,-9.0473472921824,38.56104451974702
pt.ine.add.PTCONT.4663135,R AFONSO COSTA,,2975-314,QUINTA DO CONDE,-9.043792952873527,38.56031553944394
pt.ine.add.PTCONT.4663136,R BERNARDINO MACHADO,329,2975-319,QUINTA DO CONDE,-9.040881521031814,38.56417563617477
pt.ine.add.PTCONT.4663137,R BERNARDINO MACHADO,460,2975-319,QUINTA DO CONDE,-9.041049412354715,38.563841031659166
pt.ine.add.PTCONT.4663238,R SENHORA DO CARMO,8,2970-547,SESIMBRA,-9.07443145621103,38.45864044135195
pt.ine.add.PTCONT.4663239,R SENHORA DO CARMO,8,2970-547,SESIMBRA,-9.07443145621103,38.45864044135195
pt.ine.add.PTCONT.4663240,R PADARIA,12,2970-546,SESIMBRA,-9.075093556195782,38.459337767577125
pt.ine.add.PTCONT.4663241,R CASA NOVA,8,2970-541,SESIMBRA,-9.071940010825159,38.45822803503856
pt.ine.add.PTCONT.4663242,URB QUINTA DE S JOSÉ,,2970-212,SESIMBRA,-9.090071636422795,38.471782939604104
pt.ine.add.PTCONT.4663243,R GARRUCHO,,2970-583,SESIMBRA,-9.091403126886608,38.46935783450843
pt.ine.add.PTCONT.4663244,R ANA DE CASTRO OSÓRIO,,2975-315,QUINTA DO CONDE,-9.050740443595041,38.559918972138775
pt.ine.add.PTCONT.4663245,R JOSE RELVAS,,2975-325,QUINTA DO CONDE,-9.050468216206012,38.560164326527115
pt.ine.add.PTCONT.4663246,AV LIBERDADE,,2975-219,QUINTA DO CONDE,-9.052302079075,38.562726276818125
pt.ine.add.PTCONT.4663247,R CIDADE DE ÉVORA,,2975-210,QUINTA DO CONDE,-9.05304658228654,38.55992789563842
pt.ine.add.PTCONT.4663352,R SILVA PORTO,3,2970-044,SESIMBRA,-9.108968563496887,38.46424024903967
pt.ine.add.PTCONT.4663353,R VASCO DA GAMA,12,2970-782,SESIMBRA,-9.098027437715425,38.44280103449351
pt.ine.add.PTCONT.4663354,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663355,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663356,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663357,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663358,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663359,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663360,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663361,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663362,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663363,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663364,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663365,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663366,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663367,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663368,R VIANA DA MOTA,,2975-304,QUINTA DO CONDE,-9.04666988659407,38.576408724081
pt.ine.add.PTCONT.4663369,R RIO TINTO,,2975-081,QUINTA DO CONDE,-9.089938713265685,38.55355164491731
pt.ine.add.PTCONT.4663370,R JOSE RELVAS,695 B,2975-325,QUINTA DO CONDE,-9.048009916262654,38.560823146447945
pt.ine.add.PTCONT.4663371,R ANTÓNIO JOSE DE ALMEIDA,1122,2975-316,QUINTA DO CONDE,-9.04461880162568,38.560300103360575
pt.ine.add.PTCONT.4663465,AV GULBENKIAN,,2970-437,SESIMBRA,-9.156665004335228,38.51033362686223
pt.ine.add.PTCONT.4663466,AV GULBENKIAN,,2970-437,SESIMBRA,-9.15571289479872,38.50705395731892
pt.ine.add.PTCONT.4663467,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663468,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663469,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663470,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663471,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663472,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
pt.ine.add.PTCONT.4663473,PC CALIFORNIA,5,2970-760,SESIMBRA,-9.09475487260666,38.44218834933
