id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.3552988,R PENA,,4605-465,TRAVANCA AMT,-8.198511317893495,41.27210395106725
pt.ine.add.PTCONT.3546190,R CASAL,,4600-520,ANSIÃES,-7.953171418654314,41.25296500724766
pt.ine.add.PTCONT.3543057,R RAPOSEIRA,50,4600-304,AMARANTE,-8.094396242350113,41.26437239485904
pt.ine.add.PTCONT.3543046,R CASAL,516,4600-520,ANSIÃES,-7.952419895099362,41.25290980493789
pt.ine.add.PTCONT.3543047,R PAROQUIA,,4600-520,ANSIÃES,-7.953885553745884,41.24923836726383
pt.ine.add.PTCONT.3543048,R EIDO,440,4600-520,ANSIÃES,-7.952870064393049,41.24974101950197
pt.ine.add.PTCONT.3543049,R S LOURENÇO,483,4600-520,ANSIÃES,-7.938394835273781,41.23474338439579
pt.ine.add.PTCONT.3543050,VLA CAPELA,5,4600-530,BUSTELO AMT,-7.993433673963114,41.24461993045811
pt.ine.add.PTCONT.3543051,R CENTRAL DE BACEIROS,102,4600-530,BUSTELO AMT,-7.99375597023332,41.24453027847774
pt.ine.add.PTCONT.3543052,R ARQUEOLOGO JOSE PINHO,74,4600-051,AMARANTE,-8.069142653843333,41.26685530271576
pt.ine.add.PTCONT.3543053,R ARQUEOLOGO JOSE PINHO,5 B,4600-051,AMARANTE,-8.069142653843333,41.26685530271576
pt.ine.add.PTCONT.3543054,R CAP SALGUEIRO MAIA,42,4600-125,AMARANTE,-8.065993066363408,41.265917071189286
pt.ine.add.PTCONT.3543055,R ANTÓNIO CARNEIRO,107,4600-012,AMARANTE,-8.073032499155458,41.26751470590919
pt.ine.add.PTCONT.3543056,R BACELO,70,4600-283,AMARANTE,-8.093381566989832,41.26492130667155
pt.ine.add.PTCONT.3543058,TV INFESTA,,4600-741,SÃO SIMÃO GOUVEIA,-8.041957751120734,41.23215264555319
pt.ine.add.PTCONT.3543059,R BARREIRO,218,4600-741,SÃO SIMÃO GOUVEIA,-8.047192116575218,41.2244490093034
pt.ine.add.PTCONT.3543060,TV S ANA,,4615-220,TELÕES AMT,-8.105107399650777,41.332077837065334
pt.ine.add.PTCONT.3543061,R COSTA,277,4600-758,TELÕES AMT,-8.086178559593852,41.29147197927804
pt.ine.add.PTCONT.3543062,R COSTA,377,4600-755,TELÕES AMT,-8.083923511652216,41.289733231231224
pt.ine.add.PTCONT.3543063,R COSTA,464,4600-758,TELÕES AMT,-8.085235816203006,41.29094034455637
pt.ine.add.PTCONT.3543064,R PADRE ANTÓNIO MAGALHÃES,540,4600-788,VILA CAIZ,-8.134623352763475,41.241526134056336
pt.ine.add.PTCONT.3543065,CAM FERREIRO,65,4600-810,VILA GARCIA AMT,-8.08217484207842,41.31242296204284
pt.ine.add.PTCONT.3543066,R SANTO AMARO,1075,4600-810,VILA GARCIA AMT,-8.070392986062034,41.30710469778908
pt.ine.add.PTCONT.3543067,R ALAMBIQUE,32,4600-810,VILA GARCIA AMT,-8.085758837038187,41.31057864197531
pt.ine.add.PTCONT.3543112,R PORTELINHA,,4600-530,BUSTELO AMT,-7.997705442255183,41.23841209794977
pt.ine.add.PTCONT.3543113,LAD EIRA VELHA,,4600-530,BUSTELO AMT,-7.998230915353929,41.23811557411551
pt.ine.add.PTCONT.3543114,R VENDA,23,4600-530,BUSTELO AMT,-8.000129794666908,41.237019262968595
pt.ine.add.PTCONT.3543115,R NSA SRA DOS PRAZERES,,4600-530,BUSTELO AMT,-8.004274946708792,41.215746866905896
pt.ine.add.PTCONT.3543116,R NSA SRA DOS PRAZERES,,4600-530,BUSTELO AMT,-8.00415637295729,41.215404570990785
pt.ine.add.PTCONT.3543117,CAM DA FORJA,1,4600-540,CANADELO,-7.974238039558865,41.32357976274322
pt.ine.add.PTCONT.3543118,R CENTRAL DE CANDEMIL,195,4600-552,CANDEMIL AMT,-7.969372909174433,41.253484419420865
pt.ine.add.PTCONT.3543119,R VELHA DE CANDEMIL,59,4600-552,CANDEMIL AMT,-7.969164152931524,41.24630774382871
pt.ine.add.PTCONT.3543120,,,4600-761,TELÕES AMT,-8.118585108374653,41.31921343208354
pt.ine.add.PTCONT.3543121,R AMIAIS,,4600-761,TELÕES AMT,-8.092981411080915,41.31425507769659
pt.ine.add.PTCONT.3543122,R BOAVISTA,151,4600-756,TELÕES AMT,-8.09415574160173,41.287531123342696
pt.ine.add.PTCONT.3543123,R BOAVISTA DE BAIXO,156,4600-756,TELÕES AMT,-8.094574025875147,41.286738895810124
pt.ine.add.PTCONT.3543124,R NSA SRA DO CARMO,,4605-453,TRAVANCA AMT,-8.189604606093113,41.28210332901355
pt.ine.add.PTCONT.3543125,R PASSINHOS,,4600-790,VILA CAIZ,-8.116229273123276,41.23810328819074
pt.ine.add.PTCONT.3543126,R PADRAO,203,4600-789,VILA CAIZ,-8.12939925305254,41.22511130013059
pt.ine.add.PTCONT.3543127,R PADRAO,203,4600-789,VILA CAIZ,-8.12939925305254,41.22511130013059
pt.ine.add.PTCONT.3543128,R PADRAO,203,4600-789,VILA CAIZ,-8.12939925305254,41.22511130013059
pt.ine.add.PTCONT.3543129,R BELMONTE,92,4600-783,VILA CAIZ,-8.135267354977698,41.236078545654955
pt.ine.add.PTCONT.3543161,R GRANJA,224,4600-553,CANDEMIL AMT,-7.943444919526561,41.22905211304682
pt.ine.add.PTCONT.3543162,R MURGIDO,65,4600-553,CANDEMIL AMT,-7.944895465921809,41.226479271210344
pt.ine.add.PTCONT.3543163,R VENDA,187,4600-560,CARNEIRO,-7.966159026265252,41.2129876244777
pt.ine.add.PTCONT.3543164,R MQ DE POMBAL,,4600-560,CARNEIRO,-7.97192868645537,41.20878183168977
pt.ine.add.PTCONT.3543165,R ANTÓNIO TEIXEIRA MENDES,136,4600-570,CARVALHO DE REI,-8.030792946747024,41.23253045010169
pt.ine.add.PTCONT.3543166,AV CASTELO,692,4600-570,CARVALHO DE REI,-8.031413030145213,41.232630046359695
pt.ine.add.PTCONT.3543167,R MQ DE POMBAL,1265,4600-530,BUSTELO AMT,-8.008134607335032,41.230329054746264
pt.ine.add.PTCONT.3543168,R CENTRAL DA GATEIRA,,4605-102,MANCELOS,-8.145967148635425,41.29747760663276
pt.ine.add.PTCONT.3543169,R NOVA DA GATEIRA,153,4605-177,MANCELOS,-8.148915301252666,41.29375851646386
pt.ine.add.PTCONT.3543170,TV TROUXAINHO,136,4605-172,MANCELOS,-8.146383013164828,41.287527943769845
pt.ine.add.PTCONT.3543171,R GUNHEIRO,226,4605-130,MANCELOS,-8.149904272267266,41.28615884762239
pt.ine.add.PTCONT.3543172,TV EIDO PEQUENO,114,4605-124,MANCELOS,-8.162434313087727,41.27668392521838
pt.ine.add.PTCONT.3543173,R CASA DA PEDREIRA,,4605-442,TRAVANCA AMT,-8.183091826297758,41.27254387996586
pt.ine.add.PTCONT.3543174,R MESURAS,67,4600-781,VILA CAIZ,-8.1389168963637,41.230234648019284
pt.ine.add.PTCONT.3543175,R IGREJA,206,4600-786,VILA CAIZ,-8.1389168963637,41.230234648019284
pt.ine.add.PTCONT.3543176,R BATALHA,184,4600-781,VILA CAIZ,-8.132655081083977,41.23274698574904
pt.ine.add.PTCONT.3543177,R AMETADE,197,4600-787,VILA CAIZ,-8.141642460832706,41.233330421749436
pt.ine.add.PTCONT.3543178,R ESPORÕES,137,4600-791,VILA CAIZ,-8.145767970677326,41.22622505643398
pt.ine.add.PTCONT.3543217,R CARVALHINHAS,211,4600-206,AMARANTE,-8.07980103828869,41.26511391263125
pt.ine.add.PTCONT.3543218,TV S SEBASTIÃO,51,4605-133,MANCELOS,-8.158371379459835,41.26423206384436
pt.ine.add.PTCONT.3543219,R OLIVAL DE PADRAO,82,4605-142,MANCELOS,-8.17574094934722,41.26320708906377
pt.ine.add.PTCONT.3543220,TV TAPADA CARNEIRAS,68,4605-117,MANCELOS,-8.174270041275028,41.264242640726394
pt.ine.add.PTCONT.3543221,R NOVA DA LAGE,,4600-801,VILA CHÃ DO MARÃO,-8.034038184258062,41.28719794717157
pt.ine.add.PTCONT.3543222,R CRASTO,122,4600-810,VILA GARCIA AMT,-8.074039207151214,41.315741603327524
pt.ine.add.PTCONT.3543288,TV BOAVISTA,141,4600-107,AMARANTE,-8.084373404715752,41.2626847990365
pt.ine.add.PTCONT.3543289,TV BOAVISTA,141,4600-107,AMARANTE,-8.084373404715752,41.2626847990365
pt.ine.add.PTCONT.3543290,PCT DEVESA,69,4600-211,AMARANTE,-8.083960240921053,41.25668780745481
pt.ine.add.PTCONT.3543291,R CARVALHA,162,4600-120,AMARANTE,-8.080738546930961,41.25674041256077
pt.ine.add.PTCONT.3543292,R NSA SRA DA ASSUNÇAO,207,4600-026,AMARANTE,-8.078211244293763,41.254001947911924
pt.ine.add.PTCONT.3543293,R JUNQUEIRA,,4600-580,CHAPA,-8.057353251327893,41.31734357209847
pt.ine.add.PTCONT.3543294,R REGADAS,,4600-580,CHAPA,-8.06227652434914,41.31483455211439
pt.ine.add.PTCONT.3543295,R MO,4398,4600-595,FREGIM,-8.129456036373016,41.27627340901283
pt.ine.add.PTCONT.3543296,TV RIBEIRA,99,4605-067,VILA MEÃ,-8.187350803407107,41.255956177257545
pt.ine.add.PTCONT.3543297,R CENTRAL DE OLO,,4600-690,OLO,-8.000464219700557,41.30166987832535
pt.ine.add.PTCONT.3543356,R S SEBASTIÃO,,4600-593,FREGIM,-8.109085867596212,41.265582962416666
pt.ine.add.PTCONT.3543357,R CAMPO,156A,4600-591,FREGIM,-8.112057763256544,41.26429594064273
pt.ine.add.PTCONT.3543358,CC 1 DE MAIO,40,4600-701,PADRONELO,-8.059702490468517,41.25660286353659
pt.ine.add.PTCONT.3543359,R TRAS DO OUTEIRO,42,4600-701,PADRONELO,-8.052992806190737,41.25001629273645
pt.ine.add.PTCONT.3543360,R CHARRASCAL,138,4605-318,VILA MEÃ,-8.165276320867514,41.255046028636336
pt.ine.add.PTCONT.3591112,R MONTE,,4605-136,MANCELOS,-8.164763616048576,41.280501088592594
pt.ine.add.PTCONT.3543426,R BOAVISTA,121,4600-593,FREGIM,-8.103474880365868,41.270371897577014
pt.ine.add.PTCONT.3543427,R ALTO SECO,406,4600-591,FREGIM,-8.107381693249389,41.2596217980075
pt.ine.add.PTCONT.3543428,CC S SEBASTIÃO,117,4600-611,FREIXO DE BAIXO,-8.111973857329062,41.30244668401525
pt.ine.add.PTCONT.3543429,R PROF JOSE RIBEIRO SOARES,264,4605-362,VILA MEÃ,-8.17345749121651,41.248533386272946
pt.ine.add.PTCONT.3543430,R PINHEIRO MANSO,,4605-305,VILA MEÃ,-8.172995118316265,41.25333280838251
pt.ine.add.PTCONT.3543431,R STA COMBA,128,4605-362,VILA MEÃ,-8.175341620692558,41.247137052340626
pt.ine.add.PTCONT.3543432,CAM ROBIM,,4605-384,VILA MEÃ,-8.180431700863855,41.25790414321263
pt.ine.add.PTCONT.3543474,R FREIXO BAIXO,194,4600-614,FREIXO DE BAIXO,-8.102211555391136,41.291999641119574
pt.ine.add.PTCONT.3543475,R LAMACEIRO,82,4615-036,FREIXO DE CIMA,-8.144979055691381,41.31337905364933
pt.ine.add.PTCONT.3543476,R SOUTO,,4605-335,VILA MEÃ,-8.177105366862396,41.24424602759279
pt.ine.add.PTCONT.3543509,AV LAGARTEIRA,1240,4615-034,FREIXO DE CIMA,-8.14685373073844,41.312055235692036
pt.ine.add.PTCONT.3543510,R LAMACEIRO,37,4615-034,FREIXO DE CIMA,-8.144811772238432,41.31287483867557
pt.ine.add.PTCONT.3543511,R S BRÁS,187,4605-363,VILA MEÃ,-8.181076646121047,41.24241657814424
pt.ine.add.PTCONT.3543512,R REI DO FERRO,313,4605-370,VILA MEÃ,-8.184210491769212,41.237796045186585
pt.ine.add.PTCONT.3543513,R ADEGAS,,4600-723,SALVADOR DO MONTE,-8.090732807286761,41.245705324476404
pt.ine.add.PTCONT.3543514,R DIVINO SALVADOR,684,4600-723,SALVADOR DO MONTE,-8.093128194176124,41.2303178968177
pt.ine.add.PTCONT.3543572,R RANHADOURO,,4615-045,FREIXO DE CIMA,-8.12545417980106,41.30559982528794
pt.ine.add.PTCONT.3543573,R BOUCOS,111,4615-047,FREIXO DE CIMA,-8.129764707546318,41.308688456061304
pt.ine.add.PTCONT.3543574,R SERRADO,16,4615-047,FREIXO DE CIMA,-8.123006194675902,41.30617590247499
pt.ine.add.PTCONT.3543575,R ALTO DA BEATRIZ,,4600-730,SANCHE,-8.006754195572087,41.27823007416003
pt.ine.add.PTCONT.3543576,CAM FRAGA DA BAGANHA,54,4600-730,SANCHE,-8.005654557518831,41.272880366782594
