id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5427024,R DR VICTOR MACEDO PINTO,,5120-351,SENDIM TBC,-7.537758683314077,41.02242359357918
pt.ine.add.PTCONT.5427025,QTA SEVILHA,,5120-407,TABUAÇO,-7.558020092646261,41.116461036980404
pt.ine.add.PTCONT.5427026,R NOVA,26,5120-420,TABUAÇO,-7.5657364819202995,41.117732898408356
pt.ine.add.PTCONT.5427113,LG 5 DE OUTUBRO,37,5120-390,TABUAÇO,-7.565761457426598,41.11759795554271
pt.ine.add.PTCONT.5427114,R CONDE FERREIRA,13,5120-400,TABUAÇO,-7.566550675777246,41.117205646176714
pt.ine.add.PTCONT.5427115,R 1 DE DEZEMBRO,,5120-397,TABUAÇO,-7.567190051413219,41.11762299067223
pt.ine.add.PTCONT.5427116,R RAINHA D LEONOR,,5120-371,TABUAÇO,-7.56292180494189,41.115521930740805
pt.ine.add.PTCONT.5427225,R FUNDO DO POVO,5,5120-476,VALE DE FIGUEIRA TBC,-7.593730019519376,41.09145740485458
pt.ine.add.PTCONT.5427226,R TRINDADE,,5120-507,VALENÇA DO DOURO,-7.554592804658675,41.158278124272044
pt.ine.add.PTCONT.5427227,R S GONÇALO,,5120-511,VALENÇA DO DOURO,-7.552592913985335,41.15808797603822
pt.ine.add.PTCONT.5428089,R PASSADICO,7,5120-043,ARCOS TBC,-7.57141962844029,41.048822712679666
pt.ine.add.PTCONT.5428203,R PASSADICO,,5120-043,ARCOS TBC,-7.57157509046497,41.048724420788695
pt.ine.add.PTCONT.5428204,R QUELHAS,,5120-034,ARCOS TBC,-7.571982846353375,41.04833020889178
pt.ine.add.PTCONT.5428205,R CALÇADA,,5120-083,BARCOS,-7.571277245364185,41.139586656921665
pt.ine.add.PTCONT.5428206,R FRANCISCO PEREIRA CABRAL,,5120-078,BARCOS,-7.601937849420998,41.12304700328454
pt.ine.add.PTCONT.5428207,R FUNDO VILA,16,5120-078,BARCOS,-7.60249625931919,41.123202651193566
pt.ine.add.PTCONT.5428208,ESTR NACIONAL,,5120-064,BARCOS,-7.588004340475859,41.121784334455384
pt.ine.add.PTCONT.5428209,R S BARBARA,,5120-062,BARCOS,-7.600516169994386,41.11920456838734
pt.ine.add.PTCONT.5428210,R RIBEIRA,9,5120-112,CHAVÃES,-7.566070278573491,41.088623273421206
pt.ine.add.PTCONT.5428324,BR OUTEIRO,2,5120-103,CHAVÃES,-7.566337903739225,41.08794925741253
pt.ine.add.PTCONT.5428325,R S JOSE,24,5120-115,CHAVÃES,-7.569235438971603,41.08730614962553
pt.ine.add.PTCONT.5428326,R NSA SRA DAS MERCÊS,,5120-175,GRANJA DO TEDO,-7.61273006434726,41.06826825465041
pt.ine.add.PTCONT.5428327,R CAMELIAS,6,5120-165,GRANJA DO TEDO,-7.6154656965612855,41.06837962503732
pt.ine.add.PTCONT.5428328,LG ROSSIO,,5120-164,GRANJA DO TEDO,-7.612116586566458,41.06760815579957
pt.ine.add.PTCONT.5428421,R OUTEIRO,98,5120-253,LONGA,-7.593077913529104,41.05916434849863
pt.ine.add.PTCONT.5428422,R SENHORA DA SAÚDE,,5120-256,LONGA,-7.591647315412637,41.05808610153627
pt.ine.add.PTCONT.5428423,R LAGE DO MATO,,5120-240,LONGA,-7.59290125136309,41.05313051081827
pt.ine.add.PTCONT.5428424,LG STA BARBARA,,5120-262,PEREIRO TBC,-7.496057126366834,41.101827096840516
pt.ine.add.PTCONT.5428506,R LAMPACA,3,5120-284,PINHEIROS TBC,-7.613058303059838,41.102099458811324
pt.ine.add.PTCONT.5428507,R BAIRRO SENHORA DAS PRECES,,5120-358,SENDIM TBC,-7.5416291714916,41.04695380868999
pt.ine.add.PTCONT.5428508,LG FONTE DA CASEIRA,11,5120-358,SENDIM TBC,-7.540972548672655,41.04059325979495
pt.ine.add.PTCONT.5428509,R REGO,,5120-340,SENDIM TBC,-7.541409579954361,41.04092867106252
pt.ine.add.PTCONT.5428724,ESTR NACIONAL,,5120-371,TABUAÇO,-7.562235165759861,41.115068310715806
pt.ine.add.PTCONT.5429551,R PORTELA,,5120-110,CHAVÃES,-7.56992091725262,41.08786777730427
pt.ine.add.PTCONT.5429561,R CARVALHAL,,5120-038,ARCOS TBC,-7.572358936304181,41.04886330492028
pt.ine.add.PTCONT.5429575,R BARRO,,5120-083,BARCOS,-7.570535041532457,41.140024248181156
pt.ine.add.PTCONT.5429603,R VALE VELHO,,5120-011,ADORIGO,-7.610769437484904,41.1460665458879
pt.ine.add.PTCONT.5429624,TV FONTE,,5120-011,ADORIGO,-7.60625837850277,41.14562279758725
pt.ine.add.PTCONT.5429625,ESTR NACIONAL,,5120-462,VALE DE FIGUEIRA TBC,-7.591785333522659,41.092024568889336
pt.ine.add.PTCONT.5429626,R CENTRAL,11,5120-502,VALENÇA DO DOURO,-7.556025975658137,41.159239771838216
pt.ine.add.PTCONT.5429653,BR PAZ,9,5120-011,ADORIGO,-7.606033761905684,41.14243422729004
pt.ine.add.PTCONT.5429654,R IGREJA,42,5120-109,CHAVÃES,-7.568242919196177,41.085077191508226
pt.ine.add.PTCONT.5429655,R IGREJA,,5120-109,CHAVÃES,-7.568184574033552,41.0849418388387
pt.ine.add.PTCONT.5429657,R CAPELA,3,5120-202,GRANJINHA,-7.519444132790537,41.066449558606045
pt.ine.add.PTCONT.5429658,R DIREITA,,5120-245,LONGA,-7.593368240817287,41.06003013938571
