id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5427397,R ESCOLA,,3610-042,GRANJA NOVA,-7.721609199589433,41.03170890152588
pt.ine.add.PTCONT.5427398,R CRUZ,,3610-042,GRANJA NOVA,-7.719889279647128,41.03101840194824
pt.ine.add.PTCONT.5427399,R CALÇADA,,3610-043,GRANJA NOVA,-7.738120260912528,41.0346931484651
pt.ine.add.PTCONT.5427491,R FONTE,19,3610-052,MONDIM DA BEIRA,-7.741510375945257,41.014462448514045
pt.ine.add.PTCONT.5427492,AV ALIPIO CAETANO FERREIRA,9,3610-052,MONDIM DA BEIRA,-7.741637358837057,41.01510220524947
pt.ine.add.PTCONT.5427493,SEM DESIGNACAO,6,3610-055,MONDIM DA BEIRA,-7.744177394489171,41.02589828419954
pt.ine.add.PTCONT.5427494,PC JOSE FERNANDES,18,3610-051,MONDIM DA BEIRA,-7.747774783990012,41.016617646845454
pt.ine.add.PTCONT.5427580,R TORRES,,3610-084,SÃO JOÃO DE TAROUCA,-7.771154675094011,40.98493417902384
pt.ine.add.PTCONT.5427577,R CASTRO NEVES,,3610-074,SALZEDAS,-7.751132260247324,41.0692513571669
pt.ine.add.PTCONT.5427578,TV RUA DA RAMADA,4,3610-073,SALZEDAS,-7.725997265300535,41.054839129243675
pt.ine.add.PTCONT.5427579,AV ANTÓNIO JOSÉ TEIXEIRA,,3610-082,SÃO JOÃO DE TAROUCA,-7.747079583409384,40.99721942050579
pt.ine.add.PTCONT.5427680,R CAPELA,,3610-084,SÃO JOÃO DE TAROUCA,-7.768843140819349,40.98607048663059
pt.ine.add.PTCONT.5427681,R CALVÁRIO,,3610-083,SÃO JOÃO DE TAROUCA,-7.736023381551484,40.9779209734281
pt.ine.add.PTCONT.5427682,R DIREITA,,3610-083,SÃO JOÃO DE TAROUCA,-7.738549478859497,40.97671401999736
pt.ine.add.PTCONT.5428090,,,3610-132,TAROUCA,-7.771639820748076,41.015767485783414
pt.ine.add.PTCONT.5427778,R NOSSA SENHORA DAS NECESSIDADES,,3610-167,TAROUCA,-7.785914836590399,41.029921539773
pt.ine.add.PTCONT.5427779,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427780,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427781,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427782,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427783,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427784,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427785,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427786,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427787,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427788,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427789,AV ORDEM DE CISTER,,3610-103,TAROUCA,-7.773958776763644,41.0309564470394
pt.ine.add.PTCONT.5427878,R S BERNARDO CLARAVAL,14,3610-103,TAROUCA,-7.76957507352378,41.03020432955495
pt.ine.add.PTCONT.5427879,R S BERNARDO CLARAVAL,18,3610-103,TAROUCA,-7.76955317402389,41.02986208707227
pt.ine.add.PTCONT.5427880,R CALÇADA,,3610-104,TAROUCA,-7.782181621409179,41.00741678569553
pt.ine.add.PTCONT.5427881,R OUTEIRO,,3610-166,TAROUCA,-7.777033015689644,41.0077071526884
pt.ine.add.PTCONT.5427980,R S HELENA,,3610-165,TAROUCA,-7.780683436889613,40.989646111323786
pt.ine.add.PTCONT.5427981,R AZENHAS,,3610-140,TAROUCA,-7.774332342712993,41.016901471200335
pt.ine.add.PTCONT.5427982,R ROSSIO,,3610-101,TAROUCA,-7.78941668157976,41.0219269703823
