id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5427027,R NSA SRA DAS FEBRES,,3465-020,BARREIRO DE BESTEIROS,-8.144388025388036,40.510864711109235
pt.ine.add.PTCONT.5427028,TV ALVARO,33,3475-062,MOSTEIRINHO,-8.2613896675065,40.54409592756183
pt.ine.add.PTCONT.5427029,R FABRICA,180,3460-303,MOSTEIRO DE FRÁGUAS,-8.07046648832588,40.576155079497326
pt.ine.add.PTCONT.5427030,R PORTODINHO,16,3460-303,MOSTEIRO DE FRÁGUAS,-8.068247587649868,40.57466798054048
pt.ine.add.PTCONT.5427031,R FONTE,29,3460-303,MOSTEIRO DE FRÁGUAS,-8.067255721394183,40.574487313377716
pt.ine.add.PTCONT.5427032,R CANTINHO,,3460-303,MOSTEIRO DE FRÁGUAS,-8.06935740606106,40.575010799742955
pt.ine.add.PTCONT.5427033,R PEGO,254,3460-321,TONDELA,-8.08441386225012,40.495455746106465
pt.ine.add.PTCONT.5427034,PCT ALAMBIQUE,133,3460-321,TONDELA,-8.086265617842882,40.49579871762245
pt.ine.add.PTCONT.5427035,EN 2,310,3460-321,TONDELA,-8.086867811236024,40.49494344472738
pt.ine.add.PTCONT.5427117,R ENG AGRONOMO JOSE SOUSA MENEZES VASCONCELOS,70,3465-060,CAMPO DE BESTEIROS,-8.136674191497809,40.56007951566095
pt.ine.add.PTCONT.5427118,AV DR JOÃO ALMIRO,1562,3465-093,CAMPO DE BESTEIROS,-8.131242834399426,40.55710779775184
pt.ine.add.PTCONT.5427119,AV DR JOÃO ALMIRO,893,3465-056,CAMPO DE BESTEIROS,-8.124040257594404,40.559583921943606
pt.ine.add.PTCONT.5427120,TV JOSE BARTOLOMEU,16,3460-337,TONDELA,-8.095112502619749,40.496270246824984
pt.ine.add.PTCONT.5427121,R PRINCIPAL,N 645,3460-337,TONDELA,-8.094535768936602,40.49402770475947
pt.ine.add.PTCONT.5427122,EN 2,764,3460-321,TONDELA,-8.089123302654592,40.49119806670603
pt.ine.add.PTCONT.5427123,R NOVA,,3460-327,TONDELA,-8.066785343925188,40.488638869095524
pt.ine.add.PTCONT.5427124,R LINDINHAS,22,3460-327,TONDELA,-8.064134423439038,40.485764582921874
pt.ine.add.PTCONT.5427125,R S SEBASTIÃO,28,3460-324,TONDELA,-8.066368415187123,40.48087593863188
pt.ine.add.PTCONT.5427228,AV BELA VISTA,,3460-019,TONDELA,-8.049751781916234,40.5471448572964
pt.ine.add.PTCONT.5427229,LG S BENTO,2,3460-013,TONDELA,-8.047990493821342,40.54897165757815
pt.ine.add.PTCONT.5427230,AV JOÃO DE GONTA,,3460-410,PARADA DE GONTA,-8.004433805337811,40.58915806552869
pt.ine.add.PTCONT.5427231,R NSA SRA DA CONCEIÇÃO,320,3460-412,PARADA DE GONTA,-7.999949712669207,40.586793600919904
pt.ine.add.PTCONT.5427232,R FEIRA,80,3460-387,PARADA DE GONTA,-7.998443664742652,40.583847128068975
pt.ine.add.PTCONT.5427316,R LOUREIRO,27,3465-101,CAPARROSA,-8.094673644195765,40.62433481298467
pt.ine.add.PTCONT.5427313,AV S PEDRO,,3460-012,TONDELA,-8.037264452348072,40.55361901669739
pt.ine.add.PTCONT.5427314,R PONTE DA LAGE,,3460-012,TONDELA,-8.043480031793566,40.54953558307756
pt.ine.add.PTCONT.5427315,TV IMACULADO CORACAO DE MARIA,128,3460-012,TONDELA,-8.042174335010941,40.54604049011169
pt.ine.add.PTCONT.5427317,R DR TOMAS RIBEIRO DE MELO,36,3460-409,PARADA DE GONTA,-7.995945873479065,40.580773386804275
pt.ine.add.PTCONT.5427318,R CRUZEIRO,120,3460-399,PARADA DE GONTA,-7.994829976920437,40.57778230001423
pt.ine.add.PTCONT.5427319,R MOITAS,3,3460-433,SABUGOSA,-8.025087086910434,40.57143880327022
pt.ine.add.PTCONT.5427400,R CAPELA,,3465-128,CASTELÕES TND,-8.154739315211293,40.55909596526569
pt.ine.add.PTCONT.5427401,R CAPELA,227,3465-128,CASTELÕES TND,-8.154515171496977,40.55970836915091
pt.ine.add.PTCONT.5427402,AV VÁRZEA,7,3460-433,SABUGOSA,-8.030651108366595,40.578026745762656
pt.ine.add.PTCONT.5427403,R GALEGO,56,3465-154,SANTIAGO DE BESTEIROS,-8.114939595278276,40.59275837198448
pt.ine.add.PTCONT.5427404,R RAPOSEIRA,37,3465-154,SANTIAGO DE BESTEIROS,-8.118601961116417,40.591525167382414
pt.ine.add.PTCONT.5427405,R OUTEIRO,65,3465-154,SANTIAGO DE BESTEIROS,-8.121094503859137,40.59153445878469
pt.ine.add.PTCONT.5427406,R SERRADO,120,3465-159,SANTIAGO DE BESTEIROS,-8.124768868481508,40.587356333206664
pt.ine.add.PTCONT.5427407,R DR ANTÓNIO QUADROS,21,3465-157,SANTIAGO DE BESTEIROS,-8.128749951751004,40.582007412070574
pt.ine.add.PTCONT.5427495,R VALE FERRA,35,3465-126,CASTELÕES TND,-8.146767737782769,40.55099238358453
pt.ine.add.PTCONT.5427496,R BAIRRO NOVO,,3465-122,CASTELÕES TND,-8.126002205587785,40.54141128406318
pt.ine.add.PTCONT.5427497,R CASAL DE MACAS,126,3465-157,SANTIAGO DE BESTEIROS,-8.129399586460032,40.58180031307363
pt.ine.add.PTCONT.5427498,R JOSE RODRIGUES LUFINHA,111,3465-151,SANTIAGO DE BESTEIROS,-8.134690843253136,40.57315527629403
pt.ine.add.PTCONT.5427499,R FUNDO DO POVO,,3465-153,SANTIAGO DE BESTEIROS,-8.126435886219106,40.5723896435383
pt.ine.add.PTCONT.5427581,R CABECO,178,3465-123,CASTELÕES TND,-8.1514380203679,40.53321517098959
pt.ine.add.PTCONT.5427582,R CARREIRA,88,3465-123,CASTELÕES TND,-8.151519695692917,40.529766101597694
pt.ine.add.PTCONT.5427583,R PRINCIPAL,183,3465-123,CASTELÕES TND,-8.153879503827762,40.52774849784513
pt.ine.add.PTCONT.5427584,R BAIXO,107,3460-065,TONDELA,-8.12425233708118,40.4733482974021
pt.ine.add.PTCONT.5427585,EN 230,1,3475-070,SÃO JOÃO DO MONTE,-8.27616870135185,40.593814880652246
pt.ine.add.PTCONT.5427586,ESTR CAPELAS,34,3475-081,SÃO JOÃO DO MONTE,-8.230068806638847,40.566513706959306
pt.ine.add.PTCONT.5427587,R BAIRRO NOVO,3,3475-085,SÃO JOÃO DO MONTE,-8.258192107893759,40.56393817694231
pt.ine.add.PTCONT.5427588,EM 2 E,2E,3475-077,SÃO JOÃO DO MONTE,-8.213601279356693,40.551370392268986
pt.ine.add.PTCONT.5427683,R LINHAR,15,3460-101,FERREIRÓS DO DÃO,-8.035578101311696,40.47083098775616
pt.ine.add.PTCONT.5427684,R DIREITA,41,3460-101,FERREIRÓS DO DÃO,-8.035047653050112,40.470704462489934
pt.ine.add.PTCONT.5427685,R DIREITA,46,3460-101,FERREIRÓS DO DÃO,-8.034445876273873,40.47097411425613
pt.ine.add.PTCONT.5427686,R CALÇADA,36,3465-180,SILVARES TND,-8.13456178270533,40.612283191486355
pt.ine.add.PTCONT.5427790,R PALHEIRINHO,40,3475-033,CARAMULO,-8.146200389237432,40.60815805590923
pt.ine.add.PTCONT.5427791,BC GORGULAO,34,3460-479,TONDELA,-8.074998246028011,40.49811700060445
pt.ine.add.PTCONT.5427792,BR S CORNELIO,703,3460-561,TONDELA,-8.070276164086096,40.527084895061265
pt.ine.add.PTCONT.5427793,R FRAGA,550,3460-556,TONDELA,-8.079777422531764,40.52594598797805
pt.ine.add.PTCONT.5427794,AV ENG ADELINO AMARO DA COSTA,,3460-592,TONDELA,-8.07295917025866,40.52258363335495
