id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4404733,R CABECO,7,2350-074,CHANCELARIA TNV,-8.541791829277582,39.54230918193414
pt.ine.add.PTCONT.4409540,,,2350-214,PARCEIROS DE IGREJA,-8.617942816838239,39.448713783454146
pt.ine.add.PTCONT.4391271,R MOINHO DE BAIXO,1,2350-119,TORRES NOVAS,-8.554275317810852,39.49436591541672
pt.ine.add.PTCONT.4391272,R VIEGAS,5,2350-601,TORRES NOVAS,-8.503547433581518,39.49951043243192
pt.ine.add.PTCONT.4391273,R POÇOS,43,2350-648,TORRES NOVAS,-8.505902779301636,39.49644955044975
pt.ine.add.PTCONT.4391274,R BOAVISTA,19,2350-622,TORRES NOVAS,-8.484619631944224,39.4878241286841
pt.ine.add.PTCONT.4391275,R HORTAS QTA DA RAINHA,,2350-611,TORRES NOVAS,-8.505728309248171,39.48772237261984
pt.ine.add.PTCONT.4391276,R LUIS DE CAMÕES,27,2350-647,TORRES NOVAS,-8.496060706400874,39.49064418506827
pt.ine.add.PTCONT.4391363,AV SAUDADE,19,2350-693,TORRES NOVAS,-8.537022893930388,39.51632296432129
pt.ine.add.PTCONT.4391364,R 25 DE ABRIL,24,2350-696,TORRES NOVAS,-8.541052616649978,39.51539018902251
pt.ine.add.PTCONT.4391466,LG SOCIEDADE,11,2350-151,OLAIA,-8.49143080776951,39.508104995796394
pt.ine.add.PTCONT.4391467,R JOSE ANTUNES S IRGADO,15,2350-151,OLAIA,-8.490622072259221,39.509116261685186
pt.ine.add.PTCONT.4391468,R NICHO,7,2350-151,OLAIA,-8.49066133421952,39.50770205289005
pt.ine.add.PTCONT.4391469,R DR JOSE EDUARDO,10,2350-151,OLAIA,-8.489999185659078,39.507821177484246
pt.ine.add.PTCONT.4416875,TV CASAL,,2350-215,PARCEIROS DE IGREJA,-8.603210450854363,39.439866335886364
pt.ine.add.PTCONT.4391573,ESTR COIMBRA,15,2350-152,OLAIA,-8.469841922547788,39.50635913472795
pt.ine.add.PTCONT.4391574,R ROSAS,5,2350-178,OLAIA,-8.471508008501552,39.48788104020792
pt.ine.add.PTCONT.4391575,R OLIVEIRA DA CRUZ,,2350-200,VILA DO PAÇO,-8.487394368012875,39.56496883905358
pt.ine.add.PTCONT.4391680,R ESCOLA,6,2350-202,VILA DO PAÇO,-8.507182657919804,39.544344179388744
pt.ine.add.PTCONT.4391681,R BARREIRO,10,2350-202,VILA DO PAÇO,-8.506151228940277,39.540735737587575
pt.ine.add.PTCONT.4391682,R VALADOS,38,2350-214,PARCEIROS DE IGREJA,-8.619603397939137,39.451949366123166
pt.ine.add.PTCONT.4391683,R ESCOLA,4,2350-215,PARCEIROS DE IGREJA,-8.60509267484801,39.44165110824428
pt.ine.add.PTCONT.4391684,R PADRE CÂNDIDO AZEVEDO MENDES,15,2350-589,TORRES NOVAS,-8.547632732719677,39.475961557789546
pt.ine.add.PTCONT.4391765,R PADRE JULIO AMBROSIO,2,2350-265,PEDRÓGÃO TNV,-8.64133531614895,39.507105004404366
pt.ine.add.PTCONT.4391766,R HEROIS DA PATRIA,,2350-223,PEDRÓGÃO TNV,-8.607712138283512,39.50578800441751
pt.ine.add.PTCONT.4391767,R CORRENTE,20,2350-760,TORRES NOVAS,-8.542540529364217,39.479627420051585
pt.ine.add.PTCONT.4391768,R CORRENTE,32,2350-760,TORRES NOVAS,-8.542598430124226,39.47959118831276
pt.ine.add.PTCONT.4391769,R DIREITA DE S PEDRO,97,2350-764,TORRES NOVAS,-8.543944190607743,39.4791721211027
pt.ine.add.PTCONT.4391770,R DIREITA DE S PEDRO,97,2350-764,TORRES NOVAS,-8.543944190607743,39.4791721211027
pt.ine.add.PTCONT.4391771,TV QUINCHOSO,1,2350-728,TORRES NOVAS,-8.542048063538255,39.478890581847374
pt.ine.add.PTCONT.4391772,R MARGINAL,31,2350-817,ZIBREIRA,-8.612209919886554,39.50213076495897
pt.ine.add.PTCONT.4391869,TV COUTADA,4,2350-251,PEDRÓGÃO TNV,-8.586860136828932,39.522921318284354
pt.ine.add.PTCONT.4391870,R FONTAINHA,18,2350-233,PEDRÓGÃO TNV,-8.58970705488611,39.526107615026454
pt.ine.add.PTCONT.4391871,R OUTEIRO,5,2350-246,PEDRÓGÃO TNV,-8.588674015240013,39.524643546111285
pt.ine.add.PTCONT.4391872,R S JOÃO,11,2350-239,PEDRÓGÃO TNV,-8.590176623428702,39.52322356689884
pt.ine.add.PTCONT.4391873,R B BR DO NICHO,8,2350-292,RIACHOS,-8.524550989858582,39.46344978338351
pt.ine.add.PTCONT.4391874,EN 243,,2350-827,ZIBREIRA,-8.596436214574513,39.476353792738635
pt.ine.add.PTCONT.4391875,R JOÃO PRADO RIBEIRO,8,2350-859,ZIBREIRA,-8.609366881574328,39.482480319812666
pt.ine.add.PTCONT.4391876,R PARREIRAS,5,2350-625,MEIA VIA,-8.498243561688481,39.47682066341031
pt.ine.add.PTCONT.4391958,R 1 DE MAIO,3,2350-381,RIACHOS,-8.513189850119879,39.44694159495168
pt.ine.add.PTCONT.4391959,R FILARMONICA,29,2350-632,MEIA VIA,-8.502644574186988,39.4739065138036
pt.ine.add.PTCONT.4391960,R 5 DE OUTUBRO,155,2350-300,MEIA VIA,-8.504995862085314,39.468053484670556
pt.ine.add.PTCONT.4391961,URB CASAL VAZ,54,2350-867,MEIA VIA,-8.494586002589005,39.47523785511969
pt.ine.add.PTCONT.4392072,R FILARMONICA,19,2350-337,RIACHOS,-8.512338476435415,39.44418822487888
pt.ine.add.PTCONT.4392073,R S JOÃO,39,2350-294,RIACHOS,-8.498476042455545,39.461273868982886
pt.ine.add.PTCONT.4392074,URB CASAL DO TOCHA,,2350-374,RIACHOS,-8.50688487034457,39.443188084248526
pt.ine.add.PTCONT.4392075,R VALADA,43,2350-342,RIACHOS,-8.516944364934737,39.445217931076606
pt.ine.add.PTCONT.4392076,R FONTE,11,2350-338,RIACHOS,-8.515505566635778,39.44552890912154
pt.ine.add.PTCONT.4392077,R S JOÃO,28,2350-347,RIACHOS,-8.517485245791866,39.43794747297138
pt.ine.add.PTCONT.4392195,R CARROLA,47,2350-001,ALCOROCHEL,-8.58142123951899,39.42574827704974
pt.ine.add.PTCONT.4392196,R ÁLVARO BRITES MOITA,9,2350-001,ALCOROCHEL,-8.585108525708698,39.41944709228237
pt.ine.add.PTCONT.4392197,R EMIGRANTE,15,2350-003,ALCOROCHEL,-8.562462609957382,39.40598625559001
pt.ine.add.PTCONT.4392198,R BOM JESUS,6,2350-003,ALCOROCHEL,-8.56660423872177,39.407330965091155
pt.ine.add.PTCONT.4392199,URB CASAL TOCHA,89,2350-374,RIACHOS,-8.507686063714596,39.44312245761336
pt.ine.add.PTCONT.4392200,R RIBEIRO,7,2350-354,RIACHOS,-8.51067665197746,39.43546581687316
pt.ine.add.PTCONT.4392201,R VALE INCENSO,12,2350-370,RIACHOS,-8.509903407663103,39.43423435972126
pt.ine.add.PTCONT.4392321,R PRINCIPAL,22,2350-024,ASSENTIZ TNV,-8.500166151636686,39.6102514503209
pt.ine.add.PTCONT.4392322,R EIRA VELHA,7,2350-016,ASSENTIZ TNV,-8.527339617447575,39.57450452952022
pt.ine.add.PTCONT.4392323,R ESCOLA,,2350-014,ASSENTIZ TNV,-8.493779407807173,39.59346479155077
pt.ine.add.PTCONT.4392324,R ANTÓNIO BENTO,5,2350-026,ASSENTIZ TNV,-8.501813234560052,39.58708077517411
pt.ine.add.PTCONT.4392325,R ALTO DA MACHADA,20,2350-349,RIACHOS,-8.516430717397945,39.4362846513993
pt.ine.add.PTCONT.4392326,R CASAL VENTOSO,1,2350-396,RIBEIRA BRANCA,-8.57987046199891,39.49021726472975
pt.ine.add.PTCONT.4392327,AV MOITAS,3,2350-662,TORRES NOVAS,-8.523773886879878,39.526014635546275
pt.ine.add.PTCONT.4392424,R SABROSA,2A,2350-025,ASSENTIZ TNV,-8.49979978372516,39.576107838599086
pt.ine.add.PTCONT.4392425,R LAGEDO,14,2350-012,ASSENTIZ TNV,-8.52125398151406,39.58934121827477
pt.ine.add.PTCONT.4392426,R SERRADA,9,2350-012,ASSENTIZ TNV,-8.514323350728931,39.590688161780946
pt.ine.add.PTCONT.4392427,LG MOINHO,13,2350-025,ASSENTIZ TNV,-8.505281367151163,39.57823403596184
pt.ine.add.PTCONT.4392428,CSL BOM AMOR,,2350-687,TORRES NOVAS,-8.530447420745098,39.486820898029094
pt.ine.add.PTCONT.4392429,R ENCOSTA DO BOM AMOR,8,2350-445,TORRES NOVAS,-8.531166838192725,39.48252211806028
pt.ine.add.PTCONT.4392430,R MIGUEL BOMBARDA,92,2350-449,TORRES NOVAS,-8.538963709027657,39.478135795601
pt.ine.add.PTCONT.4392431,R MIGUEL BOMBARDA,8,2350-449,TORRES NOVAS,-8.538827755057657,39.47674018991881
pt.ine.add.PTCONT.4392533,R AMENDOEIRAS,,2350-028,ASSENTIZ TNV,-8.511653211077059,39.56636046970686
pt.ine.add.PTCONT.4392534,R PRINCIPAL,7,2350-028,ASSENTIZ TNV,-8.511080361805435,39.56587596499622
pt.ine.add.PTCONT.4392535,R CAPELA,,2350-027,ASSENTIZ TNV,-8.514050878460338,39.56005685341906
pt.ine.add.PTCONT.4392536,ESTR MARRUAS,8,2350-472,TORRES NOVAS,-8.580871647394439,39.47413600502047
pt.ine.add.PTCONT.4392537,R MOS,,2350-508,TORRES NOVAS,-8.58358091667673,39.465343745579716
pt.ine.add.PTCONT.4392625,R NORTON MATOS,14,2350-052,BROGUEIRA,-8.573659001376683,39.445350199248914
pt.ine.add.PTCONT.4392626,R 1 DE MAIO,11,2350-052,BROGUEIRA,-8.57241341586003,39.44494058802111
pt.ine.add.PTCONT.4392627,R GEN HUMBERTO DELGADO,34,2350-052,BROGUEIRA,-8.57194496480961,39.444338886640196
pt.ine.add.PTCONT.4392628,R GEN HUMBERTO DELGADO,25,2350-052,BROGUEIRA,-8.572060507750226,39.444239373509895
pt.ine.add.PTCONT.4392629,ESTR S PEDRO,3,2350-059,BROGUEIRA,-8.562692957122893,39.42838595401024
