id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1898941,R DE NSA SRA DA BOA ESPERANÇA,45,6420-703,VILA FRANCA DAS NAVES,-7.269692021066168,40.72975887801906
pt.ine.add.PTCONT.1898942,R DA FERRADURA,,6420-793,VILARES TCS,-7.29242230531735,40.71824729190056
pt.ine.add.PTCONT.1898943,,,6420-793,VILARES TCS,-7.293119272344763,40.7183514201801
pt.ine.add.PTCONT.1898946,R DE NSA SRA DA BOA ESPERANÇA,27,6420-703,VILA FRANCA DAS NAVES,-7.268537447455033,40.72933600972897
pt.ine.add.PTCONT.1898948,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898949,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898950,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898951,AV MISERICORDIA,1,6420-104,TRANCOSO,-7.3462680895008114,40.77687962148051
pt.ine.add.PTCONT.1898952,AV MISERICORDIA,5,6420-104,TRANCOSO,-7.3462680895008114,40.77687962148051
pt.ine.add.PTCONT.1898955,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898956,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898957,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898958,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898959,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898960,AV CALOUSTE GULBENKIAN,67,6420-033,TRANCOSO,-7.352117874915132,40.78008006624994
pt.ine.add.PTCONT.1898961,,,6420-672,VALE DO SEIXO,-7.278154944537366,40.790811800840224
pt.ine.add.PTCONT.1898964,R PRINCIPAL,,6420-574,TRANCOSO,-7.3892802425692885,40.76088405996911
pt.ine.add.PTCONT.1898965,R DE BAIXO,,6420-654,TORRES,-7.31942391687251,40.74791388477259
pt.ine.add.PTCONT.1898967,LG DR EDUARDO CABRAL,1,6420-053,TRANCOSO,-7.349721754622378,40.779343435758484
pt.ine.add.PTCONT.1898968,R DO PINCHO,20,6420-113,TRANCOSO,-7.350241564996401,40.77946402662529
pt.ine.add.PTCONT.1898969,R DO PINCHO,6,6420-113,TRANCOSO,-7.350133478598872,40.77958936126385
pt.ine.add.PTCONT.1898970,AV DE S MARTINHO,3,6420-723,VILA FRANCA DAS NAVES,-7.259843487577278,40.7216073826991
pt.ine.add.PTCONT.1898971,AV DE S MARTINHO,3,6420-723,VILA FRANCA DAS NAVES,-7.259843487577278,40.7216073826991
pt.ine.add.PTCONT.1898977,EN 226,,6420-623,TAMANHOS,-7.317473879935551,40.76311837075297
pt.ine.add.PTCONT.1898980,R PRINCIPAL,,6420-623,TAMANHOS,-7.314784477517014,40.76223486383887
pt.ine.add.PTCONT.1898984,AV FERNANDO PESSOA,28,6420-061,TRANCOSO,-7.3542876865242075,40.770783702405716
pt.ine.add.PTCONT.1898985,R DA BOUÇA,100,6420-662,VALDUJO,-7.2825484069118716,40.838308464799276
pt.ine.add.PTCONT.1898989,R DA FOLHA,1,6420-211,TRANCOSO,-7.349607434365493,40.777982926175056
pt.ine.add.PTCONT.1898990,R DE STO ANTÓNIO,36,6420-612,SEBADELHE DA SERRA,-7.3979122196704745,40.87051896747972
pt.ine.add.PTCONT.1898994,BR LAIJINHA,,6420-576,TRANCOSO,-7.393900398003579,40.781057668769634
pt.ine.add.PTCONT.1898995,R DIREITA,,6420-782,VILA GARCIA TCS,-7.256199118212184,40.792718134092844
