id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.3544022,R BIQUEIRA,85,4745-425,SÃO MAMEDE CORONADO,-8.57798147961704,41.28472423314073
pt.ine.add.PTCONT.3544056,AV TROFA VELHA,,4785-716,TROFA,-8.565895306417794,41.32537890245729
pt.ine.add.PTCONT.3544057,AV TROFA VELHA,,4785-716,TROFA,-8.564916946187903,41.32373482787836
pt.ine.add.PTCONT.3544058,R VILAR DE LILA,127,4745-506,SÃO MAMEDE CORONADO,-8.567579992501376,41.26788114277379
pt.ine.add.PTCONT.3544059,R PORTELA,43,4745-493,SÃO MAMEDE CORONADO,-8.57614803172389,41.27485373838495
pt.ine.add.PTCONT.3544060,R REGO TELHA,520,4745-502,SÃO MAMEDE CORONADO,-8.574617603154605,41.26559431982595
pt.ine.add.PTCONT.3544099,R CUMIEIRA,,4785-618,TROFA,-8.579345361273912,41.30969642203885
pt.ine.add.PTCONT.3544100,R VAU,433,4785-229,TROFA,-8.567738762780149,41.342155558922286
pt.ine.add.PTCONT.3544101,R VALE CORONADO,1715,4745-487,SÃO MAMEDE CORONADO,-8.574617603154605,41.26559431982595
pt.ine.add.PTCONT.3544102,R VALE DO CORONADO,890,4745-496,SÃO MAMEDE CORONADO,-8.574403813252198,41.27283449890285
pt.ine.add.PTCONT.3544103,R MARIA DA FONTE,45,4745-476,SÃO MAMEDE CORONADO,-8.571929589695575,41.261588728870564
pt.ine.add.PTCONT.3544104,R NASCENTE,105,4745-480,SÃO MAMEDE CORONADO,-8.569496655656769,41.26358790196029
pt.ine.add.PTCONT.3544138,CC ILIDIO ALMEIDA CACAU,23,4745-464,SÃO MAMEDE CORONADO,-8.575959253698302,41.2645806983341
pt.ine.add.PTCONT.3544139,R VALE DO CORONADO,1920,4745-487,SÃO MAMEDE CORONADO,-8.575154269354268,41.26377341511277
pt.ine.add.PTCONT.3544140,R GEN HUMBERTO DELGADO,47,4745-595,SÃO ROMÃO CORONADO,-8.562470153161499,41.28942026819731
pt.ine.add.PTCONT.3544141,R GEN HUMBERTO DELGADO,47,4745-595,SÃO ROMÃO CORONADO,-8.562470153161499,41.28942026819731
pt.ine.add.PTCONT.3544142,R GEN HUMBERTO DELGADO,47,4745-595,SÃO ROMÃO CORONADO,-8.562470153161499,41.28942026819731
pt.ine.add.PTCONT.3544143,R GEN HUMBERTO DELGADO,47,4745-595,SÃO ROMÃO CORONADO,-8.562470153161499,41.28942026819731
pt.ine.add.PTCONT.3544167,R ANDRE RESENDE,274,4785-189,TROFA,-8.534582838508951,41.339988957202955
pt.ine.add.PTCONT.3544168,R MARQUES POMBAL,261,4785-173,TROFA,-8.536245527018439,41.33838042000892
pt.ine.add.PTCONT.3544169,R BOM PASTOR,7,4785-103,TROFA,-8.533612697006395,41.33374350640559
pt.ine.add.PTCONT.3544170,R URBANIZACAO BARCA,7,4785-336,TROFA,-8.564649466839828,41.342932529303155
pt.ine.add.PTCONT.3544171,R URBANIZACAO BARCA,7,4785-336,TROFA,-8.564649466839828,41.342932529303155
pt.ine.add.PTCONT.3544172,R URBANIZACAO BARCA,7,4785-336,TROFA,-8.564649466839828,41.342932529303155
pt.ine.add.PTCONT.3544173,R URBANIZACAO BARCA,7,4785-336,TROFA,-8.564649466839828,41.342932529303155
pt.ine.add.PTCONT.3544174,R URBANIZACAO BARCA,7,4785-336,TROFA,-8.564649466839828,41.342932529303155
pt.ine.add.PTCONT.3544175,R URBANIZACAO BARCA,7,4785-336,TROFA,-8.564649466839828,41.342932529303155
pt.ine.add.PTCONT.3544176,R JORNAL DA TROFA URB DA TROFA,7,4785-328,TROFA,-8.564649466839828,41.342932529303155
pt.ine.add.PTCONT.3544177,R URBANIZACAO BARCA,7,4785-336,TROFA,-8.564649466839828,41.342932529303155
pt.ine.add.PTCONT.3544178,R TEIXEIRA LOPES,160,4785-183,TROFA,-8.543395221009597,41.34305528037581
pt.ine.add.PTCONT.3544179,R PADRE AUGUSTO LAGOA,263,4745-564,SÃO ROMÃO CORONADO,-8.556976233219867,41.28350689022288
pt.ine.add.PTCONT.3544180,R CANCELA AREIAS,196,4745-539,SÃO ROMÃO CORONADO,-8.565755057422805,41.28610344623182
pt.ine.add.PTCONT.3544181,R PINHEIRO MANSO,23,4745-622,SÃO ROMÃO CORONADO,-8.562279680272828,41.284036494971566
pt.ine.add.PTCONT.3544215,R MARTIM MONIZ,39,4785-175,TROFA,-8.541588881948226,41.338874812328285
pt.ine.add.PTCONT.3544216,R DR ADRIANO FERNANDES AZEVEDO,,4785-312,TROFA,-8.557368501052423,41.338511588857635
pt.ine.add.PTCONT.3544217,R SEIXAL,,4745-589,SÃO ROMÃO CORONADO,-8.555986176251592,41.27991787070104
pt.ine.add.PTCONT.3544218,R LOUSADO,,4745-585,SÃO ROMÃO CORONADO,-8.558651221691871,41.28225813689984
pt.ine.add.PTCONT.3544219,R HORIZONTE,876,4745-532,SÃO ROMÃO CORONADO,-8.547335072653913,41.27656375579222
pt.ine.add.PTCONT.3544255,R D MANUEL I,35,4785-239,TROFA,-8.537879371702983,41.33212585350375
pt.ine.add.PTCONT.3544256,TV CARVOEIRAS,209,4745-511,SÃO ROMÃO CORONADO,-8.541019082020762,41.27623514492529
pt.ine.add.PTCONT.3544304,R ALFREDO COSTA PENICHE,154,4785-280,TROFA,-8.552253143915083,41.338188176543994
pt.ine.add.PTCONT.3544334,R COSTA,,4785-050,COVELAS TRF,-8.537704838698502,41.2961820447408
pt.ine.add.PTCONT.3544335,R RINDO,1250,4785-067,COVELAS TRF,-8.557693070306438,41.294651386389646
pt.ine.add.PTCONT.3544336,R CANCELA VERMELHA,1069,4785-011,COVELAS TRF,-8.5495385205764,41.28709968100042
pt.ine.add.PTCONT.3544337,TV VISO,405,4745-260,GUIDÕES,-8.623168624073204,41.32529336675525
pt.ine.add.PTCONT.3544376,AV S GENS,1450,4745-030,ALVARELHOS TRF,-8.594956748022879,41.31359665137265
pt.ine.add.PTCONT.3544377,R SENHORA DA ALEGRIA,256,4745-033,ALVARELHOS TRF,-8.596844928053786,41.31377814605897
pt.ine.add.PTCONT.3544378,R FERNANDO PESSOA,219,4745-264,GUIDÕES,-8.61516931336376,41.31766466655079
pt.ine.add.PTCONT.3544379,R JOAQUIM FRANCO FERREIRA LOPES,144,4745-224,GUIDÕES,-8.622394009033801,41.32074059444779
pt.ine.add.PTCONT.3544380,R CERRO,401,4745-219,GUIDÕES,-8.6240200050815,41.31618660396714
pt.ine.add.PTCONT.3544381,AV S GENS,324,4745-334,MURO,-8.590718689856434,41.30697754761923
pt.ine.add.PTCONT.3544409,R LIBERDADE,564,4745-065,ALVARELHOS TRF,-8.616229991762637,41.310889135423444
pt.ine.add.PTCONT.3544410,R CENTRAL DE CIDOI,558,4745-058,ALVARELHOS TRF,-8.62249453676418,41.311826111086226
pt.ine.add.PTCONT.3544411,R PARADELO,89,4745-105,ALVARELHOS TRF,-8.602019730834245,41.30763438746636
pt.ine.add.PTCONT.3544412,R MANUEL SILVA PINHEIRO,399,4785-333,TROFA,-8.561566340028026,41.3373705291284
pt.ine.add.PTCONT.3544413,R MANUEL SILVA PINHEIRO,399,4785-333,TROFA,-8.561566340028026,41.3373705291284
pt.ine.add.PTCONT.3544414,R JULIO DINIS,587,4785-330,TROFA,-8.56705554239909,41.338223358913105
pt.ine.add.PTCONT.3544415,R JULIO DINIS,587,4785-330,TROFA,-8.56705554239909,41.338223358913105
pt.ine.add.PTCONT.3544416,R VENDA VELHA,173,4745-337,MURO,-8.591832937685176,41.30410079869605
pt.ine.add.PTCONT.3544417,R CENTRAL DE GUEIDAOS,1257,4745-314,MURO,-8.589846084189523,41.29829203384919
pt.ine.add.PTCONT.3544418,R JOSE MOURA COUTINHO,3363,4745-345,MURO,-8.59709045618524,41.29787588495552
pt.ine.add.PTCONT.3544436,R CRUZEIRO,415,4745-037,ALVARELHOS TRF,-8.60805182380396,41.31116628056622
pt.ine.add.PTCONT.3544437,R 25 DE ABRIL,171,4745-109,ALVARELHOS TRF,-8.608550396265354,41.309111285499746
pt.ine.add.PTCONT.3544438,R CALEIRAS,159,4745-080,ALVARELHOS TRF,-8.613591685366684,41.30449825493402
pt.ine.add.PTCONT.3544439,R AGRICULTOR,364,4785-572,TROFA,-8.56964042557545,41.342454500071504
pt.ine.add.PTCONT.3544440,R JULIO DINIS,207,4785-330,TROFA,-8.562211210457065,41.33733211040231
pt.ine.add.PTCONT.3544441,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544442,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544443,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544444,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544445,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544446,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544447,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544448,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544475,R NSA SRA DESTERRO,363,4785-523,TROFA,-8.597119743919686,41.342419026137065
pt.ine.add.PTCONT.3544476,R SANTO ISIDRO,247,4785-676,TROFA,-8.599403608268632,41.33598089319563
pt.ine.add.PTCONT.3544477,R JOSE PADRAO DIAS MOREIRA,143,4785-668,TROFA,-8.594794824639445,41.336341627545956
pt.ine.add.PTCONT.3544528,R CIMONTE,92,4785-548,TROFA,-8.588201477604338,41.32792206169617
pt.ine.add.PTCONT.3544568,R CARVALHINHOS,,4785-701,TROFA,-8.569414812757433,41.333712401934136
pt.ine.add.PTCONT.3544569,R NSA SRA ROSARIO,138,4785-226,TROFA,-8.568832777293801,41.332418019361484
pt.ine.add.PTCONT.3544570,R SANTIAGO,839,4785-597,TROFA,-8.581949377623472,41.33069285756651
pt.ine.add.PTCONT.3544571,R ATLÉTICO CLUBE BOUGADENSE,207,4785-703,TROFA,-8.571910662418166,41.32468082028249
pt.ine.add.PTCONT.3544572,R CASTELO,106,4785-130,TROFA,-8.56032445183446,41.331972698474374
pt.ine.add.PTCONT.3544573,R CASTELO,106,4785-130,TROFA,-8.56032445183446,41.331972698474374
pt.ine.add.PTCONT.3544574,R CASTELO,115,4785-130,TROFA,-8.560489981418357,41.33171096554598
pt.ine.add.PTCONT.3544611,TV REBELO DA SILVA,35,4785-396,TROFA,-8.55158337974895,41.33247302370998
pt.ine.add.PTCONT.3544612,R SERPA PINTO,82,4785-399,TROFA,-8.550713094846305,41.32713676074839
pt.ine.add.PTCONT.3544613,R MOSTEIRO BENEDITINO,25,4785-217,TROFA,-8.551181868419787,41.32759426765098
pt.ine.add.PTCONT.3544614,R S BARBARA,42,4785-221,TROFA,-8.555116282285658,41.32644539409773
pt.ine.add.PTCONT.3544736,R D SOEIRO MENDES DA MAIA,355,4785-159,TROFA,-8.514355788268864,41.34401052468681
pt.ine.add.PTCONT.3544737,R REGO TELHA,520,4745-502,SÃO MAMEDE CORONADO,-8.574617603154605,41.26559431982595
pt.ine.add.PTCONT.3544741,R LEMENDE,202,4785-022,COVELAS TRF,-8.544969274072464,41.31411951641548
pt.ine.add.PTCONT.3544781,URB DA BARCA,237,4785-336,TROFA,-8.563691951968854,41.342674997653845
pt.ine.add.PTCONT.3544782,R MUNICIPIO,100,4745-598,SÃO ROMÃO CORONADO,-8.562251676026696,41.28887182974515
pt.ine.add.PTCONT.3544797,R JARRETES,208,4785-566,TROFA,-8.56576331730151,41.33251063521391
pt.ine.add.PTCONT.3544807,R S JOÃO,136,4745-073,ALVARELHOS TRF,-8.617152863621989,41.3129562023957
pt.ine.add.PTCONT.3544824,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544825,R IGREJA,801,4745-321,MURO,-8.59753265640671,41.29516457745917
pt.ine.add.PTCONT.3544924,R POETA NICOLAU TOLENTINO,,4785-351,TROFA,-8.561815109958845,41.33522663276678
pt.ine.add.PTCONT.3544925,R JOSE MOURA COUTINHO,4391,4745-344,MURO,-8.600022841335521,41.2943969916996
pt.ine.add.PTCONT.3544950,R S SEBASTIÃO,357,4785-258,TROFA,-8.544556902740654,41.332102176565584
