id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5287104,R DE S JOSÉ,,5430-011,ÁGUA REVÊS E CRASTO,-7.342228025852389,41.55778221486361
pt.ine.add.PTCONT.5287105,R DE CIMA,2,5445-012,ARGERIZ,-7.358971217685179,41.566053470234934
pt.ine.add.PTCONT.5287106,R DO LOMBO,4,5430-031,BARREIROS VLP,-7.230115184031438,41.68488752979641
pt.ine.add.PTCONT.5287107,R DA BANDEIRA,2,5430-047,BOUÇOÃES,-7.210061906404183,41.76349863814265
pt.ine.add.PTCONT.5287108,R DO TRINTÁRIO,14,5430-042,BOUÇOÃES,-7.210099051860653,41.74076555233862
pt.ine.add.PTCONT.5287109,AV ENG FRANCISCO BATISTA TAVARES,4,5430-042,BOUÇOÃES,-7.206269402175207,41.74208522364529
pt.ine.add.PTCONT.5287110,AV COSTA GOMES,52 A,5430-075,ERVÕES,-7.3485096918961625,41.676537267670625
pt.ine.add.PTCONT.5287111,ESTRADA MUNICIPAL,7,5430-076,ERVÕES,-7.380742607305754,41.634211189577826
pt.ine.add.PTCONT.5287112,R ENG FRANCISCO BATISTA TAVARES,45,5430-167,LEBUÇÃO,-7.258192123235531,41.75605136830592
pt.ine.add.PTCONT.5287113,R CENTRAL,,5445-043,PADRELA E TÁZEM,-7.491295857214906,41.56911916272936
pt.ine.add.PTCONT.5287114,R CENTRAL,,5445-043,PADRELA E TÁZEM,-7.493706099365842,41.56907856930567
pt.ine.add.PTCONT.5287115,R DA BOAVISTA,65,5445-045,PADRELA E TÁZEM,-7.49056752331334,41.551873033776936
pt.ine.add.PTCONT.5287116,BR DA FONTE,9,5430-191,POSSACOS,-7.274117547816717,41.615663851470195
pt.ine.add.PTCONT.5287117,R DA IGREJA,4,5430-191,POSSACOS,-7.274049887773638,41.61352950454969
pt.ine.add.PTCONT.5287118,EN 206,69,5430-191,POSSACOS,-7.277441586908238,41.61470725523528
pt.ine.add.PTCONT.5287119,R DO SANTO,,5445-067,SANTIAGO RIBEIRA ALHARIZ,-7.398430861062583,41.63329919830725
pt.ine.add.PTCONT.5287120,R DIREITA,,5445-073,SANTIAGO RIBEIRA ALHARIZ,-7.420502657421808,41.626604443176866
pt.ine.add.PTCONT.5287121,R DA IGREJA,,5445-071,SANTIAGO RIBEIRA ALHARIZ,-7.401554250066722,41.61497884972547
pt.ine.add.PTCONT.5287122,R DO CRUZEIRO,,5445-064,SANTIAGO RIBEIRA ALHARIZ,-7.4089620942023755,41.60914640901229
pt.ine.add.PTCONT.5287123,R DA PONTE,,5430-293,TINHELA,-7.305877498593843,41.72526196918661
pt.ine.add.PTCONT.5287124,LG DO TERREIRO,,5430-404,VALPAÇOS,-7.295817215911679,41.62991449823161
pt.ine.add.PTCONT.5287125,R DO ESTÁDIO DA CRUZ,,5430-461,VALPAÇOS,-7.310650294395372,41.611933454275814
pt.ine.add.PTCONT.5287126,R DA LAGE,12,5430-404,VALPAÇOS,-7.295407257372162,41.63006457137302
pt.ine.add.PTCONT.5287164,R DAS HORTAS,,5430-008,ÁGUA REVÊS E CRASTO,-7.320789681036627,41.54289376310445
pt.ine.add.PTCONT.5287165,R DAS LADEIRAS,7,5430-022,ALVARELHOS VLP,-7.33985910200186,41.70521689834825
pt.ine.add.PTCONT.5287166,R CENTRAL,6,5430-022,ALVARELHOS VLP,-7.339574036824763,41.70201871241313
pt.ine.add.PTCONT.5287167,BR DE ALÉM,13,5445-013,ARGERIZ,-7.403897305647567,41.59868822451243
pt.ine.add.PTCONT.5287168,BR DE S JOÃO,4,5445-011,ARGERIZ,-7.387927403098589,41.58869084939812
pt.ine.add.PTCONT.5287169,R DE NSA SRA DO PRANTO,8,5445-011,ARGERIZ,-7.384143644393023,41.58713564691621
pt.ine.add.PTCONT.5287170,R DA ESCOLA,,5445-014,ARGERIZ,-7.402612734625104,41.583896126199065
pt.ine.add.PTCONT.5287171,R DA ESCOLA,2,5445-014,ARGERIZ,-7.402116012993308,41.58328072216898
pt.ine.add.PTCONT.5287172,R DO ATALHO,97,5430-052,CANAVESES,-7.3645760804607034,41.50378548716453
pt.ine.add.PTCONT.5287173,R DAS CARREIAS,,5445-101,CARRAZEDO DE MONTENEGRO,-7.426886442976074,41.582616213530244
pt.ine.add.PTCONT.5287174,BR DA CAPELA,,5445-101,CARRAZEDO DE MONTENEGRO,-7.421270832794331,41.5829327241236
pt.ine.add.PTCONT.5287175,R DE STO ANTÓNIO,30,5445-109,CARRAZEDO DE MONTENEGRO,-7.411044656268128,41.562223584414994
pt.ine.add.PTCONT.5287176,R DE STO ANTÓNIO,60,5445-109,CARRAZEDO DE MONTENEGRO,-7.411711687407322,41.56045404872092
pt.ine.add.PTCONT.5287177,R DR FRANCISCO SÁ CARNEIRO,104,5445-160,CARRAZEDO DE MONTENEGRO,-7.43500911341204,41.5632899537664
pt.ine.add.PTCONT.5287178,R DO SOUTO,14,5430-100,FORNOS DO PINHAL,-7.264074127943214,41.65149439302419
pt.ine.add.PTCONT.5287179,R DE S ROQUE,,5430-127,FRIÕES,-7.39653061588468,41.68317551143186
pt.ine.add.PTCONT.5287180,R DE S TOMÉ,,5430-122,FRIÕES,-7.3976642637066385,41.66588706807833
pt.ine.add.PTCONT.5287181,BC DA ALEGRIA,,5430-122,FRIÕES,-7.398180507195027,41.66483696033924
pt.ine.add.PTCONT.5287182,TV DO ESCALÃO,,5430-122,FRIÕES,-7.397911764051122,41.6652403992814
pt.ine.add.PTCONT.5287183,R MANUEL JOSÉ VIEIRA,12,5430-191,POSSACOS,-7.273383281215296,41.61403772347449
pt.ine.add.PTCONT.5287184,R DAS ROSEIRAS,2,5430-191,POSSACOS,-7.275722013032121,41.61319084962581
pt.ine.add.PTCONT.5287185,R DAS ROSEIRAS,3,5430-191,POSSACOS,-7.275747555218881,41.61307399394415
pt.ine.add.PTCONT.5287186,R DO CRUZEIRO,5,5430-191,POSSACOS,-7.274399091755078,41.61343307454881
pt.ine.add.PTCONT.5287187,R DA IGREJA,21,5430-191,POSSACOS,-7.2739447890893425,41.613312633861305
pt.ine.add.PTCONT.5287188,BR DA ESTRADA,3,5445-082,SÃO JOÃO DA CORVEIRA,-7.445657018737774,41.5868086289088
pt.ine.add.PTCONT.5287189,R DO CALÇÃO,2,5430-493,VALPAÇOS,-7.274250093269667,41.59391222886776
pt.ine.add.PTCONT.5287190,R D MARIA DO CARMO CARMONA,244,5430-469,VALPAÇOS,-7.314252724965738,41.630641538976874
pt.ine.add.PTCONT.5287191,R DR JÚLIO DO CARVALHAL,15,5430-481,VALPAÇOS,-7.309926913989471,41.610325641977674
pt.ine.add.PTCONT.5287192,R DR JÚLIO DO CARVALHAL,15,5430-481,VALPAÇOS,-7.309926913989471,41.610325641977674
pt.ine.add.PTCONT.5287193,AV ENG LUIS DE CASTRO SARAIVA,,5430-472,VALPAÇOS,-7.3098178546510315,41.608524147438494
pt.ine.add.PTCONT.5287194,AV ENG LUIS DE CASTRO SARAIVA,,5430-472,VALPAÇOS,-7.3098178546510315,41.608524147438494
pt.ine.add.PTCONT.5287195,AV ENG LUIS DE CASTRO SARAIVA,,5430-472,VALPAÇOS,-7.3098178546510315,41.608524147438494
pt.ine.add.PTCONT.5287196,AV ENG LUIS DE CASTRO SARAIVA,,5430-472,VALPAÇOS,-7.3098178546510315,41.608524147438494
pt.ine.add.PTCONT.5287197,AV ENG LUIS DE CASTRO SARAIVA,,5430-472,VALPAÇOS,-7.3098178546510315,41.608524147438494
pt.ine.add.PTCONT.5287198,R DE PÊRO GALEGO,19,5430-424,VALPAÇOS,-7.304258696526877,41.600462015979204
pt.ine.add.PTCONT.5287199,TV DO SARDÃO,,5430-424,VALPAÇOS,-7.305042870182937,41.59448028314104
pt.ine.add.PTCONT.5287200,R 3,12,5430-424,VALPAÇOS,-7.304202114104466,41.603945992426766
pt.ine.add.PTCONT.5287201,R MÁRIO GAVAIA DA CRUZ COUTINHO,45,5430-424,VALPAÇOS,-7.304778658146349,41.60388712305762
pt.ine.add.PTCONT.5287202,TV DA R DIREITA,,5430-603,VASSAL,-7.355423077185715,41.61697193686187
pt.ine.add.PTCONT.5287203,TV DO CRUZEIRO,,5430-603,VASSAL,-7.355769376870959,41.61511054019203
pt.ine.add.PTCONT.5287204,ALTO DA COTOVIA,,5430-601,VASSAL,-7.332437412515771,41.60802665428195
pt.ine.add.PTCONT.5287225,R DA TORRE,12,5445-165,CARRAZEDO DE MONTENEGRO,-7.427985688018615,41.56313905316305
pt.ine.add.PTCONT.5287226,,,5445-032,CURROS VLP,-7.460138841881034,41.50871517966712
pt.ine.add.PTCONT.5287227,,,5445-032,CURROS VLP,-7.458891773017203,41.507690450638705
pt.ine.add.PTCONT.5287228,,,5445-032,CURROS VLP,-7.459976393657621,41.50589605118012
pt.ine.add.PTCONT.5287229,R CABO,3,5445-032,CURROS VLP,-7.460098822969414,41.50448317637329
pt.ine.add.PTCONT.5287230,R DA FONTE DE BAIXO,,5430-121,FRIÕES,-7.398611158669256,41.649128576183664
pt.ine.add.PTCONT.5287231,R ENG FRANCISCO TAVARES,,5430-168,LEBUÇÃO,-7.266227939467207,41.773632736310695
pt.ine.add.PTCONT.5287232,R DOS SOUTOS,45,5430-164,LEBUÇÃO,-7.257078226492212,41.75750141924638
pt.ine.add.PTCONT.5287233,R DO OUTEIRO,15,5430-164,LEBUÇÃO,-7.257709659146133,41.757047062537396
pt.ine.add.PTCONT.5287234,R DA PIPA,11,5445-052,SANTA MARIA DE EMERES,-7.382531656108595,41.54406065611035
pt.ine.add.PTCONT.5287235,R DA MADALENA,25,5430-234,SANTA VALHA,-7.268324611047186,41.684623193330665
pt.ine.add.PTCONT.5287236,ESTR DE GORGOÇO,,5430-233,SANTA VALHA,-7.257756504450731,41.676557128274936
pt.ine.add.PTCONT.5287237,R DA EIRA PEDRINHA,4,5445-095,SERAPICOS VLP,-7.4379751952967395,41.61536691737881
pt.ine.add.PTCONT.5287238,EN 314,17,5445-095,SERAPICOS VLP,-7.437346706873472,41.61356239690369
pt.ine.add.PTCONT.5287239,R DA IGREJA,,5445-095,SERAPICOS VLP,-7.439991139896399,41.611975731492386
pt.ine.add.PTCONT.5287240,R DA VEIGA,,5430-293,TINHELA,-7.306003806110304,41.726658403467255
pt.ine.add.PTCONT.5287241,R DA FONTE,,5430-293,TINHELA,-7.305393233257622,41.72553758683902
pt.ine.add.PTCONT.5287242,R SOTTO MAYOR,25,5430-503,VALPAÇOS,-7.3165951156977425,41.60953586604117
pt.ine.add.PTCONT.5287243,R DE MOÇAMBIQUE,3,5430-403,VALPAÇOS,-7.318524371509682,41.60971161707111
pt.ine.add.PTCONT.5287244,R SOTTO MAYOR,6,5430-503,VALPAÇOS,-7.316261637879002,41.60649028975155
pt.ine.add.PTCONT.5287245,LG AMOREIRAS,7,5430-441,VALPAÇOS,-7.309810484000624,41.606273201948134
pt.ine.add.PTCONT.5287246,AV DE NSA SRA DA ENCARNAÇÃO,,5430-603,VASSAL,-7.353543472550253,41.60965730783172
pt.ine.add.PTCONT.5287247,R DAS ALMAS,16,5430-620,VEIGA DE LILA,-7.323481552122861,41.52212322802433
pt.ine.add.PTCONT.5287248,R DAS ALMAS,44,5430-620,VEIGA DE LILA,-7.321397917131202,41.52012772425156
pt.ine.add.PTCONT.5287249,TV DA PORTELA,,5430-650,VILARANDELO,-7.3254015922749565,41.66521287590579
pt.ine.add.PTCONT.5287250,R DOS EMIGRANTES,,5430-660,VILARANDELO,-7.327264314150284,41.665081895618265
pt.ine.add.PTCONT.5287294,AV ENG LUIS DE CASTRO SARAIVA,16,5430-472,VALPAÇOS,-7.309378949219528,41.608133849833095
pt.ine.add.PTCONT.5287295,R DR JÚLIO DO CARVALHAL,15,5430-481,VALPAÇOS,-7.309926913989471,41.610325641977674
pt.ine.add.PTCONT.5287296,R DR JÚLIO DO CARVALHAL,15,5430-481,VALPAÇOS,-7.309926913989471,41.610325641977674
pt.ine.add.PTCONT.5287297,R DR JÚLIO DO CARVALHAL,15,5430-481,VALPAÇOS,-7.309926913989471,41.610325641977674
pt.ine.add.PTCONT.5287298,R DR JÚLIO DO CARVALHAL,15,5430-481,VALPAÇOS,-7.309926913989471,41.610325641977674
pt.ine.add.PTCONT.5287299,R DR JÚLIO DO CARVALHAL,15,5430-481,VALPAÇOS,-7.309926913989471,41.610325641977674
pt.ine.add.PTCONT.5287300,R DOS HERÓIS DO ULTRAMAR,24,5430-476,VALPAÇOS,-7.310427946970293,41.605827443692455
pt.ine.add.PTCONT.5287301,R DOS HERÓIS DO ULTRAMAR,24,5430-476,VALPAÇOS,-7.310427946970293,41.605827443692455
pt.ine.add.PTCONT.5287302,BC DAS HORTAS,4,5430-643,VILARANDELO,-7.321315551838839,41.66263610113943
pt.ine.add.PTCONT.5287303,R D AMÉLIA CASTELO,4,5430-659,VILARANDELO,-7.320770584341471,41.65632080167338
pt.ine.add.PTCONT.5287417,R DA ESTRADA,,5445-069,SANTIAGO RIBEIRA ALHARIZ,-7.3938785440710815,41.60317105891484
pt.ine.add.PTCONT.5287420,AV ENG LUIS DE CASTRO SARAIVA,,5430-472,VALPAÇOS,-7.3098178546510315,41.608524147438494
pt.ine.add.PTCONT.5287426,R ENG FRANCISCO BATISTA TAVARES,13,5430-620,VEIGA DE LILA,-7.325052421488706,41.52393501764247
pt.ine.add.PTCONT.5287434,R D AMÉLIA CASTELO,,5430-659,VILARANDELO,-7.320303686813312,41.66099031457555
pt.ine.add.PTCONT.5287463,R DAS ADEGAS,,5430-011,ÁGUA REVÊS E CRASTO,-7.3516379482044885,41.55479431278138
pt.ine.add.PTCONT.5287470,R DO POMBAL,10,5430-167,LEBUÇÃO,-7.258178183855187,41.75707764146886
pt.ine.add.PTCONT.5287485,EN 213,,5430-120,FRIÕES,-7.374844362455689,41.69097553013279
pt.ine.add.PTCONT.5287499,R PRINCIPAL,4,5445-102,CARRAZEDO DE MONTENEGRO,-7.393966581165041,41.57127178632959
pt.ine.add.PTCONT.5287543,R FRANCISCO MORAIS,31,5430-090,FIÃES VLP,-7.259835065986264,41.73774206570947
pt.ine.add.PTCONT.5287548,R DA CERCA,2,5445-014,ARGERIZ,-7.401976907611555,41.58498152379422
pt.ine.add.PTCONT.5287549,R DO TANQUE,1,5445-014,ARGERIZ,-7.402638644805383,41.583725221832225
pt.ine.add.PTCONT.5287557,R DE STO ANTÓNIO,39,5445-109,CARRAZEDO DE MONTENEGRO,-7.41192782501874,41.56149983011657
pt.ine.add.PTCONT.5287558,R DA ALEGRIA,7,5430-158,LEBUÇÃO,-7.260949782873809,41.756630541794166
pt.ine.add.PTCONT.5287570,R DA FONTE,29,5430-053,CANAVESES,-7.361847351718048,41.519757848460834
pt.ine.add.PTCONT.5287585,R DO CANTO,10,5445-012,ARGERIZ,-7.363595692440835,41.566318608039616
