id,street,house,postcode,city,lon,lat
pt.ine.add.AC26.407,,,9800-151,NORTE GRANDE (NEVES),-28.057777156169497,38.66834239309298
pt.ine.add.AC26.393,CAN PENITENCIA,1,9800-030,MANADAS,-28.102007267768357,38.63453727930104
pt.ine.add.AC26.394,CAN PENITENCIA,4,9800-030,MANADAS,-28.101801873180225,38.63462932948099
pt.ine.add.AC26.395,CAM IGREJA,3,9800-024,MANADAS,-28.09383363961608,38.633460511174334
pt.ine.add.AC26.396,CAM BAIXO,12,9800-026,MANADAS,-28.099750418245243,38.633459107868454
pt.ine.add.AC26.397,CAM BAIXO,,9800-026,MANADAS,-28.10034260598115,38.63386807081025
pt.ine.add.AC26.398,CAM BAIXO,16,9800-026,MANADAS,-28.100828244026555,38.63407076766883
pt.ine.add.AC26.399,CAM BAIXO,18,9800-026,MANADAS,-28.101578508760813,38.63429800559595
pt.ine.add.AC26.400,CAM BAIXO,26,9800-026,MANADAS,-28.10240850013649,38.634479429637786
pt.ine.add.AC26.401,CAM BAIXO,,9800-026,MANADAS,-28.102901493118576,38.63441170198646
pt.ine.add.AC26.402,CAM BAIXO,,9800-026,MANADAS,-28.103003084738937,38.63429359399823
pt.ine.add.AC26.403,CAM BAIXO,11A,9800-026,MANADAS,-28.101390711564488,38.63403843881984
pt.ine.add.AC26.404,CAM BAIXO,11,9800-026,MANADAS,-28.1001509579903,38.633356214703454
pt.ine.add.AC26.405,CAM PORTO DAS MANADAS,3,9800-036,MANADAS,-28.098802066089576,38.63229651701847
pt.ine.add.AC26.406,CAM BAIXO,1,9800-026,MANADAS,-28.095023602687338,38.631629043863185
pt.ine.add.AC26.408,,,9800-151,NORTE GRANDE (NEVES),-28.056299801678477,38.667148200210356
pt.ine.add.AC26.409,ESTR REGIONAL,,9800-151,NORTE GRANDE (NEVES),-28.057417995164588,38.66893139034838
pt.ine.add.AC26.410,,,9800-151,NORTE GRANDE (NEVES),-28.05726354880604,38.668590348518904
pt.ine.add.AC26.411,,,9800-151,NORTE GRANDE (NEVES),-28.05821128459187,38.66894223833575
pt.ine.add.AC26.412,ESTR REGIONAL,,9800-132,NORTE GRANDE (NEVES),-28.053981023766543,38.66657435827752
pt.ine.add.AC26.413,R IGREJA,,9800-152,NORTE GRANDE (NEVES),-28.033786880390817,38.66106831012664
pt.ine.add.AC26.414,CAN FONTE,,9800-152,NORTE GRANDE (NEVES),-28.03017711648704,38.66181207301598
pt.ine.add.AC26.415,CAN IGREJA,,9800-152,NORTE GRANDE (NEVES),-28.03304132846559,38.66117402456408
pt.ine.add.AC26.416,CAN FONTE,,9800-152,NORTE GRANDE (NEVES),-28.029187148938473,38.66009958053188
pt.ine.add.AC26.417,R FONTE,,9800-152,NORTE GRANDE (NEVES),-28.02922678321648,38.66045969417598
pt.ine.add.AC26.418,CAN FONTE,,9800-152,NORTE GRANDE (NEVES),-28.029253623475622,38.66153183351011
pt.ine.add.AC26.419,,,9800-152,NORTE GRANDE (NEVES),-28.029552554573495,38.660736185393496
pt.ine.add.AC26.420,R MACIEIRAS,,9800-152,NORTE GRANDE (NEVES),-28.028984051947702,38.659560673807036
pt.ine.add.AC26.421,,,9800-152,NORTE GRANDE (NEVES),-28.038829585305418,38.661663450785326
pt.ine.add.AC26.422,,,9800-152,NORTE GRANDE (NEVES),-28.03633782888248,38.66102771218368
pt.ine.add.AC26.423,CAM BAIXO,,9800-222,ROSAIS,-28.245220913246623,38.71431115968049
pt.ine.add.AC26.424,CAM BAIXO,28,9800-222,ROSAIS,-28.242510903467604,38.71456527668549
pt.ine.add.AC26.425,CAM BAIXO,26,9800-222,ROSAIS,-28.242411730892403,38.71415180934391
pt.ine.add.AC26.426,CAM BAIXO,4O,9800-222,ROSAIS,-28.245903063520814,38.71517799090079
pt.ine.add.AC26.427,CAM BAIXO,,9800-222,ROSAIS,-28.246446524867967,38.71534341310615
pt.ine.add.AC26.428,CAM BAIXO,46,9800-222,ROSAIS,-28.246585543488177,38.71606283705678
pt.ine.add.AC26.429,CAM BAIXO,50,9800-222,ROSAIS,-28.246587808885014,38.7155311445638
pt.ine.add.AC26.430,CAM BAIXO,54 A,9800-222,ROSAIS,-28.24809578863853,38.71626299521484
pt.ine.add.AC26.431,CAM BAIXO,56,9800-222,ROSAIS,-28.248177698467913,38.716343222644966
