id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1367805,ESTR CANHA,20,7080-318,VENDAS NOVAS,-8.4824880089143,38.68566922899301
pt.ine.add.PTCONT.1367806,ESTR CANHA,20,7080-318,VENDAS NOVAS,-8.4824880089143,38.68566922899301
pt.ine.add.PTCONT.1367807,R GEN HUMBERTO DELGADO,76,7080-168,VENDAS NOVAS,-8.46121645280838,38.67936852023283
pt.ine.add.PTCONT.1367808,R CAP CUSTÓDIO JANEIRO SANTANA,13,7080-078,VENDAS NOVAS,-8.459455754736563,38.67806077080015
pt.ine.add.PTCONT.1367809,R CAP CUSTÓDIO JANEIRO SANTANA,13,7080-078,VENDAS NOVAS,-8.459455754736563,38.67806077080015
pt.ine.add.PTCONT.1367810,R CAP CUSTÓDIO JANEIRO SANTANA,13,7080-078,VENDAS NOVAS,-8.459455754736563,38.67806077080015
pt.ine.add.PTCONT.1367811,R MANUEL COELHO OLIVEIRA,,7080-187,VENDAS NOVAS,-8.45995971165406,38.67769002656938
pt.ine.add.PTCONT.1367812,R MANUEL COELHO OLIVEIRA,,7080-187,VENDAS NOVAS,-8.45995971165406,38.67769002656938
pt.ine.add.PTCONT.1367813,R MANUEL COELHO OLIVEIRA,,7080-187,VENDAS NOVAS,-8.45995971165406,38.67769002656938
pt.ine.add.PTCONT.1367814,R MANUEL COELHO OLIVEIRA,,7080-187,VENDAS NOVAS,-8.45995971165406,38.67769002656938
pt.ine.add.PTCONT.1367815,R MANUEL COELHO OLIVEIRA,,7080-187,VENDAS NOVAS,-8.45995971165406,38.67769002656938
pt.ine.add.PTCONT.1367816,R HORACIO SOUSA ROCHA,71,7080-025,VENDAS NOVAS,-8.471389177177198,38.683972283627995
pt.ine.add.PTCONT.1367817,R FORÇAS ARMADAS,24,7080-342,VENDAS NOVAS,-8.584497388829439,38.65221485025934
pt.ine.add.PTCONT.1367818,R BERNARDINO MACHADO,,7080-040,VENDAS NOVAS,-8.473886078441081,38.679749192751466
pt.ine.add.PTCONT.1367833,R BOAVISTA,9,7080-063,VENDAS NOVAS,-8.467903824275588,38.680856464149635
pt.ine.add.PTCONT.1367834,AV MISERICÓRDIA,34,7080-068,VENDAS NOVAS,-8.469158857189267,38.67644784745633
pt.ine.add.PTCONT.1367835,FORO MANUEL BORJETA QUINTA,,7080-315,VENDAS NOVAS,-8.492626028418576,38.67896750145631
pt.ine.add.PTCONT.1367836,R ALMADA NEGREIROS,41 B,7080-056,VENDAS NOVAS,-8.475742026239605,38.67853666973764
pt.ine.add.PTCONT.1367837,AV DA MISERICÓRDIA,59 C,7080-068,VENDAS NOVAS,-8.468387351057162,38.673648504875494
pt.ine.add.PTCONT.1367838,AV MISERICÓRDIA,61,7080-068,VENDAS NOVAS,-8.468340210583973,38.673396409741734
pt.ine.add.PTCONT.1367839,AV 25 DE ABRIL,126,7080-137,VENDAS NOVAS,-8.46793053857412,38.67346050024716
pt.ine.add.PTCONT.1367840,AV 25 DE ABRIL,126,7080-137,VENDAS NOVAS,-8.46793053857412,38.67346050024716
pt.ine.add.PTCONT.1367841,ESTR AFEITEIRA,,7080-301,VENDAS NOVAS,-8.479518288804513,38.66566180310624
pt.ine.add.PTCONT.1368121,R BOMBEIROS VOLUNTARIOS,3,7080-091,VENDAS NOVAS,-8.456679146692323,38.67649204691339
pt.ine.add.PTCONT.1368122,R BOMBEIROS VOLUNTARIOS,3,7080-091,VENDAS NOVAS,-8.456679146692323,38.67649204691339
pt.ine.add.PTCONT.1368123,R BOMBEIROS VOLUNTARIOS,3,7080-091,VENDAS NOVAS,-8.456679146692323,38.67649204691339
pt.ine.add.PTCONT.1368124,R BOMBEIROS VOLUNTARIOS,3,7080-091,VENDAS NOVAS,-8.456679146692323,38.67649204691339
pt.ine.add.PTCONT.1368125,R BOMBEIROS VOLUNTARIOS,3,7080-091,VENDAS NOVAS,-8.456679146692323,38.67649204691339
pt.ine.add.PTCONT.1368126,PCT DADORES BENEVOLOS DE SANGUE DE VENDAS NOVAS,7,7080-086,VENDAS NOVAS,-8.456895131293379,38.67596897233784
pt.ine.add.PTCONT.1368127,PCT DADORES BENEVOLOS DE SANGUE DE VENDAS NOVAS,7,7080-086,VENDAS NOVAS,-8.456895131293379,38.67596897233784
pt.ine.add.PTCONT.1368128,PCT DADORES BENEVOLOS DE SANGUE DE VENDAS NOVAS,7,7080-086,VENDAS NOVAS,-8.456895131293379,38.67596897233784
pt.ine.add.PTCONT.1368129,PCT DADORES BENEVOLOS DE SANGUE DE VENDAS NOVAS,7,7080-086,VENDAS NOVAS,-8.456895131293379,38.67596897233784
pt.ine.add.PTCONT.1368130,PCT DADORES BENEVOLOS DE SANGUE DE VENDAS NOVAS,7,7080-086,VENDAS NOVAS,-8.456895131293379,38.67596897233784
pt.ine.add.PTCONT.1368172,R LUIS DE CAMÕES,8,7080-148,VENDAS NOVAS,-8.468154101698468,38.67537875187862
pt.ine.add.PTCONT.1368173,R AZINHEIRA,24,7080-150,VENDAS NOVAS,-8.464474960006186,38.67501088802062
pt.ine.add.PTCONT.1368174,AV 25 DE ABRIL,68,7080-137,VENDAS NOVAS,-8.461028960236654,38.67456175563698
