id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1367697,R 25 DE ABRIL,14,7090-406,AGUIAR VNT,-7.965527479623129,38.393728648070386
pt.ine.add.PTCONT.1368181,BC S PEDRO,5,7090-010,ALCÁÇOVAS,-8.15160944849284,38.39381746811079
pt.ine.add.PTCONT.1368182,R SEVILHANOS,34,7090-054,ALCÁÇOVAS,-8.153553007239882,38.39498474779421
pt.ine.add.PTCONT.1368183,TV ROSSIO,10,7090-294,VIANA DO ALENTEJO,-8.002972177067313,38.334931180139094
pt.ine.add.PTCONT.1368184,TV MESQUITA,18A,7090-290,VIANA DO ALENTEJO,-8.000423034693446,38.33388218431394
pt.ine.add.PTCONT.1368185,R CIDADE DE AGAR,35,7090-413,AGUIAR VNT,-7.965786296445366,38.39116826650728
pt.ine.add.PTCONT.1368201,R SILVERIO FRANCISCO SIM SIM,25,7090-064,ALCÁÇOVAS,-8.148366299579054,38.390892591441414
pt.ine.add.PTCONT.1368202,R DR JULIO PEREIRA GARRIDO,44,7090-057,ALCÁÇOVAS,-8.14707028131311,38.39060695215718
pt.ine.add.PTCONT.1368203,R DR JULIO PEREIRA GARRIDO,38,7090-057,ALCÁÇOVAS,-8.146822442950462,38.39028057209806
pt.ine.add.PTCONT.1368204,R ALCACOVAS,13,7090-036,ALCÁÇOVAS,-8.158645599887132,38.39228715010921
pt.ine.add.PTCONT.1368205,R JOSE DE SOUSA CABRAL,4,7090-275,VIANA DO ALENTEJO,-8.007409599769758,38.33512520439581
pt.ine.add.PTCONT.1368206,R MARIA JOANA CABRAL,9,7090-279,VIANA DO ALENTEJO,-8.00434669148847,38.33368891152467
pt.ine.add.PTCONT.1368207,,,7090-223,VIANA DO ALENTEJO,-8.079995157953777,38.33123469320578
pt.ine.add.PTCONT.1368208,ESTR PANTOJA,,7090-223,VIANA DO ALENTEJO,-8.03842573627388,38.34583874553467
pt.ine.add.PTCONT.1368209,R COMBATENTES DA GRANDE GUERRA,58,7090-266,VIANA DO ALENTEJO,-8.004670836768558,38.331483882932325
pt.ine.add.PTCONT.1368239,,,7090-298,VIANA DO ALENTEJO,-8.029545398910948,38.34025481439662
pt.ine.add.PTCONT.1368266,R NOVA,76,7090-063,ALCÁÇOVAS,-8.15397626495367,38.39527895908423
pt.ine.add.PTCONT.1368272,R DR JULIO PEREIRA GARRIDO,49,7090-057,ALCÁÇOVAS,-8.147347552715575,38.390775606597494
pt.ine.add.PTCONT.1368273,QTA DUQUE,,7090-223,VIANA DO ALENTEJO,-8.079995157953777,38.33123469320578
pt.ine.add.PTCONT.1368875,R NOVA,12,7090-063,ALCÁÇOVAS,-8.153264437239418,38.39349352292752
pt.ine.add.PTCONT.1368876,ESPORAO VIVENDA AMANTE,,7090-238,VIANA DO ALENTEJO,-8.003061845413624,38.34235450501
pt.ine.add.PTCONT.1368877,R S PEDRO,12,7090-251,VIANA DO ALENTEJO,-8.005838967235434,38.3304547149058
pt.ine.add.PTCONT.1368881,CAM NSA SRA DA ESPERANÇA,15,7090-019,ALCÁÇOVAS,-8.156957988915325,38.39447375692039
pt.ine.add.PTCONT.1368884,R C BR FRAGOSO,3,7090-012,ALCÁÇOVAS,-8.157066525213473,38.39395409112452
pt.ine.add.PTCONT.1368885,EN 257,60,7090-055,ALCÁÇOVAS,-8.143844750422625,38.389226484216785
