id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.455969,R BOAVISTA,9,7960-114,SELMES,-7.745383329020959,38.20070676039839
pt.ine.add.PTCONT.455971,R BOAVISTA,3,7960-035,PEDRÓGÃO VDG,-7.64885960169705,38.119583650052704
pt.ine.add.PTCONT.455990,R LUIS DE CAMÕES,17,7960-431,VILA DE FRADES,-7.8253503129761715,38.214547077725506
pt.ine.add.PTCONT.456006,R CALDEIREIROS,8,7960-271,VIDIGUEIRA,-7.800674945218872,38.2090661967378
pt.ine.add.PTCONT.456033,R 25 DE ABRIL,20,7960-028,PEDRÓGÃO VDG,-7.648815175713698,38.12064639228646
pt.ine.add.PTCONT.456102,R S BRAZ,36,7960-435,VILA DE FRADES,-7.826110361840274,38.21540503724062
pt.ine.add.PTCONT.456170,R POÇO ACIMA,34,7960-046,PEDRÓGÃO VDG,-7.65161025888676,38.11873895659021
pt.ine.add.PTCONT.456175,R MONTINHOS,14,7960-445,VILA DE FRADES,-7.823492481184849,38.21578581087243
pt.ine.add.PTCONT.456269,MTE SOBROSO,,7960-011,PEDRÓGÃO VDG,-7.592145419577864,38.18138982589479
pt.ine.add.PTCONT.456280,ESTR VILA DE FRADES,,7960-426,VILA DE FRADES,-7.810532140864447,38.214426881466096
pt.ine.add.PTCONT.456295,R CÂNDIDO DOS REIS,17,7960-230,VIDIGUEIRA,-7.800108555020994,38.21052062034022
pt.ine.add.PTCONT.456345,R 25 DE ABRIL,39,7960-228,VIDIGUEIRA,-7.800072053179776,38.21144788840732
pt.ine.add.PTCONT.456357,ESTR PORTEL,,7960-214,VIDIGUEIRA,-7.799910465669928,38.22496467893358
pt.ine.add.PTCONT.456358,R PARREIRAS,10,7960-169,SELMES,-7.7611983646192515,38.1437599125402
pt.ine.add.PTCONT.456361,R 25 DE ABRIL,1,7960-011,PEDRÓGÃO VDG,-7.653080995949178,38.1716333559596
pt.ine.add.PTCONT.456408,R 6 NOVEMBRO,8,7960-011,PEDRÓGÃO VDG,-7.6510758226765025,38.17202912104891
pt.ine.add.PTCONT.456451,R 25 DE ABRIL,3,7960-158,SELMES,-7.7594012978817535,38.14484309039386
pt.ine.add.PTCONT.456464,R 25 DE ABRIL,,7960-158,SELMES,-7.75975477775953,38.144482710152865
