id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.950743,EM 534,,6110-017,FUNDADA,-8.15487523014722,39.73220365913917
pt.ine.add.PTCONT.950744,R CARVALHAIS,,6110-016,FUNDADA,-8.143267449262591,39.72469373253047
pt.ine.add.PTCONT.950801,,,6110-102,VILA DE REI,-8.228771280601395,39.71406296375005
pt.ine.add.PTCONT.950856,TODOS OS SANTOS,,6110-181,VILA DE REI,-8.102057150680562,39.70383964428038
pt.ine.add.PTCONT.950857,R FRIA,,6110-160,VILA DE REI,-8.076142638102436,39.696336276975345
pt.ine.add.PTCONT.950858,R MONTE,,6110-124,VILA DE REI,-8.085467674505137,39.68247919339856
pt.ine.add.PTCONT.950859,R TRAS DO MURO,,6110-226,VILA DE REI,-8.145906151212943,39.676165557873766
pt.ine.add.PTCONT.950916,R PRINCIPAL,,6110-242,VILA DE REI,-8.125136602323332,39.670248582338225
pt.ine.add.PTCONT.950917,R CHARNECA,,6110-156,VILA DE REI,-8.202692227548603,39.6762985309604
pt.ine.add.PTCONT.950918,EN 348,,6110-106,VILA DE REI,-8.167563225949877,39.67822368662588
pt.ine.add.PTCONT.950950,R RAINHA STA ISABEL,,6110-144,VILA DE REI,-8.14357048633184,39.64599325719523
pt.ine.add.PTCONT.950951,TV CABEÇO,,6110-114,VILA DE REI,-8.164039578066987,39.64409819226965
pt.ine.add.PTCONT.950952,R MANUEL LUCAS MARTINS,,6110-137,VILA DE REI,-8.14092399594856,39.629772285556
pt.ine.add.PTCONT.950953,R BARREIRO,,6110-110,VILA DE REI,-8.087806975716754,39.652424717113384
pt.ine.add.PTCONT.951632,EM 534,,6110-016,FUNDADA,-8.150078442899753,39.72212604728769
pt.ine.add.PTCONT.951684,,,6110-168,VILA DE REI,-8.099286991617909,39.64584469653064
pt.ine.add.PTCONT.953742,,,6110-056,SÃO JOÃO DO PESO,-8.064761828860824,39.72165683885007
pt.ine.add.PTCONT.952632,R DEVESA,,6110-208,VILA DE REI,-8.146780217865045,39.67565207615654
pt.ine.add.PTCONT.952604,R LAMEIRA,3,6110-023,FUNDADA,-8.18164110268448,39.74126520993954
pt.ine.add.PTCONT.952607,R PRINCIPAL,6,6110-023,FUNDADA,-8.179893352740795,39.74456234266295
pt.ine.add.PTCONT.952608,R SERRO,4,6110-023,FUNDADA,-8.181584278296002,39.743417811020684
pt.ine.add.PTCONT.952609,R TRASEIRA,,6110-150,VILA DE REI,-8.113365592905943,39.71077724185203
pt.ine.add.PTCONT.952610,R PRINCIPAL,,6110-138,VILA DE REI,-8.127802876898167,39.70453718769043
