id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1468554,,,8650-281,RAPOSEIRA,-8.875163854036819,37.064820915990765
pt.ine.add.PTCONT.1471507,R FLORES,13,8650-292,RAPOSEIRA,-8.889954870165115,37.084604611185576
pt.ine.add.PTCONT.1466802,R LUIS DE CAMÕES,,8650-378,SAGRES,-8.944017837482113,37.01806516890362
pt.ine.add.PTCONT.1466803,R TONEL,,8650-376,SAGRES,-8.944880986212109,37.009418148449846
pt.ine.add.PTCONT.1466926,BR LIBERDADE,15,8650-350,SAGRES,-8.937889051643136,37.010159580565805
pt.ine.add.PTCONT.1466927,BR LIBERDADE,29,8650-350,SAGRES,-8.936954090582637,37.009931642355774
pt.ine.add.PTCONT.1466928,BR LIBERDADE,50,8650-350,SAGRES,-8.937749959080849,37.00975504840705
pt.ine.add.PTCONT.1466929,BC BELGICA,1,8650-351,SAGRES,-8.938983229218977,37.00844014897698
pt.ine.add.PTCONT.1466930,MARTINHAL,328,8650-343,SAGRES,-8.925626078470176,37.02483920749636
pt.ine.add.PTCONT.1467844,R LIBERDADE,33,8650-014,BARÃO DE SÃO MIGUEL,-8.795313497998459,37.1078412796643
pt.ine.add.PTCONT.1467845,QTA FURNAS,,8650-035,BARÃO DE SÃO MIGUEL,-8.78847202798067,37.095931359961625
pt.ine.add.PTCONT.1467846,QTA DAS FURNAS,,8650-035,BARÃO DE SÃO MIGUEL,-8.792441037753605,37.09833318588599
pt.ine.add.PTCONT.1467847,QTA FURNAS,,8650-035,BARÃO DE SÃO MIGUEL,-8.794557445352947,37.09593361380457
pt.ine.add.PTCONT.1467848,,,8650-029,BARÃO DE SÃO MIGUEL,-8.785529049052002,37.106904367193756
pt.ine.add.PTCONT.1467849,TV NSA SRA DA GRAÇA,,8650-346,SAGRES,-8.943192284399055,37.00804206086968
pt.ine.add.PTCONT.1468002,R AREIAS,,8650-224,BUDENS,-8.813089595111228,37.089052891064924
pt.ine.add.PTCONT.1468003,R NASCENTE,,8650-074,BUDENS,-8.830861600929863,37.08794949038595
pt.ine.add.PTCONT.1468004,R ALEGRIA,3,8650-062,BUDENS,-8.832110464570261,37.08677077003732
pt.ine.add.PTCONT.1468005,R CEMITÉRIO,8,8650-072,BUDENS,-8.829601519101617,37.0866774055514
pt.ine.add.PTCONT.1468006,R S GONÇALO DE LAGOS,10,8650-417,VILA DO BISPO,-8.90825624666799,37.08269331883132
pt.ine.add.PTCONT.1468007,R ESCADINHAS,22,8650-415,VILA DO BISPO,-8.908325463761846,37.08286406534689
pt.ine.add.PTCONT.1468008,R 1 DE MAIO,28,8650-425,VILA DO BISPO,-8.91049385235243,37.082651641167026
pt.ine.add.PTCONT.1468154,URB PARQUE DA FLORESTA,157,8650-060,BUDENS,-8.838692187562016,37.089434944096155
pt.ine.add.PTCONT.1468155,R 25 DE ABRIL,,8650-082,BUDENS,-8.831244000678037,37.085496381736725
pt.ine.add.PTCONT.1468156,TV MEIO,8,8650-180,BUDENS,-8.843361645567958,37.07395404699946
pt.ine.add.PTCONT.1468288,,,8650-108,BUDENS,-8.849211633054551,37.06345765150095
pt.ine.add.PTCONT.1468289,QTA FORTALEZA,31,8650-041,BUDENS,-8.799210355372795,37.069777031413274
pt.ine.add.PTCONT.1468290,R PRINCIPAL,16,8650-117,BUDENS,-8.77494288771569,37.073578127204286
pt.ine.add.PTCONT.1468291,R PRAIA,12,8650-113,BUDENS,-8.774782122575642,37.07318253257531
pt.ine.add.PTCONT.1468292,R PRAIA,12,8650-113,BUDENS,-8.774782122575642,37.07318253257531
pt.ine.add.PTCONT.1468293,TV POÇO,2,8650-129,BUDENS,-8.775074936872373,37.07323501142678
pt.ine.add.PTCONT.1468294,TV ALDEIA NOVA,,8650-120,BUDENS,-8.775921994679715,37.07233837860682
pt.ine.add.PTCONT.1468295,R FALESIA,4,8650-110,BUDENS,-8.776848607840018,37.07287398653643
pt.ine.add.PTCONT.1468296,R AGRICOLA,4,8650-108,BUDENS,-8.776848607840018,37.07287398653643
pt.ine.add.PTCONT.1468297,R AGRICOLA,,8650-108,BUDENS,-8.77665889781731,37.0730462165849
pt.ine.add.PTCONT.1468414,TV PARREIRA,2,8650-121,BUDENS,-8.774295571975326,37.07282474152968
pt.ine.add.PTCONT.1468415,BURGAU,13,8650-121,BUDENS,-8.779320717403728,37.072662311407186
pt.ine.add.PTCONT.1468555,R 1 DE MAIO,,8650-301,RAPOSEIRA,-8.888727091459701,37.08441420978381
pt.ine.add.PTCONT.1468552,BR ENCOSTA DO SOL,30,8650-190,BUDENS,-8.82809298357665,37.06557459485264
pt.ine.add.PTCONT.1468553,URB BEACH VILLAS CASA TRAFALGAR,,8650-191,BUDENS,-8.82850130519688,37.06719409890772
pt.ine.add.PTCONT.1468704,R ESCOLA,1,8650-289,RAPOSEIRA,-8.88991585612488,37.081811611134775
pt.ine.add.PTCONT.1468881,EN 1257-1,,8650-281,RAPOSEIRA,-8.875990402656416,37.06656378218325
pt.ine.add.PTCONT.1468936,VALE SILVAS,,8650-378,SAGRES,-8.947071331516685,37.01673773512781
pt.ine.add.PTCONT.1468942,BR LIBERDADE,29,8650-350,SAGRES,-8.936954090582637,37.009931642355774
