id,street,house,postcode,city,lon,lat
pt.ine.add.AC26.26869,R S LAZARO,7,9680-307,ÁGUA DE ALTO,-25.45476724421213,37.72092955815199
pt.ine.add.AC26.26870,R S LAZARO,3,9680-307,ÁGUA DE ALTO,-25.454701620801714,37.72081153535892
pt.ine.add.AC26.26871,R IGREJA,34,9680-304,ÁGUA DE ALTO,-25.454451408168996,37.720294542369665
pt.ine.add.AC26.26872,R IGREJA,38,9680-304,ÁGUA DE ALTO,-25.454587895835413,37.72027830700382
pt.ine.add.AC26.26873,R IGREJA,50,9680-304,ÁGUA DE ALTO,-25.454950302848527,37.72031009561425
pt.ine.add.AC26.26874,R IGREJA,54,9680-304,ÁGUA DE ALTO,-25.455322555905443,37.72041411212895
pt.ine.add.AC26.26875,R IGREJA,56,9680-304,ÁGUA DE ALTO,-25.455411988356907,37.72047837161048
pt.ine.add.AC26.26876,TV MOINHOS,1,9680-323,ÁGUA DE ALTO,-25.455648316223495,37.7205715933017
pt.ine.add.AC26.26877,TV MOINHOS,7,9680-323,ÁGUA DE ALTO,-25.455832420344297,37.720447830402726
pt.ine.add.AC26.26878,TV MOINHOS,6,9680-323,ÁGUA DE ALTO,-25.4555345138416,37.720588127150165
pt.ine.add.AC26.26879,TV MOINHOS,8,9680-323,ÁGUA DE ALTO,-25.45562394668591,37.72065238647763
pt.ine.add.AC26.26880,TV MOINHOS,10,9680-323,ÁGUA DE ALTO,-25.455702036846457,37.7207164971263
pt.ine.add.AC26.26881,TV MOINHOS,12,9680-323,ÁGUA DE ALTO,-25.45585784342328,37.72086273836891
pt.ine.add.AC26.26882,TV TORRE,6,9680-319,ÁGUA DE ALTO,-25.455517761381056,37.723580056145515
pt.ine.add.AC26.26883,TV TORRE,8,9680-319,ÁGUA DE ALTO,-25.45534723796574,37.72359584648201
pt.ine.add.AC26.26884,TV TORRE,10,9680-319,ÁGUA DE ALTO,-25.454656047241585,37.723550736169706
pt.ine.add.AC26.26885,R TORRE,30,9680-319,ÁGUA DE ALTO,-25.455143246191742,37.72358416042333
pt.ine.add.AC26.26886,R TORRE,26,9680-319,ÁGUA DE ALTO,-25.455146615398718,37.72342197970805
pt.ine.add.AC26.26887,R TORRE,22,9680-319,ÁGUA DE ALTO,-25.455138267000354,37.72327767039186
pt.ine.add.AC26.26888,R TORRE,18,9680-319,ÁGUA DE ALTO,-25.45513029297948,37.72311534099187
pt.ine.add.AC26.26889,R TORRE,8,9680-319,ÁGUA DE ALTO,-25.455340459460423,37.72282969568067
pt.ine.add.AC26.26890,R TORRE,6,9680-319,ÁGUA DE ALTO,-25.45544254789517,37.7228310335406
pt.ine.add.AC26.26891,R TORRE,2,9680-319,ÁGUA DE ALTO,-25.455646724784923,37.72283370899533
pt.ine.add.AC26.26892,R S LAZARO,,9680-307,ÁGUA DE ALTO,-25.455060811361673,37.72263676808789
pt.ine.add.AC26.26893,R S LAZARO,20 E,9680-307,ÁGUA DE ALTO,-25.454251972096948,37.72224763855921
pt.ine.add.AC26.26894,R TORRE,13,9680-319,ÁGUA DE ALTO,-25.454884486701133,37.72293186904267
pt.ine.add.AC26.26895,R TORRE,17,9680-319,ÁGUA DE ALTO,-25.454927425778642,37.72304959434965
pt.ine.add.AC26.26896,R TORRE,21,9680-319,ÁGUA DE ALTO,-25.454959021777697,37.72316717094842
pt.ine.add.AC26.26897,R TORRE,23,9680-319,ÁGUA DE ALTO,-25.4549577113867,37.723230241224314
pt.ine.add.AC26.26898,R TORRE,27,9680-319,ÁGUA DE ALTO,-25.454966059432042,37.7233745505466
pt.ine.add.AC26.26899,R TORRE,29,9680-319,ÁGUA DE ALTO,-25.454964936236742,37.72342861078139
pt.ine.add.AC26.26900,R IGREJA,26,9680-304,ÁGUA DE ALTO,-25.453896923804297,37.72022418286214
pt.ine.add.AC26.26901,R IGREJA,30,9680-304,ÁGUA DE ALTO,-25.453793153142037,37.72030393409258
pt.ine.add.AC26.26902,R IGREJA,75,9680-304,ÁGUA DE ALTO,-25.455629185479385,37.72040010517995
pt.ine.add.AC26.26903,R IGREJA,,9680-304,ÁGUA DE ALTO,-25.455505911700225,37.72032638992374
pt.ine.add.AC26.26904,TV IGREJA,2,9680-315,ÁGUA DE ALTO,-25.455348984131902,37.720234208516835
