id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1898939,R DO FUNDO DO POVO,29,5155-512,MURÇA VLF,-7.2322724559236,41.099787437097454
pt.ine.add.PTCONT.1898940,TV DO BRASIL,9,5150-450,SANTA COMBA VLF,-7.1319468410667834,40.97290689016148
pt.ine.add.PTCONT.1898944,R DAS LAGES,73,5155-238,FREIXO DE NUMÃO,-7.222483617507479,41.06992410730037
pt.ine.add.PTCONT.1898945,EN 222,,5155-712,SEBADELHE,-7.264631589839928,41.050538862064116
pt.ine.add.PTCONT.1898947,R DA VIDEIRA,13,5150-437,SANTA COMBA VLF,-7.144403127983094,40.95582480501179
pt.ine.add.PTCONT.1898973,R DIREITA,36,5155-246,FREIXO DE NUMÃO,-7.221781453943803,41.06735231059893
pt.ine.add.PTCONT.1898953,R DO CIMO DA VILA,20,5150-038,ALMENDRA,-7.054226026936736,41.0012539941906
pt.ine.add.PTCONT.1898954,R DIREITA,,5150-415,SANTA COMBA VLF,-7.144264274074025,40.95398669307615
pt.ine.add.PTCONT.1898962,AV DO EMIGRANTE,11,5150-219,CHÃS,-7.172900026355154,40.99003964215801
pt.ine.add.PTCONT.1898963,R DAS FLORES,,5150-323,MUXAGATA VLF,-7.1668179147866775,41.03625360382277
pt.ine.add.PTCONT.1898966,R CONDE DE CASTELO MELHOR,27,5150-110,CASTELO MELHOR,-7.064210703691028,41.02620815259113
pt.ine.add.PTCONT.1898972,PC PADRE ANTÓNIO MADEIRA,1,5150-051,ALMENDRA,-7.0569060232307805,41.000900863540274
pt.ine.add.PTCONT.1898975,R DIREITA,4,5155-246,FREIXO DE NUMÃO,-7.220129869067459,41.067195166658806
pt.ine.add.PTCONT.1898976,R RAINHA STA ISABEL,74,5155-667,SANTO AMARO VLF,-7.167556312389475,41.10367535082642
pt.ine.add.PTCONT.1898978,R DR LUNA CALDEIRA,1,5150-066,ALMENDRA,-7.054163838121086,40.99996578152402
pt.ine.add.PTCONT.1898979,LG DA IGREJA,12,5155-666,SANTO AMARO VLF,-7.168270121107875,41.10207856584366
