id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5286517,R HENRIQUE MAIA,3,5450-156,BORNES DE AGUIAR,-7.60067132407688,41.54462033121972
pt.ine.add.PTCONT.5286518,EM 549,10,5450-185,BRAGADO,-7.62456020106221,41.59618459077148
pt.ine.add.PTCONT.5286519,R DO TERREIRO,1,5450-185,BRAGADO,-7.620945486790885,41.59674477877786
pt.ine.add.PTCONT.5286520,R DIREITA,16,5450-185,BRAGADO,-7.621930911812916,41.59650606571682
pt.ine.add.PTCONT.5286521,R DA FONTE VELHA,2,5450-183,BRAGADO,-7.694206385632427,41.58980884662462
pt.ine.add.PTCONT.5288305,,,5450-220,PARADA DE MONTEIROS,-7.717807611078925,41.561931018109256
pt.ine.add.PTCONT.5286758,R DA FONTE,5,5450-301,VALOURA,-7.5322581975811564,41.60458082090216
pt.ine.add.PTCONT.5286750,BR DA LAMA DA BOUÇA,,5450-202,CAPELUDOS,-7.615388497076518,41.62870078316924
pt.ine.add.PTCONT.5286751,R DE CIMA,,5450-241,ALVÃO,-7.765172108716951,41.487919116646104
pt.ine.add.PTCONT.5286752,R DE CIMA,,5450-241,ALVÃO,-7.765003757480087,41.488044631851906
pt.ine.add.PTCONT.5286753,R PADRE AMILCAR,,5450-280,TELÕES VPA,-7.690114407717896,41.45664522958187
pt.ine.add.PTCONT.5286754,R D AFONSO III,,5450-280,TELÕES VPA,-7.68169756183636,41.45534296123334
pt.ine.add.PTCONT.5286755,R DO CABO,11,5450-283,TELÕES VPA,-7.659570425576244,41.4451516391982
pt.ine.add.PTCONT.5286756,R CENTRAL,3,5450-292,TRESMINAS,-7.565956621651163,41.501497412571055
pt.ine.add.PTCONT.5286757,R DO RIBEIRO,14,5450-296,TRESMINAS,-7.51848123606615,41.47862694644557
pt.ine.add.PTCONT.5286759,R 1 DE MAIO,2,5450-300,VALOURA,-7.543289951460674,41.57212575096068
pt.ine.add.PTCONT.5286760,TV CENTRAL,2,5450-082,VILA POUCA DE AGUIAR,-7.621864775644021,41.5166697982601
pt.ine.add.PTCONT.5286761,TV GUERRA JUNQUEIRO,66,5450-007,VILA POUCA DE AGUIAR,-7.637324984647452,41.500116477071785
pt.ine.add.PTCONT.5286762,BC DE NSA SRA DA CONCEIÇÃO,75,5450-007,VILA POUCA DE AGUIAR,-7.638525273377511,41.49977049621652
pt.ine.add.PTCONT.5286763,BR BARREIRAS,43,5450-007,VILA POUCA DE AGUIAR,-7.637245821702754,41.49950387673737
pt.ine.add.PTCONT.5286764,BR DA VESSADA,1,5450-080,VILA POUCA DE AGUIAR,-7.620557609351052,41.49406444634752
pt.ine.add.PTCONT.5286765,R DOS LAVADOUROS,7,5450-011,VILA POUCA DE AGUIAR,-7.637260622241026,41.50384377546515
pt.ine.add.PTCONT.5286766,R DOS LAVADOUROS,7,5450-011,VILA POUCA DE AGUIAR,-7.637260622241026,41.50384377546515
pt.ine.add.PTCONT.5286767,EN 2,,5450-011,VILA POUCA DE AGUIAR,-7.63144165849611,41.50669075356329
