id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1466931,R JOÃO DE LISBOA,,8900-463,MONTE GORDO,-7.4548539041963044,37.18041969138901
pt.ine.add.PTCONT.1467056,R TRISTAO DA CUNHA,3,8900-469,MONTE GORDO,-7.451793031511259,37.180185881123
pt.ine.add.PTCONT.1468009,,,8900-067,VILA NOVA DE CACELA,-7.570225557187966,37.223994539060484
pt.ine.add.PTCONT.1468010,,,8900-038,VILA NOVA DE CACELA,-7.5194325596926435,37.16824728639162
pt.ine.add.PTCONT.1468157,,,8900-049,VILA NOVA DE CACELA,-7.5483957323247415,37.19102792028216
pt.ine.add.PTCONT.1468158,,,8900-020,VILA NOVA DE CACELA,-7.547534480257247,37.187338409739176
pt.ine.add.PTCONT.1468159,SIT POUCINHO,,8900-020,VILA NOVA DE CACELA,-7.544788454592127,37.18418918245813
pt.ine.add.PTCONT.1468160,ESTR PORTELA,,8900-024,VILA NOVA DE CACELA,-7.518897738858153,37.18146279667469
pt.ine.add.PTCONT.1468161,,,8900-054,VILA NOVA DE CACELA,-7.516665934040714,37.18172151836906
pt.ine.add.PTCONT.1468162,R HORTA,15,8900-038,VILA NOVA DE CACELA,-7.525014776748331,37.16994299284799
pt.ine.add.PTCONT.1468163,ESTR MANTA ROTA,,8900-038,VILA NOVA DE CACELA,-7.522840321816784,37.168715406643905
pt.ine.add.PTCONT.1468164,R PESCADORES,52,8900-038,VILA NOVA DE CACELA,-7.512328535797984,37.16956184705881
pt.ine.add.PTCONT.1468165,URB ORLAMAR,35,8900-038,VILA NOVA DE CACELA,-7.516776314486088,37.16813438598074
pt.ine.add.PTCONT.1468166,URB ORLAMAR C,C,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468167,URB ORLAMAR B,B,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468298,ESTR PORTELA,,8900-051,VILA NOVA DE CACELA,-7.523196257131251,37.184665675164545
pt.ine.add.PTCONT.1468299,,,8900-028,VILA NOVA DE CACELA,-7.528457483265897,37.18016941635932
pt.ine.add.PTCONT.1468300,SIT BORNACHA,,8900-017,VILA NOVA DE CACELA,-7.525091534943832,37.181440680326595
pt.ine.add.PTCONT.1468301,,,8900-017,VILA NOVA DE CACELA,-7.524650444813645,37.178870448790946
pt.ine.add.PTCONT.1468302,,,8900-017,VILA NOVA DE CACELA,-7.530133470827155,37.17757394718417
pt.ine.add.PTCONT.1468303,R PRAIA DA LOTA,,8900-038,VILA NOVA DE CACELA,-7.514474206459163,37.170158745685875
pt.ine.add.PTCONT.1468304,R PRAIA DA LOTA,,8900-038,VILA NOVA DE CACELA,-7.514474206459163,37.170158745685875
pt.ine.add.PTCONT.1468305,URB ORLAMAR C,C,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468306,URB ORLAMAR B,B,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468307,URB ORLAMAR A,A,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468308,URB ORLAMAR,4,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468309,URB ORLAMAR B,B,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468310,URB ORLAMAR C,C,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468311,R BARRANCO,,8900-038,VILA NOVA DE CACELA,-7.519164683558651,37.167957565171456
pt.ine.add.PTCONT.1468416,URB VERDE MAR,,8900-027,VILA NOVA DE CACELA,-7.537039526546891,37.17714935847143
pt.ine.add.PTCONT.1468417,CASA DA LINHA,,8900-027,VILA NOVA DE CACELA,-7.54261310412586,37.17430293972209
pt.ine.add.PTCONT.1468418,,,8900-032,VILA NOVA DE CACELA,-7.544328053998418,37.169508913042336
pt.ine.add.PTCONT.1468419,URB VICENTE,,8900-038,VILA NOVA DE CACELA,-7.528892149964034,37.173666111891215
pt.ine.add.PTCONT.1468420,R OLIVEIRA,,8900-038,VILA NOVA DE CACELA,-7.527876805202283,37.17249858552346
pt.ine.add.PTCONT.1468421,SIT SITIO SAPAL,,8900-121,VILA REAL SANTO ANTÓNIO,-7.433578343988782,37.19546942904798
pt.ine.add.PTCONT.1468556,URB VILLAS DE CACELA,39,8900-017,VILA NOVA DE CACELA,-7.531886900623415,37.17481574173673
pt.ine.add.PTCONT.1468557,TV CHAVE DE OURO,,8900-406,MONTE GORDO,-7.446821512997648,37.18825750980221
pt.ine.add.PTCONT.1468705,R TEN GEN VILA LOBOS,,8900-068,VILA NOVA DE CACELA,-7.518611209573451,37.169567562541936
pt.ine.add.PTCONT.1468706,,,8900-401,MONTE GORDO,-7.469885242923613,37.18193743448762
pt.ine.add.PTCONT.1468707,R NOVA LISBOA,,8900-438,MONTE GORDO,-7.45762266855109,37.18057967464934
pt.ine.add.PTCONT.1468708,AV INF D HENRIQUE,,8900-411,MONTE GORDO,-7.458677848812755,37.178423194242185
pt.ine.add.PTCONT.1468825,URB ORLAMAR A,A,8900-065,VILA NOVA DE CACELA,-7.517248666772614,37.16819991478833
pt.ine.add.PTCONT.1468900,,,8900-038,VILA NOVA DE CACELA,-7.523669606888746,37.17060285371325
pt.ine.add.PTCONT.1468937,EN 125,,8900-401,MONTE GORDO,-7.459838199084352,37.18471002683676
pt.ine.add.PTCONT.1468969,URB SOLSUL,,8900-018,VILA NOVA DE CACELA,-7.5336115266390715,37.173482842959814
pt.ine.add.PTCONT.1468974,R BARRANCO,,8900-038,VILA NOVA DE CACELA,-7.519164683558651,37.167957565171456
pt.ine.add.PTCONT.1469040,R GONÇALO VELHO,,8900-465,MONTE GORDO,-7.451975962201974,37.18113302230229
pt.ine.add.PTCONT.1469041,R GONÇALO VELHO,,8900-465,MONTE GORDO,-7.451975962201974,37.18113302230229
pt.ine.add.PTCONT.1469042,R GONÇALO VELHO,,8900-465,MONTE GORDO,-7.451975962201974,37.18113302230229
pt.ine.add.PTCONT.1469043,R GONÇALO VELHO,,8900-465,MONTE GORDO,-7.451975962201974,37.18113302230229
pt.ine.add.PTCONT.1469044,R GONÇALO VELHO,,8900-465,MONTE GORDO,-7.451975962201974,37.18113302230229
pt.ine.add.PTCONT.1469045,R GONÇALO VELHO,,8900-465,MONTE GORDO,-7.451975962201974,37.18113302230229
pt.ine.add.PTCONT.1469046,R GONÇALO VELHO,,8900-465,MONTE GORDO,-7.451975962201974,37.18113302230229
pt.ine.add.PTCONT.1469056,ESTR PONTA DE SANTO ANTÓNIO ESTALEIRO DO PENA,,8900-227,VILA REAL SANTO ANTÓNIO,-7.411347175610309,37.18339736920708
pt.ine.add.PTCONT.1469057,ESTR PONTA DE SANTO ANTÓNIO ESTALEIRO DO PENA,,8900-227,VILA REAL SANTO ANTÓNIO,-7.411347175610309,37.18339736920708
pt.ine.add.PTCONT.1469058,ESTR PONTA DE SANTO ANTÓNIO ESTALEIRO DO PENA,,8900-227,VILA REAL SANTO ANTÓNIO,-7.411347175610309,37.18339736920708
pt.ine.add.PTCONT.1469059,ESTR PONTA DE SANTO ANTÓNIO ESTALEIRO DO PENA,,8900-227,VILA REAL SANTO ANTÓNIO,-7.411347175610309,37.18339736920708
pt.ine.add.PTCONT.1469060,R GEN HUMBERTO DELGADO,17,8900-309,VILA REAL SANTO ANTÓNIO,-7.415337940325152,37.19365736438108
pt.ine.add.PTCONT.1469061,R E,,8900-331,VILA REAL SANTO ANTÓNIO,-7.42942812972463,37.19604854279586
pt.ine.add.PTCONT.1469062,R COMPORTA,10,8900-262,VILA REAL SANTO ANTÓNIO,-7.426966737196972,37.19548426601021
pt.ine.add.PTCONT.1469063,R DR SOUSA MARTINS,51,8900-300,VILA REAL SANTO ANTÓNIO,-7.416115204284266,37.19364405039265
pt.ine.add.PTCONT.1469064,R D FRANCISCO GOMES,10,8900-303,VILA REAL SANTO ANTÓNIO,-7.419396651158933,37.19442073325221
pt.ine.add.PTCONT.1469065,R D FRANCISCO GOMES,10,8900-303,VILA REAL SANTO ANTÓNIO,-7.419396651158933,37.19442073325221
pt.ine.add.PTCONT.1469066,R D FRANCISCO GOMES,10,8900-303,VILA REAL SANTO ANTÓNIO,-7.419396651158933,37.19442073325221
pt.ine.add.PTCONT.1469067,R D FRANCISCO GOMES,10,8900-303,VILA REAL SANTO ANTÓNIO,-7.419396651158933,37.19442073325221
