id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.974123,,,6030-011,FRATEL,-7.77503663270355,39.62447414863369
pt.ine.add.PTCONT.975713,,,6030-020,FRATEL,-7.778871243123795,39.591935414696316
pt.ine.add.PTCONT.951003,R CENTRAL,,6030-018,FRATEL,-7.735669369317167,39.685672729016225
pt.ine.add.PTCONT.951004,R NOVA,16,6030-012,FRATEL,-7.747349358947897,39.62706051339482
pt.ine.add.PTCONT.951005,R CENTRAL,29,6030-012,FRATEL,-7.744911801246828,39.62764683846607
pt.ine.add.PTCONT.951060,R RIBEIRO,15,6030-012,FRATEL,-7.747234539260997,39.62676290960111
pt.ine.add.PTCONT.951061,R CAPELA,4,6030-052,PERAIS,-7.533086735214271,39.67691290303955
pt.ine.add.PTCONT.951062,R OUTAO,10,6030-054,PERAIS,-7.574306183777751,39.69650077697982
pt.ine.add.PTCONT.951063,R BARREIRO,42,6030-116,SARNADAS DE RÓDÃO,-7.624439405824385,39.747303084975954
pt.ine.add.PTCONT.951121,R ATALAIA,19,6030-114,SARNADAS DE RÓDÃO,-7.585557990234248,39.73472420479959
pt.ine.add.PTCONT.951122,R PRINCIPAL,9,6030-115,SARNADAS DE RÓDÃO,-7.654355991855827,39.74038721221097
pt.ine.add.PTCONT.951173,R CIMO,,6030-154,VILA VELHA DE RÓDÃO,-7.641374138959341,39.674296606339446
pt.ine.add.PTCONT.951174,EN 18,,6030-159,VILA VELHA DE RÓDÃO,-7.625032402811302,39.69672480586772
pt.ine.add.PTCONT.951175,R CAPELA,,6030-155,VILA VELHA DE RÓDÃO,-7.758936137051378,39.731161392463946
pt.ine.add.PTCONT.951176,R ESTRADA,1,6030-160,VILA VELHA DE RÓDÃO,-7.696641874010758,39.687442007828544
pt.ine.add.PTCONT.951177,R ESTRADA NOVA,33,6030-164,VILA VELHA DE RÓDÃO,-7.7067151784123284,39.65500140112232
pt.ine.add.PTCONT.951178,R CABEÇO SALVADOR,12,6030-217,VILA VELHA DE RÓDÃO,-7.665426353325366,39.652428696853654
pt.ine.add.PTCONT.951240,R PESQUEIRAS,33,6030-233,VILA VELHA DE RÓDÃO,-7.6731166258413435,39.6523873537288
pt.ine.add.PTCONT.951241,URB SENHORA DA ALAGADA,,6030-008,VILA VELHA DE RÓDÃO,-7.665354688776328,39.650960318626794
pt.ine.add.PTCONT.951242,AV SERRA,13,6030-201,VILA VELHA DE RÓDÃO,-7.678513405471401,39.65739830363989
pt.ine.add.PTCONT.951623,R HEROIS DO ULTRAMAR,9,6030-012,FRATEL,-7.744316129691794,39.625861511714454
pt.ine.add.PTCONT.952603,R FONTE NOVA,15,6030-053,PERAIS,-7.575407886519845,39.66680225731543
pt.ine.add.PTCONT.952605,R FORNO,,6030-155,VILA VELHA DE RÓDÃO,-7.76055882266448,39.730923433374265
pt.ine.add.PTCONT.952611,R CABEÇO,19,6030-053,PERAIS,-7.573807335981132,39.66584886340985
pt.ine.add.PTCONT.952613,R RIBEIRO,5,6030-012,FRATEL,-7.746930365067848,39.6270050808723
pt.ine.add.PTCONT.952614,R COURELA,13,6030-158,VILA VELHA DE RÓDÃO,-7.714627676885566,39.712798808745134
pt.ine.add.PTCONT.952618,R CARRASCAL,20,6030-012,FRATEL,-7.746911627361319,39.62618540508191
pt.ine.add.PTCONT.952621,R BARREIRO,90,6030-116,SARNADAS DE RÓDÃO,-7.623923997066497,39.74916517605259
pt.ine.add.PTCONT.952623,R CORREIO,24,6030-012,FRATEL,-7.747767853908392,39.6272060101622
pt.ine.add.PTCONT.952626,R ALF JOSE JOÃO NEVES FLORAS,40,6030-012,FRATEL,-7.748252341276422,39.62805424980774
pt.ine.add.PTCONT.952627,,,6030-024,FRATEL,-7.772835446359497,39.60648984228262
pt.ine.add.PTCONT.952628,R ATALAIA,11,6030-114,SARNADAS DE RÓDÃO,-7.585371637067597,39.734687299539715
pt.ine.add.PTCONT.952629,R SERRA,2,6030-156,VILA VELHA DE RÓDÃO,-7.691341794534897,39.674002063206316
pt.ine.add.PTCONT.952633,TV SANTANA,2,6030-156,VILA VELHA DE RÓDÃO,-7.689558601105892,39.67399526640611
pt.ine.add.PTCONT.952635,R ESCOLA,,6030-116,SARNADAS DE RÓDÃO,-7.625983337268594,39.748372610469325
pt.ine.add.PTCONT.952641,R SENHORA DOS REMEDIOS,2,6030-013,FRATEL,-7.807414954328129,39.55733361104725
pt.ine.add.PTCONT.952642,R JOSE PINTO OLIVEIRA ROCHA,2,6030-241,VILA VELHA DE RÓDÃO,-7.677430297840544,39.6590873147615
pt.ine.add.PTCONT.952646,R CERRO,10,6030-155,VILA VELHA DE RÓDÃO,-7.76083678545456,39.73129359492709
pt.ine.add.PTCONT.952647,R TEARES,,6030-155,VILA VELHA DE RÓDÃO,-7.758414351602384,39.730583288274566
pt.ine.add.PTCONT.952691,R HEROIS DO ULTRAMAR,7,6030-012,FRATEL,-7.74416386330279,39.62601411664159
pt.ine.add.PTCONT.952725,R PRINCIPAL,19,6030-153,VILA VELHA DE RÓDÃO,-7.734225266048931,39.7239098782845
pt.ine.add.PTCONT.952758,R FILIPE CORREIA DE ARAÚJO JUNIOR,8,6030-012,FRATEL,-7.74683318212874,39.627725297017946
pt.ine.add.PTCONT.973651,,,6030-024,FRATEL,-7.771858924242044,39.6061895864913
pt.ine.add.PTCONT.953707,R CASAS MEIO,11,6030-116,SARNADAS DE RÓDÃO,-7.625799507365546,39.743211065657874
pt.ine.add.PTCONT.953708,R GORDEIROS,,6030-155,VILA VELHA DE RÓDÃO,-7.761283427408309,39.73066456549982
pt.ine.add.PTCONT.953710,R CIMA,24,6030-053,PERAIS,-7.5759606692721535,39.66762451447585
pt.ine.add.PTCONT.953711,R TEARES,,6030-155,VILA VELHA DE RÓDÃO,-7.75903290984807,39.7305222369564
pt.ine.add.PTCONT.953712,R 1 DE MAIO,75,6030-215,VILA VELHA DE RÓDÃO,-7.666796749166138,39.6548299841732
pt.ine.add.PTCONT.953715,R SANTO,,6030-018,FRATEL,-7.734573673627526,39.68565996721896
pt.ine.add.PTCONT.953716,R CENTRAL,5,6030-018,FRATEL,-7.7357190429792935,39.685141506753
pt.ine.add.PTCONT.953717,,,6030-023,FRATEL,-7.748683995345603,39.68261825318589
pt.ine.add.PTCONT.953720,R SANTANA,,6030-230,VILA VELHA DE RÓDÃO,-7.673727734211892,39.651597183880014
pt.ine.add.PTCONT.953722,R CENTRAL,,6030-025,FRATEL,-7.749881646853726,39.65784484928183
pt.ine.add.PTCONT.953723,R AZINHAL,8,6030-025,FRATEL,-7.750334593504115,39.65811654370371
pt.ine.add.PTCONT.953724,R PRINCIPAL,45,6030-111,SARNADAS DE RÓDÃO,-7.614894791576376,39.76140109394744
pt.ine.add.PTCONT.953727,R ESTALAGEM,8,6030-151,VILA VELHA DE RÓDÃO,-7.702374489303824,39.70102739425093
pt.ine.add.PTCONT.953728,R RAMPA,11,6030-229,VILA VELHA DE RÓDÃO,-7.6722724768455866,39.653176595855086
pt.ine.add.PTCONT.953731,R ALF JOSE JOÃO NEVES FLORES,23,6030-012,FRATEL,-7.7484737384264255,39.62803696957717
pt.ine.add.PTCONT.953732,EN 18 RESTAURANTE O ESPANHOL,,6030-116,SARNADAS DE RÓDÃO,-7.620814265378868,39.74998909996425
pt.ine.add.PTCONT.953733,R ALFANDEGA,105,6030-219,VILA VELHA DE RÓDÃO,-7.673293883874666,39.65025347066789
pt.ine.add.PTCONT.953735,R CAPELA,8,6030-052,PERAIS,-7.533307402282261,39.677004109065365
pt.ine.add.PTCONT.953736,EN 241,95,6030-156,VILA VELHA DE RÓDÃO,-7.69236865985392,39.67564517607401
pt.ine.add.PTCONT.953737,URB SENHORA DA ALAGADA,21,6030-008,VILA VELHA DE RÓDÃO,-7.664194765932119,39.650190073379505
pt.ine.add.PTCONT.953739,R S MIGUEL,24,6030-052,PERAIS,-7.530656466052651,39.67490986001438
pt.ine.add.PTCONT.953740,R ESCOLA,4,6030-162,VILA VELHA DE RÓDÃO,-7.669483877794002,39.68862470411507
pt.ine.add.PTCONT.953743,R ALTO DA BOA VISTA,11,6030-052,PERAIS,-7.56466017140033,39.74245943175823
pt.ine.add.PTCONT.953744,EN IB,7,6030-154,VILA VELHA DE RÓDÃO,-7.640548808198777,39.67234767338474
pt.ine.add.PTCONT.953745,R PRINCIPAL,,6030-164,VILA VELHA DE RÓDÃO,-7.707661834935307,39.65263611267721
pt.ine.add.PTCONT.953748,R MANUEL LOPES RIBEIRO,9,6030-012,FRATEL,-7.743218312722367,39.62846978709648
pt.ine.add.PTCONT.953749,R FONTE NOVA,22,6030-053,PERAIS,-7.574026465078433,39.66757919290315
pt.ine.add.PTCONT.953750,ESTR NACIONAL,9,6030-154,VILA VELHA DE RÓDÃO,-7.640548808198777,39.67234767338474
pt.ine.add.PTCONT.953751,R PRINCIPAL,31,6030-164,VILA VELHA DE RÓDÃO,-7.707592589773527,39.65252777870065
pt.ine.add.PTCONT.953785,R QUELHINHA,5,6030-054,PERAIS,-7.575310984262771,39.6962354103873
pt.ine.add.PTCONT.953852,R SANTO ANTÓNIO,51,6030-051,PERAIS,-7.538217895204679,39.720053790600716
pt.ine.add.PTCONT.953929,R FILIPE CORREIA DE ARAÚJO JUNIOR,4,6030-012,FRATEL,-7.746845129787455,39.62767129630401
pt.ine.add.PTCONT.954894,R 1 DEZEMBRO,25,6030-012,FRATEL,-7.7436297049407115,39.6278046684234
pt.ine.add.PTCONT.954895,R VALINHO,16,6030-012,FRATEL,-7.7442577453972214,39.6279688936368
pt.ine.add.PTCONT.954896,AV BELA VISTA,130,6030-201,VILA VELHA DE RÓDÃO,-7.675987462119379,39.65700110254148
pt.ine.add.PTCONT.954897,AV BELA VISTA,130,6030-201,VILA VELHA DE RÓDÃO,-7.675987462119379,39.65700110254148
pt.ine.add.PTCONT.954899,LG EIRA,4,6030-155,VILA VELHA DE RÓDÃO,-7.7614112532044155,39.73075504066468
pt.ine.add.PTCONT.954900,TV FORNO,,6030-155,VILA VELHA DE RÓDÃO,-7.7604311916655035,39.730796931568
