id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5427155,AV S MARTINHO,9,3670-171,QUEIRÃ,-8.042385419756362,40.71302434293519
pt.ine.add.PTCONT.5427156,R SENHORA DA BOA PASSAGEM,8,3670-171,QUEIRÃ,-8.035959503738821,40.71289304284932
pt.ine.add.PTCONT.5427157,R CALE,1,3670-172,QUEIRÃ,-8.041025804170813,40.68626910100412
pt.ine.add.PTCONT.5427158,,,3670-172,QUEIRÃ,-8.039774317826277,40.6845030912461
pt.ine.add.PTCONT.5427159,BC ROSEIRA,1,3670-175,QUEIRÃ,-8.066058390086216,40.67356209481398
pt.ine.add.PTCONT.5427261,R ABRUNHEIROS,,3670-195,SÃO MIGUEL DO MATO VZL,-8.02890779429375,40.71945159502905
pt.ine.add.PTCONT.5427262,R VILAR,,3670-196,SÃO MIGUEL DO MATO VZL,-8.019656029312074,40.710320727206714
pt.ine.add.PTCONT.5427263,R VILAR,,3670-196,SÃO MIGUEL DO MATO VZL,-8.020874472761173,40.71059207082991
pt.ine.add.PTCONT.5427337,,,3670-221,VENTOSA VZL,-8.086372505866192,40.69834520926635
pt.ine.add.PTCONT.5430323,,,3670-051,CAMBRA,-8.154870391880939,40.67204863690083
pt.ine.add.PTCONT.5427429,R ANTÓNIO SÉRGIO,,3670-242,VOUZELA,-8.114039342466343,40.725944679579484
pt.ine.add.PTCONT.5430346,,,3670-062,CAMPIA,-8.229277734407235,40.657251182462396
pt.ine.add.PTCONT.5427920,,,3670-013,ALCOFRA,-8.194454945328902,40.632114428373434
pt.ine.add.PTCONT.5427921,,,3670-028,ALCOFRA,-8.189193757615687,40.6306582588382
pt.ine.add.PTCONT.5428135,,,3670-049,CAMBRA,-8.191977590621674,40.691468758631174
pt.ine.add.PTCONT.5428025,,,3670-023,ALCOFRA,-8.171669372954542,40.61797707937839
pt.ine.add.PTCONT.5428026,,,3670-050,CAMBRA,-8.175645772337658,40.701363542876116
pt.ine.add.PTCONT.5428136,SIT CENTRO POVO,,3670-052,CAMBRA,-8.149691961376368,40.67965884297004
pt.ine.add.PTCONT.5428137,R ESCOLA,,3670-051,CAMBRA,-8.154752364426324,40.67280509158003
pt.ine.add.PTCONT.5428138,R DA LADEIRA,,3670-048,CAMBRA,-8.172525140595914,40.666496785174544
pt.ine.add.PTCONT.5428139,,,3670-042,CAMBRA,-8.156239718277028,40.664439014491876
pt.ine.add.PTCONT.5428140,,,3670-055,CAMPIA,-8.206407368903383,40.67738548258823
pt.ine.add.PTCONT.5428258,R CENTRAL,58,3670-056,CAMPIA,-8.212514973298065,40.67102381151828
pt.ine.add.PTCONT.5428259,,,3670-056,CAMPIA,-8.2129857865286,40.66912339987359
pt.ine.add.PTCONT.5428260,R PROF JOÃO PINHEIRO ALMEIDA,1,3670-056,CAMPIA,-8.214086135908941,40.669509854976475
pt.ine.add.PTCONT.5428261,R RIQUINHA,47,3670-056,CAMPIA,-8.213814403035823,40.66974417917543
pt.ine.add.PTCONT.5428262,,,3670-059,CAMPIA,-8.229345171907651,40.6959372093553
pt.ine.add.PTCONT.5428263,R DORES,,3670-057,CAMPIA,-8.230613386262382,40.6812487919635
pt.ine.add.PTCONT.5428264,,,3670-057,CAMPIA,-8.23390267818038,40.681831300902594
pt.ine.add.PTCONT.5428368,,,3670-062,CAMPIA,-8.226923949974378,40.656757834364974
pt.ine.add.PTCONT.5428369,,,3670-062,CAMPIA,-8.22630902640328,40.65672231163278
pt.ine.add.PTCONT.5428370,,,3670-062,CAMPIA,-8.22777177477101,40.65425370422774
pt.ine.add.PTCONT.5428371,,,3670-060,CAMPIA,-8.229233175483275,40.64268083502724
pt.ine.add.PTCONT.5428372,,,3670-054,CAMPIA,-8.24094955737352,40.635808527064064
